week,goldstein
2000-01-02,-0.20000000000000004
2000-01-09,3.7
2000-01-16,5.928571428571429
2000-01-23,2.5857142857142854
2000-01-30,2.6923076923076925
2000-02-06,3.0545454545454547
2000-02-13,2.1739130434782608
2000-02-20,2.1739130434782608
2000-02-27,2.3499999999999996
2000-03-05,2.542857142857143
2000-03-12,2.468
2000-03-19,2.1538461538461537
2000-03-26,1.75
2000-04-02,-0.2
2000-04-09,-3.8125
2000-04-16,-5.6
2000-04-23,2.9
2000-04-30,4.0
2000-05-07,2.3499999999999996
2000-05-14,5.0
2000-05-21,2.533333333333333
2000-05-28,-2.9444444444444446
2000-06-04,2.0
2000-06-11,1.9954545454545454
2000-06-18,-1.2923076923076924
2000-06-25,-0.6153846153846154
2000-07-02,-1.04
2000-07-09,4.8
2000-07-16,-1.344444444444444
2000-07-23,-1.828
2000-07-30,2.0047619047619047
2000-08-06,-5.458823529411765
2000-08-13,2.8
2000-08-20,1.7999999999999998
2000-08-27,-5.0
2000-09-03,-1.5714285714285714
2000-09-10,5.2
2000-09-17,0.5333333333333333
2000-09-24,1.6
2000-10-01,1.0222222222222221
2000-10-08,4.0
2000-10-15,0.2749999999999999
2000-10-22,7.0
2000-10-29,2.4799999999999995
2000-11-05,-2.55
2000-11-12,0.3076923076923076
2000-11-19,0.6666666666666666
2000-11-26,-1.05
2000-12-03,-1.86
2000-12-10,-7.2
2000-12-17,1.5090909090909088
2000-12-24,-2.3230769230769233
2000-12-31,-1.5636363636363635
2001-01-07,1.46
2001-01-14,-0.15714285714285717
2001-01-21,-8.0
2001-01-28,0.3932203389830509
2001-02-04,7.12
2001-02-11,1.6875
2001-02-18,-1.89
2001-02-25,3.079310344827586
2001-03-04,1.275
2001-03-11,-2.0
2001-03-18,-1.7142857142857142
2001-03-25,0.4
2001-04-01,2.05
2001-04-08,3.4166666666666665
2001-04-15,-8.066666666666666
2001-04-22,4.333333333333333
2001-04-29,-0.8666666666666666
2001-05-06,3.4
2001-05-13,-5.375
2001-05-20,2.2214285714285715
2001-05-27,2.1999999999999997
2001-06-03,2.6999999999999997
2001-06-10,-0.29411764705882354
2001-06-17,1.2
2001-06-24,2.01
2001-07-01,1.5857142857142856
2001-07-08,0.2074074074074074
2001-07-15,3.7684210526315787
2001-07-22,3.7684210526315787
2001-07-29,1.0
2001-08-05,1.0
2001-08-12,-5.2
2001-08-19,-1.5
2001-08-26,3.4
2001-09-02,3.4
2001-09-09,2.242857142857143
2001-09-16,2.3499999999999996
2001-09-23,0.036842105263157905
2001-09-30,-5.0
2001-10-07,-2.95
2001-10-14,2.5999999999999996
2001-10-21,3.36551724137931
2001-10-28,3.457142857142857
2001-11-04,2.3499999999999996
2001-11-11,2.3499999999999996
2001-11-18,3.9
2001-11-25,4.218181818181818
2001-12-02,4.184210526315789
2001-12-09,4.376315789473685
2001-12-16,3.742105263157895
2001-12-23,3.1693181818181815
2001-12-30,2.8
2002-01-06,2.12
2002-01-13,1.3454545454545455
2002-01-20,3.148
2002-01-27,6.509090909090909
2002-02-03,6.0
2002-02-10,4.55
2002-02-17,4.336363636363637
2002-02-24,4.857142857142857
2002-03-03,2.576
2002-03-10,4.2
2002-03-17,3.2144578313253014
2002-03-24,4.0344827586206895
2002-03-31,3.53
2002-04-07,2.511111111111111
2002-04-14,0.5
2002-04-21,1.1
2002-04-28,2.3846153846153846
2002-05-05,0.2666666666666667
2002-05-12,6.0
2002-05-19,2.0
2002-05-26,1.1307692307692307
2002-06-02,3.0
2002-06-09,-0.5
2002-06-16,-2.3333333333333335
2002-06-23,0.9675675675675677
2002-06-30,5.07
2002-07-07,-0.16666666666666666
2002-07-14,3.25
2002-07-21,-0.37142857142857144
2002-07-28,-0.37142857142857144
2002-08-04,-0.37142857142857144
2002-08-11,-0.37142857142857144
2002-08-18,4.633333333333334
2002-08-25,4.633333333333334
2002-09-01,3.8347826086956522
2002-09-08,2.3499999999999996
2002-09-15,5.072727272727272
2002-09-22,3.4
2002-09-29,-2.1458333333333335
2002-10-06,1.7192307692307691
2002-10-13,-0.8600000000000001
2002-10-20,2.44
2002-10-27,0.4
2002-11-03,-3.0
2002-11-10,-2.5500000000000003
2002-11-17,2.175
2002-11-24,2.7948717948717947
2002-12-01,0.7299999999999999
2002-12-08,2.667415730337079
2002-12-15,1.2028571428571428
2002-12-22,-0.33846153846153837
2002-12-29,0.0
2003-01-05,-2.742857142857143
2003-01-12,2.0265625
2003-01-19,2.0125
2003-01-26,0.6804347826086956
2003-02-02,3.9733333333333336
2003-02-09,0.65
2003-02-16,-1.2857142857142854
2003-02-23,-1.3457142857142859
2003-03-02,1.7517241379310344
2003-03-09,-0.42121212121212126
2003-03-16,-0.3571428571428572
2003-03-23,1.0892857142857142
2003-03-30,-3.0027777777777778
2003-04-06,-0.39056603773584914
2003-04-13,1.4882352941176469
2003-04-20,0.75
2003-04-27,0.8333333333333334
2003-05-04,4.6375
2003-05-11,2.07
2003-05-18,2.02
2003-05-25,4.6
