week,goldstein
2000-01-16,-0.025000000000000022
2000-01-23,-4.0
2000-01-30,-4.0
2000-02-06,-4.0
2000-02-13,-4.0
2000-02-20,-4.0
2000-02-27,-4.0
2000-03-05,-4.0
2000-03-12,-4.0
2000-03-19,-4.0
2000-03-26,-4.0
2000-04-02,-4.0
2000-04-09,-4.0
2000-04-16,-4.0
2000-04-23,-4.0
2000-04-30,0.0
2000-05-07,0.0
2000-05-14,0.0
2000-05-21,0.0
2000-05-28,0.0
2000-06-04,4.0
2000-06-11,4.0
2000-06-18,2.5
2000-06-25,3.6363636363636362
2000-07-02,1.9682926829268292
2000-07-09,2.392857142857143
2000-07-16,2.5625
2000-07-23,3.1357142857142857
2000-07-30,2.175
2000-08-06,2.175
2000-08-13,2.175
2000-08-20,2.3499999999999996
2000-08-27,1.45
2000-09-03,1.45
2000-09-10,2.3499999999999996
2000-09-17,0.4
2000-09-24,1.4333333333333333
2000-10-01,6.0
2000-10-08,6.0
2000-10-15,4.0
2000-10-22,2.9799999999999995
2000-10-29,-6.5
2000-11-05,-7.5
2000-11-12,-2.0
2000-11-19,0.9799999999999999
2000-11-26,3.0
2000-12-03,3.0
2000-12-10,3.0
2000-12-17,3.0
2000-12-24,0.0
2000-12-31,0.0
2001-01-07,1.0
2001-01-14,0.4
2001-01-21,0.4
2001-01-28,4.68
2001-02-04,0.0
2001-02-11,0.0
2001-02-18,6.0
2001-02-25,2.3499999999999996
2001-03-04,2.3499999999999996
2001-03-11,2.3499999999999996
2001-03-18,1.0
2001-03-25,1.0
2001-04-01,1.0
2001-04-08,1.0
2001-04-15,1.0
2001-04-22,-4.25
2001-04-29,-4.25
2001-05-06,-4.25
2001-05-13,3.057142857142857
2001-05-20,3.057142857142857
2001-05-27,3.057142857142857
2001-06-03,3.057142857142857
2001-06-10,3.057142857142857
2001-06-17,3.057142857142857
2001-06-24,3.057142857142857
2001-07-01,3.057142857142857
2001-07-08,3.057142857142857
2001-07-15,5.175
2001-07-22,5.175
2001-07-29,5.175
2001-08-05,5.175
2001-08-12,5.175
2001-08-19,0.012499999999999956
2001-08-26,1.48
2001-09-02,1.48
2001-09-09,1.48
2001-09-16,3.2333333333333334
2001-09-23,3.2333333333333334
2001-09-30,3.2333333333333334
2001-10-07,3.2333333333333334
2001-10-14,3.2333333333333334
2001-10-21,3.2333333333333334
2001-10-28,3.2333333333333334
2001-11-04,-10.0
2001-11-11,-10.0
2001-11-18,-10.0
2001-11-25,2.3499999999999996
2001-12-02,3.0
2001-12-09,0.625
2001-12-16,0.48571428571428565
2001-12-23,-5.32
2001-12-30,3.8
2002-01-06,2.7625
2002-01-13,2.54
2002-01-20,1.7
2002-01-27,0.0
2002-02-03,0.0
2002-02-10,0.0
2002-02-17,2.3499999999999996
2002-02-24,2.3499999999999996
2002-03-03,2.3499999999999996
2002-03-10,2.3499999999999996
2002-03-17,2.3499999999999996
2002-03-24,2.3499999999999996
2002-03-31,2.3499999999999996
2002-04-07,3.0
2002-04-14,3.0
2002-04-21,3.0
2002-04-28,2.3499999999999996
2002-05-05,2.3499999999999996
2002-05-12,2.3499999999999996
2002-05-19,4.0
2002-05-26,1.0
2002-06-02,1.2
2002-06-09,2.3499999999999996
2002-06-16,3.0
2002-06-23,3.0
2002-06-30,3.0
2002-07-07,3.0
2002-07-14,-0.9500000000000002
2002-07-21,-0.9500000000000002
2002-07-28,-0.9500000000000002
2002-08-04,-0.9500000000000002
2002-08-11,-0.9500000000000002
2002-08-18,-0.9500000000000002
2002-08-25,-0.9500000000000002
2002-09-01,-0.9500000000000002
2002-09-08,-0.9500000000000002
2002-09-15,-0.9500000000000002
2002-09-22,-0.9500000000000002
2002-09-29,3.3333333333333335
2002-10-06,6.666666666666667
2002-10-13,6.666666666666667
2002-10-20,6.666666666666667
2002-10-27,6.666666666666667
2002-11-03,6.666666666666667
2002-11-10,6.666666666666667
2002-11-17,6.666666666666667
2002-11-24,6.666666666666667
2002-12-01,-6.0
2002-12-08,6.4
2002-12-15,6.4
2002-12-22,-2.1714285714285713
2002-12-29,-2.1714285714285713
2003-01-05,-2.1714285714285713
2003-01-12,-2.1714285714285713
2003-01-19,2.3499999999999996
2003-01-26,2.3499999999999996
2003-02-02,2.3499999999999996
2003-02-09,2.3499999999999996
2003-02-16,-0.8
2003-02-23,3.3333333333333335
2003-03-02,3.3666666666666667
2003-03-09,3.3666666666666667
2003-03-16,3.3666666666666667
2003-03-23,3.3666666666666667
2003-03-30,3.3666666666666667
2003-04-06,3.3666666666666667
2003-04-13,3.3666666666666667
2003-04-20,-0.4
2003-04-27,-0.4
2003-05-04,-0.4
2003-05-11,3.0
2003-05-18,3.8
2003-05-25,3.8
2003-06-01,3.8
2003-06-08,4.0
2003-06-15,-4.0
2003-06-22,-4.0
2003-06-29,-4.0
2003-07-06,3.0
2003-07-13,1.8999999999999997
2003-07-20,2.3499999999999996
2003-07-27,1.0799999999999998
2003-08-03,-4.666666666666667
2003-08-10,-4.666666666666667
2003-08-17,-4.666666666666667
2003-08-24,0.3583333333333332
2003-08-31,3.0428571428571427
2003-09-07,2.6277777777777778
2003-09-14,1.55
2003-09-21,-0.3789473684210527
2003-09-28,-0.8999999999999998
2003-10-05,1.8399999999999999
2003-10-12,1.8399999999999999
2003-10-19,1.8399999999999999
2003-10-26,1.8399999999999999
2003-11-02,2.3499999999999996
2003-11-09,0.0
2003-11-16,2.3499999999999996
2003-11-23,1.0
2003-11-30,1.0
2003-12-07,3.733333333333333
2003-12-14,-3.7285714285714286
2003-12-21,0.5
2003-12-28,1.5625
2004-01-04,4.0
2004-01-11,4.0
2004-01-18,2.3
2004-01-25,2.7399999999999998
2004-02-01,2.1999999999999997
2004-02-08,0.0
2004-02-15,0.71875
2004-02-22,0.71875
2004-02-29,1.0
2004-03-07,1.0
2004-03-14,2.3499999999999996
2004-03-21,3.4
2004-03-28,3.5
2004-04-04,3.5
2004-04-11,2.3499999999999996
2004-04-18,2.3499999999999996
2004-04-25,2.3499999999999996
2004-05-02,2.3499999999999996
2004-05-09,2.3499999999999996
2004-05-16,2.3499999999999996
2004-05-23,-0.3
2004-05-30,-0.3
2004-06-06,-2.0
2004-06-13,1.7625
2004-06-20,1.0
2004-06-27,1.0
2004-07-04,1.0
2004-07-11,3.4
2004-07-18,3.0
2004-07-25,3.0
2004-08-01,3.0
2004-08-08,3.0
2004-08-15,3.0
2004-08-22,3.0
2004-08-29,3.0
2004-09-05,3.0
2004-09-12,3.0
2004-09-19,3.0
2004-09-26,3.0
2004-10-03,3.0
2004-10-10,3.0
2004-10-17,3.0
2004-10-24,5.2
2004-10-31,5.2
2004-11-07,5.2
2004-11-14,5.2
2004-11-21,4.545454545454546
2004-11-28,4.545454545454546
2004-12-05,3.3400000000000003
2004-12-12,2.3499999999999996
2004-12-19,2.3499999999999996
2004-12-26,2.3499999999999996
2005-01-02,2.3499999999999996
2005-01-09,1.1749999999999998
2005-01-16,1.1749999999999998
2005-01-23,1.1749999999999998
2005-01-30,1.1749999999999998
2005-02-06,1.1749999999999998
2005-02-13,1.1749999999999998
2005-02-20,1.1749999999999998
2005-02-27,1.1749999999999998
2005-03-06,1.1749999999999998
2005-03-13,1.1749999999999998
2005-03-20,-0.25
2005-03-27,-0.25
2005-04-03,-0.25
2005-04-10,3.5
2005-04-17,3.5
2005-04-24,3.5
2005-05-01,3.5
2005-05-08,7.5
2005-05-15,7.5
2005-05-22,3.0
2005-05-29,3.0
2005-06-05,3.0
2005-06-12,3.0
2005-06-19,3.0
2005-06-26,3.0
2005-07-03,3.0
2005-07-10,3.0
2005-07-17,3.0
2005-07-24,2.3499999999999996
2005-07-31,2.3499999999999996
2005-08-07,2.3499999999999996
2005-08-14,2.3499999999999996
2005-08-21,2.3499999999999996
2005-08-28,2.3499999999999996
2005-09-04,2.3499999999999996
2005-09-11,2.3499999999999996
2005-09-18,2.3499999999999996
2005-09-25,-5.0
2005-10-02,-5.0
2005-10-09,-5.0
2005-10-16,-5.0
2005-10-23,1.3599999999999999
2005-10-30,0.7
2005-11-06,-2.0
2005-11-13,2.3499999999999996
