SQLDATE,a1,a2,GoldsteinScale
20000101,GBR,CHN,-0.4
20000101,GBR,CHN,-0.4
20000102,GBR,CHN,1.9
20000102,CHN,GBR,2.8
20000102,CHN,GBR,2.8
20000102,GBR,CHN,1.9
20000102,CHN,GBR,2.8
20000102,GBR,CHN,1.9
20000103,GBR,CHN,3.5
20000103,GBR,CHN,3.5
20000103,GBR,CHN,3.5
20000103,GBR,CHN,3.5
20000103,GBR,CHN,3.5
20000104,GBR,CHN,-5.0
20000104,GBR,CHN,-5.0
20000104,CHN,GBR,1.0
20000104,GBR,CHN,1.0
20000105,GBR,CHN,2.8
20000105,GBR,CHN,-2.0
20000105,GBR,CHN,-2.0
20000105,GBR,CHN,1.0
20000105,CHN,GBR,1.0
20000105,GBR,CHN,5.0
20000105,CHN,GBR,1.9
20000105,CHN,GBR,1.9
20000105,GBR,CHN,1.0
20000105,CHN,GBR,1.0
20000105,GBR,CHN,2.8
20000105,GBR,CHN,5.0
20000106,GBR,CHN,3.5
20000106,CHN,GBR,7.0
20000106,CHN,GBR,4.0
20000106,CHN,GBR,7.0
20000106,GBR,CHN,7.0
20000106,GBR,CHN,7.0
20000106,GBR,CHN,7.0
20000106,CHN,GBR,3.5
20000106,GBR,CHN,3.5
20000106,CHN,GBR,3.5
20000106,GBR,CHN,3.5
20000106,GBR,CHN,2.8
20000106,CHN,GBR,7.0
20000106,CHN,GBR,3.5
20000106,CHN,GBR,1.9
20000107,CHN,GBR,-5.0
20000107,CHN,GBR,-5.0
20000107,CHN,GBR,-5.0
20000107,CHN,GBR,-5.0
20000107,GBR,CHN,3.0
20000107,CHN,GBR,-5.0
20000107,GBR,CHN,3.0
20000110,CHN,GBR,1.9
20000110,CHN,GBR,1.9
20000110,CHN,GBR,3.0
20000110,CHN,GBR,3.0
20000110,GBR,CHN,2.8
20000110,GBR,CHN,2.8
20000110,CHN,GBR,3.0
20000111,GBR,CHN,3.4
20000111,CHN,GBR,1.0
20000111,CHN,GBR,4.0
20000111,GBR,CHN,1.0
20000111,GBR,CHN,7.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,4.0
20000111,CHN,GBR,4.0
20000111,CHN,GBR,1.9
20000111,CHN,GBR,4.0
20000111,CHN,GBR,1.0
20000111,CHN,GBR,1.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,4.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,3.4
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,CHN,GBR,3.4
20000111,GBR,CHN,4.0
20000111,GBR,CHN,2.8
20000111,GBR,CHN,2.8
20000111,GBR,CHN,1.0
20000111,CHN,GBR,1.9
20000111,CHN,GBR,4.0
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,GBR,CHN,1.0
20000111,GBR,CHN,2.8
20000111,CHN,GBR,7.0
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,GBR,CHN,1.0
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.9
20000111,CHN,GBR,4.0
20000111,CHN,GBR,7.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,GBR,CHN,4.0
20000111,CHN,GBR,1.0
20000111,GBR,CHN,7.0
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,CHN,GBR,4.0
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,3.4
20000111,CHN,GBR,1.9
20000111,CHN,GBR,1.9
20000111,GBR,CHN,2.8
20000111,CHN,GBR,1.9
20000111,CHN,GBR,4.0
20000111,GBR,CHN,1.0
20000112,CHN,GBR,1.0
20000112,GBR,CHN,1.9
20000112,CHN,GBR,2.8
20000112,CHN,GBR,5.0
20000112,CHN,GBR,5.0
20000113,CHN,GBR,1.0
20000113,CHN,GBR,2.8
20000113,GBR,CHN,2.8
20000113,GBR,CHN,3.8
20000113,GBR,CHN,1.0
20000113,CHN,GBR,3.0
20000113,CHN,GBR,1.0
20000113,GBR,CHN,3.0
20000113,CHN,GBR,2.8
20000113,GBR,CHN,1.0
20000113,GBR,CHN,1.9
20000113,CHN,GBR,2.8
20000113,CHN,GBR,1.0
20000113,GBR,CHN,1.9
20000113,CHN,GBR,1.9
20000113,GBR,CHN,7.0
20000113,GBR,CHN,3.0
20000113,GBR,CHN,1.9
20000113,CHN,GBR,2.8
20000113,CHN,GBR,3.0
20000113,GBR,CHN,1.0
20000113,GBR,CHN,1.9
20000113,GBR,CHN,3.4
20000113,CHN,GBR,2.8
20000113,CHN,GBR,3.4
20000113,CHN,GBR,1.9
20000113,GBR,CHN,1.9
20000113,CHN,GBR,1.9
20000113,CHN,GBR,2.8
20000113,CHN,GBR,2.8
20000113,GBR,CHN,7.0
20000113,GBR,CHN,1.9
20000113,CHN,GBR,2.8
20000114,CHN,GBR,1.9
20000114,GBR,CHN,1.0
20000114,CHN,GBR,1.9
20000114,CHN,GBR,1.0
20000114,GBR,CHN,2.8
20000114,GBR,CHN,2.8
20000114,CHN,GBR,-4.4
20000114,CHN,GBR,-4.4
20000114,CHN,GBR,1.9
20000114,GBR,CHN,2.8
20000115,CHN,GBR,4.0
20000115,GBR,CHN,2.8
20000115,CHN,GBR,1.9
20000115,GBR,CHN,2.8
20000115,CHN,GBR,1.9
20000115,CHN,GBR,4.0
20000115,GBR,CHN,2.8
20000115,CHN,GBR,4.0
20000115,CHN,GBR,1.9
20000115,CHN,GBR,1.9
20000115,GBR,CHN,2.8
20000117,CHN,GBR,6.0
20000117,GBR,CHN,2.8
20000117,GBR,CHN,2.8
20000117,GBR,CHN,-2.0
20000117,CHN,GBR,1.9
20000117,CHN,GBR,6.0
20000117,GBR,CHN,-2.0
20000117,CHN,GBR,6.0
20000117,CHN,GBR,6.0
20000117,CHN,GBR,1.9
20000117,CHN,GBR,-2.0
20000118,GBR,CHN,2.8
20000118,CHN,GBR,1.9
20000118,CHN,GBR,1.9
20000118,CHN,GBR,1.9
20000118,CHN,GBR,1.9
20000118,GBR,CHN,1.0
20000118,CHN,GBR,1.0
20000118,CHN,GBR,1.0
20000118,GBR,CHN,1.0
20000118,GBR,CHN,1.0
20000118,CHN,GBR,-4.4
20000118,CHN,GBR,1.0
20000118,CHN,GBR,1.9
20000118,CHN,GBR,-4.4
20000118,GBR,CHN,2.8
20000118,GBR,CHN,2.8
20000118,CHN,GBR,1.9
20000118,CHN,GBR,1.9
20000118,CHN,GBR,1.9
20000118,GBR,CHN,2.8
20000118,CHN,GBR,1.0
20000118,CHN,GBR,1.9
20000118,GBR,CHN,1.0
20000118,CHN,GBR,1.9
20000119,GBR,CHN,7.0
20000119,GBR,CHN,4.0
20000119,GBR,CHN,2.8
20000119,CHN,GBR,7.0
20000119,CHN,GBR,1.9
20000119,CHN,GBR,7.0
20000119,GBR,CHN,4.0
20000119,GBR,CHN,7.0
20000119,GBR,CHN,7.0
20000119,CHN,GBR,7.0
20000120,CHN,GBR,0.0
20000120,CHN,GBR,7.0
20000120,GBR,CHN,3.0
20000120,GBR,CHN,2.8
20000120,GBR,CHN,7.0
20000120,CHN,GBR,3.5
20000120,GBR,CHN,2.8
20000120,CHN,GBR,3.5
20000120,CHN,GBR,3.5
20000120,GBR,CHN,2.8
20000120,GBR,CHN,3.5
20000120,CHN,GBR,1.9
20000120,CHN,GBR,-5.0
20000120,GBR,CHN,4.0
20000120,GBR,CHN,7.0
