SQLDATE,a1,a2,GoldsteinScale
20000103,IND,CHN,-4.0
20000103,CHN,IND,1.9
20000103,IND,CHN,3.4
20000103,IND,CHN,2.8
20000107,IND,CHN,1.9
20000107,CHN,IND,7.0
20000107,IND,CHN,2.8
20000107,CHN,IND,1.9
20000107,CHN,IND,2.8
20000107,IND,CHN,1.9
20000107,IND,CHN,5.0
20000107,IND,CHN,7.0
20000107,CHN,IND,1.9
20000107,IND,CHN,2.8
20000108,IND,CHN,1.9
20000108,IND,CHN,3.5
20000108,IND,CHN,3.5
20000108,IND,CHN,3.5
20000108,IND,CHN,3.5
20000108,CHN,IND,2.8
20000108,IND,CHN,3.5
20000109,CHN,IND,0.0
20000109,IND,CHN,-10.0
20000109,IND,CHN,-10.0
20000109,IND,CHN,3.4
20000109,IND,CHN,3.4
20000109,IND,CHN,-10.0
20000109,IND,CHN,-4.4
20000109,CHN,IND,0.0
20000110,IND,CHN,2.8
20000110,IND,CHN,4.0
20000110,IND,CHN,4.0
20000110,IND,CHN,4.0
20000110,CHN,IND,1.9
20000112,IND,CHN,-4.4
20000112,CHN,IND,0.0
20000112,IND,CHN,1.9
20000112,CHN,IND,2.8
20000113,CHN,IND,0.0
20000113,CHN,IND,3.4
20000113,CHN,IND,0.0
20000113,CHN,IND,-0.4
20000113,CHN,IND,-0.4
20000113,CHN,IND,3.4
20000113,CHN,IND,4.0
20000113,CHN,IND,4.0
20000113,CHN,IND,-4.0
20000113,CHN,IND,4.0
20000113,CHN,IND,-0.4
20000114,IND,CHN,2.8
20000114,IND,CHN,1.0
20000114,IND,CHN,-4.4
20000114,IND,CHN,0.0
20000114,IND,CHN,0.0
20000114,CHN,IND,1.9
20000114,IND,CHN,0.0
20000114,IND,CHN,0.0
20000114,IND,CHN,3.0
20000114,IND,CHN,0.0
20000114,IND,CHN,3.0
20000114,IND,CHN,-4.4
20000114,CHN,IND,1.0
20000114,IND,CHN,3.0
20000114,IND,CHN,0.0
20000115,CHN,IND,1.9
20000115,IND,CHN,2.8
20000115,IND,CHN,-2.0
20000115,CHN,IND,1.9
20000115,IND,CHN,2.8
20000116,CHN,IND,-2.0
20000116,IND,CHN,-4.0
20000116,IND,CHN,0.0
20000116,CHN,IND,0.4
20000116,IND,CHN,-4.0
20000116,CHN,IND,-2.0
20000116,CHN,IND,-4.4
20000116,IND,CHN,0.0
20000116,IND,CHN,3.0
20000116,CHN,IND,7.0
20000117,CHN,IND,7.0
20000117,CHN,IND,-4.4
20000117,CHN,IND,7.0
20000117,CHN,IND,-4.4
20000117,CHN,IND,0.4
20000117,CHN,IND,0.4
20000117,CHN,IND,0.0
20000117,CHN,IND,0.0
20000118,IND,CHN,-4.4
20000119,IND,CHN,-2.0
20000119,IND,CHN,-2.0
20000119,CHN,IND,3.5
20000120,IND,CHN,6.0
20000121,CHN,IND,3.5
20000121,CHN,IND,-4.0
20000122,CHN,IND,2.8
20000122,IND,CHN,4.0
