SQLDATE,a1,a2,GoldsteinScale
20000107,CHN,IRN,2.8
20000107,CHN,IRN,2.8
20000107,CHN,IRN,2.8
20000107,CHN,IRN,2.8
20000107,IRN,CHN,1.9
20000107,IRN,CHN,1.9
20000107,IRN,CHN,1.9
20000107,CHN,IRN,2.8
20000107,IRN,CHN,1.9
20000107,IRN,CHN,1.9
20000113,CHN,IRN,2.5
20000113,IRN,CHN,2.5
20000117,IRN,CHN,3.5
20000117,CHN,IRN,3.5
20000117,CHN,IRN,7.0
20000117,IRN,CHN,7.0
20000124,CHN,IRN,6.0
20000131,CHN,IRN,6.0
20000131,CHN,IRN,6.0
20000131,CHN,IRN,6.0
20000207,IRN,CHN,4.0
20000207,IRN,CHN,4.0
20000214,IRN,CHN,4.0
20000214,CHN,IRN,4.0
20000214,CHN,IRN,4.0
20000214,IRN,CHN,4.0
20000215,CHN,IRN,4.0
20000215,CHN,IRN,4.0
20000215,CHN,IRN,3.5
20000215,CHN,IRN,3.5
20000217,IRN,CHN,3.4
20000217,IRN,CHN,1.0
20000217,CHN,IRN,7.0
20000217,IRN,CHN,3.4
20000217,CHN,IRN,7.0
20000217,IRN,CHN,7.0
20000217,IRN,CHN,3.4
20000217,IRN,CHN,7.0
20000217,CHN,IRN,1.0
20000218,IRN,CHN,4.0
20000218,CHN,IRN,4.0
20000218,IRN,CHN,4.0
20000218,CHN,IRN,4.0
20000218,IRN,CHN,4.0
20000219,CHN,IRN,8.0
20000219,IRN,CHN,1.0
20000219,CHN,IRN,4.0
20000219,CHN,IRN,1.0
20000219,CHN,IRN,4.0
20000219,IRN,CHN,8.0
20000219,CHN,IRN,4.0
20000219,CHN,IRN,4.0
20000219,IRN,CHN,8.0
20000220,IRN,CHN,7.0
20000220,IRN,CHN,3.5
20000220,CHN,IRN,3.5
20000220,CHN,IRN,2.8
20000220,CHN,IRN,1.9
20000220,IRN,CHN,1.9
20000220,IRN,CHN,7.0
20000220,IRN,CHN,3.4
20000220,IRN,CHN,3.5
20000220,IRN,CHN,5.0
20000220,CHN,IRN,1.9
20000220,IRN,CHN,1.9
20000220,CHN,IRN,4.0
20000220,CHN,IRN,2.8
20000220,CHN,IRN,7.0
20000220,IRN,CHN,1.9
20000220,CHN,IRN,1.0
20000220,IRN,CHN,2.8
20000220,CHN,IRN,1.9
20000220,CHN,IRN,7.0
20000220,IRN,CHN,3.5
20000220,CHN,IRN,4.0
20000220,CHN,IRN,1.9
20000220,CHN,IRN,1.0
20000220,CHN,IRN,7.0
20000220,IRN,CHN,2.8
20000220,IRN,CHN,3.5
20000220,IRN,CHN,2.8
20000220,CHN,IRN,2.8
20000220,IRN,CHN,1.9
20000220,IRN,CHN,1.9
20000220,IRN,CHN,1.0
20000220,IRN,CHN,1.9
20000220,CHN,IRN,7.0
20000220,IRN,CHN,7.0
20000220,CHN,IRN,3.5
20000220,IRN,CHN,2.8
20000220,IRN,CHN,1.9
20000220,CHN,IRN,1.9
20000220,CHN,IRN,3.5
20000220,IRN,CHN,4.0
20000220,IRN,CHN,1.9
20000220,CHN,IRN,2.8
20000220,IRN,CHN,1.0
20000220,IRN,CHN,4.0
20000220,CHN,IRN,3.5
20000220,CHN,IRN,3.5
20000220,CHN,IRN,2.8
20000220,CHN,IRN,1.9
20000220,IRN,CHN,3.5
20000220,CHN,IRN,1.0
20000220,IRN,CHN,2.8
20000220,IRN,CHN,5.0
20000220,CHN,IRN,1.9
20000220,IRN,CHN,7.0
20000220,IRN,CHN,1.9
20000220,IRN,CHN,2.8
20000220,IRN,CHN,1.9
20000220,IRN,CHN,2.8
20000220,IRN,CHN,3.4
20000220,CHN,IRN,2.8
20000220,IRN,CHN,2.8
20000220,CHN,IRN,1.9
20000220,IRN,CHN,3.5
20000220,CHN,IRN,2.8
20000220,IRN,CHN,2.8
20000220,CHN,IRN,2.8
20000220,IRN,CHN,7.0
20000221,CHN,IRN,0.4
20000221,CHN,IRN,0.0
20000221,IRN,CHN,1.0
20000221,CHN,IRN,1.0
20000221,CHN,IRN,1.0
20000221,CHN,IRN,4.0
20000221,IRN,CHN,1.0
20000221,IRN,CHN,7.0
20000221,CHN,IRN,3.5
20000221,CHN,IRN,0.0
20000221,IRN,CHN,2.8
20000221,CHN,IRN,1.0
20000221,CHN,IRN,1.0
20000221,IRN,CHN,1.0
20000221,CHN,IRN,1.0
20000221,IRN,CHN,3.5
20000221,CHN,IRN,7.0
20000221,CHN,IRN,7.0
20000221,IRN,CHN,8.0
20000221,CHN,IRN,1.9
20000221,CHN,IRN,1.0
20000221,CHN,IRN,1.0
20000221,IRN,CHN,1.0
20000221,IRN,CHN,3.5
20000221,CHN,IRN,3.4
20000221,CHN,IRN,3.4
20000221,CHN,IRN,0.4
20000221,IRN,CHN,2.8
20000221,IRN,CHN,1.0
20000221,CHN,IRN,3.4
20000221,CHN,IRN,1.0
20000221,IRN,CHN,1.0
20000221,IRN,CHN,3.0
20000221,CHN,IRN,8.0
20000221,IRN,CHN,1.0
20000221,IRN,CHN,1.0
20000221,CHN,IRN,3.0
20000221,CHN,IRN,3.5
20000221,CHN,IRN,1.0
20000221,IRN,CHN,1.0
20000221,CHN,IRN,1.9
20000221,IRN,CHN,1.0
