SQLDATE,a1,a2,GoldsteinScale
20000104,ISR,CHN,6.4
20000104,CHN,ISR,1.9
20000104,CHN,ISR,6.0
20000104,ISR,CHN,4.0
20000104,CHN,ISR,2.8
20000104,ISR,CHN,1.9
20000104,ISR,CHN,6.4
20000104,ISR,CHN,4.0
20000104,ISR,CHN,-4.4
20000104,CHN,ISR,4.0
20000104,CHN,ISR,4.0
20000104,ISR,CHN,4.0
20000104,CHN,ISR,1.9
20000104,CHN,ISR,4.0
20000104,ISR,CHN,4.0
20000104,CHN,ISR,1.9
20000104,ISR,CHN,1.9
20000104,CHN,ISR,4.0
20000104,CHN,ISR,1.9
20000104,ISR,CHN,2.8
20000104,CHN,ISR,6.4
20000104,ISR,CHN,4.0
20000104,CHN,ISR,2.8
20000104,ISR,CHN,3.5
20000104,ISR,CHN,4.0
20000104,CHN,ISR,2.8
20000104,CHN,ISR,3.5
20000104,CHN,ISR,0.0
20000104,ISR,CHN,1.9
20000104,CHN,ISR,2.8
20000104,ISR,CHN,2.8
20000104,ISR,CHN,4.0
20000104,ISR,CHN,3.5
20000104,CHN,ISR,6.4
20000104,CHN,ISR,4.0
20000104,CHN,ISR,2.8
20000104,ISR,CHN,-2.0
20000104,CHN,ISR,1.9
20000104,ISR,CHN,1.9
20000104,CHN,ISR,2.8
20000104,CHN,ISR,2.8
20000104,CHN,ISR,2.8
20000104,CHN,ISR,4.0
20000104,ISR,CHN,6.0
20000104,ISR,CHN,4.0
20000104,CHN,ISR,4.0
20000104,CHN,ISR,0.0
20000104,ISR,CHN,1.9
20000104,CHN,ISR,3.5
20000104,ISR,CHN,1.9
20000104,CHN,ISR,1.9
20000104,ISR,CHN,6.0
20000104,CHN,ISR,6.0
20000104,ISR,CHN,6.0
20000104,CHN,ISR,1.9
20000104,ISR,CHN,6.4
20000104,ISR,CHN,1.9
20000104,ISR,CHN,1.9
20000104,ISR,CHN,6.0
20000104,ISR,CHN,-4.4
20000104,ISR,CHN,6.0
20000104,ISR,CHN,2.8
20000104,ISR,CHN,-4.4
20000104,CHN,ISR,2.8
20000104,CHN,ISR,2.8
20000104,CHN,ISR,6.4
20000104,CHN,ISR,4.0
20000104,CHN,ISR,0.0
20000104,ISR,CHN,6.0
20000104,ISR,CHN,1.9
20000104,ISR,CHN,1.9
20000104,ISR,CHN,6.0
20000104,CHN,ISR,6.0
20000104,ISR,CHN,-2.0
20000104,ISR,CHN,4.0
20000104,CHN,ISR,4.0
20000104,CHN,ISR,4.0
20000107,ISR,CHN,7.0
20000107,CHN,ISR,7.0
20000107,ISR,CHN,3.5
20000107,CHN,ISR,3.5
20000107,ISR,CHN,3.5
20000107,CHN,ISR,7.0
20000107,CHN,ISR,3.5
20000107,ISR,CHN,7.0
20000113,ISR,CHN,8.3
20000116,CHN,ISR,1.9
20000116,CHN,ISR,2.8
20000116,CHN,ISR,1.9
20000116,CHN,ISR,2.8
20000116,ISR,CHN,1.9
20000116,ISR,CHN,2.8
20000116,ISR,CHN,2.8
20000116,ISR,CHN,1.9
20000117,CHN,ISR,-5.0
20000118,CHN,ISR,1.0
20000118,CHN,ISR,7.0
20000118,ISR,CHN,7.0
20000118,CHN,ISR,7.0
20000118,ISR,CHN,1.0
20000118,CHN,ISR,1.0
20000118,ISR,CHN,1.0
20000118,ISR,CHN,1.0
20000119,CHN,ISR,1.9
20000119,CHN,ISR,2.8
20000119,ISR,CHN,1.0
20000119,ISR,CHN,1.0
20000119,ISR,CHN,1.0
20000119,ISR,CHN,1.9
20000119,CHN,ISR,1.0
20000119,CHN,ISR,1.0
20000119,ISR,CHN,2.8
20000119,CHN,ISR,1.0
20000120,ISR,CHN,7.0
20000120,CHN,ISR,7.0
20000120,ISR,CHN,7.0
20000120,ISR,CHN,3.0
20000120,CHN,ISR,7.0
20000120,CHN,ISR,7.0
20000120,CHN,ISR,7.0
20000120,ISR,CHN,7.0
20000120,ISR,CHN,7.0
20000121,CHN,ISR,7.4
20000204,CHN,ISR,3.0
20000204,ISR,CHN,2.8
20000204,ISR,CHN,2.8
20000204,ISR,CHN,0.0
20000204,CHN,ISR,1.9
20000216,ISR,CHN,1.9
20000216,ISR,CHN,1.0
20000216,ISR,CHN,1.0
20000216,CHN,ISR,2.8
20000216,CHN,ISR,2.8
20000216,ISR,CHN,1.0
20000216,ISR,CHN,1.9
20000216,ISR,CHN,1.0
20000217,ISR,CHN,4.0
20000217,CHN,ISR,4.0
20000217,CHN,ISR,6.0
20000217,ISR,CHN,3.5
20000217,CHN,ISR,4.0
20000217,CHN,ISR,3.5
20000217,ISR,CHN,4.0
20000217,CHN,ISR,6.0
20000217,ISR,CHN,6.0
20000217,CHN,ISR,3.5
20000217,ISR,CHN,3.5
20000217,ISR,CHN,6.0
20000217,ISR,CHN,6.0
20000218,ISR,CHN,7.0
20000218,ISR,CHN,7.0
20000218,CHN,ISR,7.0
20000218,CHN,ISR,7.0
20000222,CHN,ISR,2.8
20000222,ISR,CHN,-5.0
20000222,ISR,CHN,1.9
20000222,CHN,ISR,2.8
20000222,ISR,CHN,1.9
20000225,ISR,CHN,-4.0
20000225,ISR,CHN,-4.0
20000225,ISR,CHN,-4.0
20000229,ISR,CHN,3.5
20000229,ISR,CHN,1.9
20000229,CHN,ISR,6.0
20000229,ISR,CHN,1.9
20000229,CHN,ISR,3.5
20000229,ISR,CHN,1.0
20000229,ISR,CHN,0.0
20000229,CHN,ISR,3.5
20000229,CHN,ISR,2.8
20000229,ISR,CHN,3.4
20000229,ISR,CHN,3.4
20000229,ISR,CHN,6.0
20000229,ISR,CHN,1.0
20000229,ISR,CHN,1.9
20000229,ISR,CHN,1.9
20000229,ISR,CHN,3.5
20000229,CHN,ISR,1.0
20000229,CHN,ISR,1.0
20000229,ISR,CHN,6.0
20000229,CHN,ISR,2.8
20000229,CHN,ISR,6.0
20000229,ISR,CHN,1.9
20000301,ISR,CHN,1.0
20000301,CHN,ISR,1.0
20000302,ISR,CHN,-7.2
20000302,ISR,CHN,7.0
20000302,CHN,ISR,7.0
20000303,CHN,ISR,2.8
20000303,ISR,CHN,1.9
20000303,CHN,ISR,2.8
20000303,ISR,CHN,1.9
20000303,ISR,CHN,8.0
20000303,ISR,CHN,1.9
20000303,CHN,ISR,2.8
20000303,CHN,ISR,8.0
20000303,CHN,ISR,8.0
20000303,ISR,CHN,8.0
20000319,CHN,ISR,1.9
20000319,ISR,CHN,2.8
20000319,ISR,CHN,2.8
20000319,CHN,ISR,1.9
20000319,CHN,ISR,1.9
20000319,ISR,CHN,2.8
20000324,ISR,CHN,6.4
20000324,ISR,CHN,6.4
20000324,CHN,ISR,6.4
20000324,CHN,ISR,6.4
20000326,CHN,ISR,4.0
20000326,ISR,CHN,4.0
20000326,CHN,ISR,4.0
20000326,ISR,CHN,4.0
20000326,ISR,CHN,4.0
20000326,CHN,ISR,4.0
20000326,CHN,ISR,4.0
20000326,CHN,ISR,4.0
20000326,CHN,ISR,4.0
20000330,CHN,ISR,4.0
20000330,CHN,ISR,5.2
20000330,CHN,ISR,4.0
20000330,ISR,CHN,7.0
20000330,CHN,ISR,4.0
20000330,CHN,ISR,4.0
20000330,CHN,ISR,4.0
20000330,CHN,ISR,1.9
20000330,CHN,ISR,5.2
20000330,CHN,ISR,6.4
20000330,ISR,CHN,4.0
20000330,CHN,ISR,1.9
20000330,ISR,CHN,2.8
20000330,CHN,ISR,-2.0
20000330,CHN,ISR,4.0
20000330,ISR,CHN,7.0
20000330,ISR,CHN,4.0
20000330,ISR,CHN,4.0
20000330,CHN,ISR,4.0
20000330,CHN,ISR,1.9
20000330,ISR,CHN,2.8
20000330,CHN,ISR,7.0
20000330,ISR,CHN,4.0
20000330,ISR,CHN,4.0
20000330,CHN,ISR,5.2
20000330,ISR,CHN,6.4
20000330,ISR,CHN,4.0
