SQLDATE,a1,a2,GoldsteinScale
20000101,CHN,PAK,-10.0
20000101,CHN,PAK,-10.0
20000102,CHN,PAK,6.4
20000103,PAK,CHN,0.0
20000106,PAK,CHN,4.0
20000106,PAK,CHN,4.0
20000106,PAK,CHN,4.0
20000106,PAK,CHN,4.0
20000106,PAK,CHN,4.0
20000109,CHN,PAK,3.5
20000109,PAK,CHN,3.5
20000109,CHN,PAK,2.8
20000109,CHN,PAK,3.5
20000109,PAK,CHN,1.9
20000109,PAK,CHN,0.0
20000109,PAK,CHN,4.0
20000109,CHN,PAK,2.8
20000109,CHN,PAK,2.8
20000109,PAK,CHN,3.5
20000109,PAK,CHN,1.9
20000109,CHN,PAK,2.8
20000109,PAK,CHN,4.0
20000109,PAK,CHN,1.9
20000109,PAK,CHN,4.0
20000109,PAK,CHN,1.9
20000110,PAK,CHN,4.0
20000110,CHN,PAK,4.0
20000110,CHN,PAK,3.5
20000110,CHN,PAK,4.0
20000110,CHN,PAK,3.5
20000110,PAK,CHN,1.9
20000110,PAK,CHN,0.0
20000110,CHN,PAK,2.8
20000111,CHN,PAK,2.8
20000111,CHN,PAK,2.8
20000111,PAK,CHN,4.0
20000111,PAK,CHN,1.9
20000111,PAK,CHN,4.0
20000111,CHN,PAK,4.0
20000111,CHN,PAK,4.0
20000111,PAK,CHN,1.9
20000111,CHN,PAK,4.0
20000111,CHN,PAK,2.8
20000111,PAK,CHN,1.9
20000111,CHN,PAK,2.8
20000111,PAK,CHN,1.9
20000111,PAK,CHN,4.0
20000112,PAK,CHN,-4.4
20000112,PAK,CHN,-4.4
20000113,CHN,PAK,3.4
20000113,PAK,CHN,-5.0
20000113,PAK,CHN,4.0
20000113,PAK,CHN,-5.0
20000113,PAK,CHN,4.0
20000113,PAK,CHN,0.0
20000113,PAK,CHN,-5.0
20000113,PAK,CHN,-5.0
20000113,PAK,CHN,2.5
20000113,CHN,PAK,2.8
20000113,CHN,PAK,4.0
20000113,PAK,CHN,1.9
20000113,PAK,CHN,1.9
20000113,PAK,CHN,4.0
20000113,PAK,CHN,4.0
20000113,PAK,CHN,4.0
20000113,CHN,PAK,4.0
20000113,PAK,CHN,0.0
20000113,PAK,CHN,-5.0
20000113,CHN,PAK,2.8
20000113,CHN,PAK,2.5
20000113,CHN,PAK,3.4
20000114,CHN,PAK,1.0
20000114,PAK,CHN,3.4
20000114,PAK,CHN,3.4
20000114,PAK,CHN,3.4
20000114,PAK,CHN,3.2
20000114,PAK,CHN,3.2
20000114,PAK,CHN,1.0
20000114,PAK,CHN,3.2
20000114,PAK,CHN,3.2
20000115,CHN,PAK,1.0
20000115,PAK,CHN,1.0
20000116,PAK,CHN,7.0
20000116,PAK,CHN,3.5
20000116,PAK,CHN,2.8
20000116,PAK,CHN,-0.4
20000116,PAK,CHN,4.0
20000116,CHN,PAK,7.0
20000116,CHN,PAK,1.0
20000116,PAK,CHN,2.8
20000116,CHN,PAK,1.9
20000116,CHN,PAK,3.5
20000116,CHN,PAK,3.5
20000116,CHN,PAK,2.8
20000116,PAK,CHN,4.0
20000116,CHN,PAK,1.9
20000116,CHN,PAK,1.9
20000116,PAK,CHN,1.0
20000116,PAK,CHN,4.0
20000116,CHN,PAK,2.8
20000116,PAK,CHN,1.9
20000116,CHN,PAK,1.9
20000116,CHN,PAK,7.0
20000116,CHN,PAK,4.0
20000116,PAK,CHN,1.9
20000116,CHN,PAK,2.8
20000116,CHN,PAK,2.8
20000116,CHN,PAK,2.8
20000116,PAK,CHN,1.9
20000116,CHN,PAK,1.9
20000116,PAK,CHN,1.0
20000116,PAK,CHN,3.5
20000116,PAK,CHN,2.8
20000116,PAK,CHN,2.8
20000116,PAK,CHN,1.9
20000116,PAK,CHN,4.0
20000116,CHN,PAK,4.0
20000116,CHN,PAK,2.8
20000116,PAK,CHN,1.9
20000116,PAK,CHN,1.9
20000116,CHN,PAK,2.8
20000116,CHN,PAK,8.3
20000116,PAK,CHN,1.9
20000116,PAK,CHN,7.0
20000116,CHN,PAK,2.8
20000116,CHN,PAK,1.0
20000116,PAK,CHN,2.8
20000116,PAK,CHN,1.0
20000116,PAK,CHN,1.0
20000116,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.0
20000117,CHN,PAK,0.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,7.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,4.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.9
20000117,PAK,CHN,8.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,CHN,PAK,1.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,-2.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,PAK,CHN,7.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,CHN,PAK,8.0
20000117,CHN,PAK,4.0
20000117,CHN,PAK,7.0
20000117,PAK,CHN,6.4
20000117,CHN,PAK,2.8
20000117,PAK,CHN,4.0
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.9
20000117,PAK,CHN,1.0
20000117,PAK,CHN,0.0
20000117,CHN,PAK,3.4
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.9
20000117,PAK,CHN,1.9
20000117,PAK,CHN,3.5
20000117,PAK,CHN,4.5
20000117,PAK,CHN,3.4
20000117,CHN,PAK,-0.4
20000117,CHN,PAK,4.5
20000117,CHN,PAK,7.0
20000117,PAK,CHN,2.8
20000117,PAK,CHN,4.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,3.4
20000117,PAK,CHN,7.0
20000117,PAK,CHN,1.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,4.0
20000117,CHN,PAK,3.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,0.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.9
20000117,PAK,CHN,1.9
20000117,CHN,PAK,4.0
20000117,PAK,CHN,7.0
20000117,PAK,CHN,4.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,0.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,1.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,4.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,7.0
20000117,CHN,PAK,0.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,7.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,3.4
20000117,CHN,PAK,1.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,7.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,3.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,PAK,CHN,4.0
20000117,CHN,PAK,7.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,6.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,3.5
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,PAK,CHN,2.8
20000117,CHN,PAK,1.0
20000117,PAK,CHN,7.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,4.0
20000117,CHN,PAK,0.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,PAK,CHN,7.0
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,3.4
20000117,PAK,CHN,1.9
20000117,PAK,CHN,3.4
20000117,CHN,PAK,7.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,0.0
20000117,CHN,PAK,1.9
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.0
20000117,CHN,PAK,0.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,0.4
20000117,PAK,CHN,0.0
20000117,CHN,PAK,7.0
20000117,CHN,PAK,4.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,1.9
20000117,PAK,CHN,1.9
20000117,PAK,CHN,7.0
20000117,CHN,PAK,3.4
20000117,CHN,PAK,4.0
20000117,PAK,CHN,1.0
20000117,PAK,CHN,7.0
20000117,PAK,CHN,0.0
20000117,PAK,CHN,0.0
20000117,PAK,CHN,3.4
20000117,PAK,CHN,3.4
20000117,PAK,CHN,1.0
20000117,PAK,CHN,7.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,4.5
20000117,PAK,CHN,6.4
20000117,CHN,PAK,1.0
20000117,PAK,CHN,7.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,6.4
20000117,PAK,CHN,1.9
20000117,CHN,PAK,3.5
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.0
20000117,PAK,CHN,1.9
20000117,PAK,CHN,2.8
20000117,CHN,PAK,0.0
20000117,PAK,CHN,0.0
20000117,PAK,CHN,1.0
20000117,CHN,PAK,2.8
20000117,PAK,CHN,3.5
20000117,PAK,CHN,3.4
20000117,CHN,PAK,2.8
20000117,CHN,PAK,0.4
20000117,PAK,CHN,1.9
20000117,PAK,CHN,1.9
20000117,CHN,PAK,7.0
20000117,CHN,PAK,1.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,PAK,CHN,1.9
20000117,CHN,PAK,1.9
20000117,PAK,CHN,1.0
20000117,CHN,PAK,2.8
20000117,CHN,PAK,2.8
20000117,PAK,CHN,0.0
20000117,CHN,PAK,1.0
20000117,PAK,CHN,0.0
20000117,PAK,CHN,1.9
20000117,CHN,PAK,2.8
20000118,PAK,CHN,1.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,0.4
20000118,PAK,CHN,1.9
20000118,PAK,CHN,2.8
20000118,CHN,PAK,1.0
20000118,CHN,PAK,3.4
20000118,PAK,CHN,1.9
20000118,PAK,CHN,1.9
20000118,PAK,CHN,0.0
20000118,PAK,CHN,1.9
20000118,PAK,CHN,2.8
20000118,CHN,PAK,7.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,1.0
20000118,CHN,PAK,4.0
20000118,CHN,PAK,0.4
20000118,CHN,PAK,0.4
20000118,CHN,PAK,0.4
20000118,CHN,PAK,5.2
20000118,CHN,PAK,3.4
20000118,PAK,CHN,-0.3
20000118,PAK,CHN,2.8
20000118,PAK,CHN,1.0
20000118,CHN,PAK,2.8
20000118,PAK,CHN,2.8
20000118,PAK,CHN,1.0
20000118,CHN,PAK,2.8
20000118,PAK,CHN,1.0
20000118,PAK,CHN,3.4
20000118,CHN,PAK,0.4
20000118,PAK,CHN,1.9
20000118,PAK,CHN,3.4
20000118,CHN,PAK,7.0
20000118,CHN,PAK,2.8
20000118,CHN,PAK,7.0
20000118,PAK,CHN,1.0
20000118,CHN,PAK,0.4
20000118,CHN,PAK,3.4
20000118,PAK,CHN,1.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,0.4
20000118,CHN,PAK,7.0
20000118,CHN,PAK,4.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,1.9
20000118,CHN,PAK,2.8
20000118,PAK,CHN,-0.3
20000118,PAK,CHN,4.0
20000118,CHN,PAK,0.4
20000118,CHN,PAK,4.0
20000118,CHN,PAK,0.4
20000118,CHN,PAK,3.4
20000118,CHN,PAK,4.0
20000118,PAK,CHN,7.0
20000118,CHN,PAK,1.9
20000118,PAK,CHN,7.0
20000118,CHN,PAK,1.9
20000118,PAK,CHN,4.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,2.8
20000118,PAK,CHN,7.0
20000118,CHN,PAK,3.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,2.8
20000118,CHN,PAK,7.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,1.9
20000118,CHN,PAK,2.8
20000118,PAK,CHN,1.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,7.0
20000118,CHN,PAK,4.0
20000118,CHN,PAK,3.4
20000118,PAK,CHN,1.9
20000118,PAK,CHN,3.4
20000118,CHN,PAK,4.0
20000118,CHN,PAK,2.8
20000118,CHN,PAK,2.8
20000118,PAK,CHN,7.0
20000118,PAK,CHN,3.5
20000118,PAK,CHN,1.0
20000118,PAK,CHN,3.4
20000118,PAK,CHN,1.9
20000118,CHN,PAK,0.4
20000118,CHN,PAK,2.8
20000118,CHN,PAK,0.4
20000118,CHN,PAK,2.8
20000118,CHN,PAK,1.0
20000118,PAK,CHN,3.4
20000118,PAK,CHN,1.0
20000118,PAK,CHN,3.4
20000118,CHN,PAK,2.8
20000118,CHN,PAK,7.0
20000118,CHN,PAK,7.0
20000118,CHN,PAK,3.4
20000118,PAK,CHN,3.4
20000118,CHN,PAK,4.0
20000118,CHN,PAK,4.0
20000118,CHN,PAK,7.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,3.4
20000118,PAK,CHN,1.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,4.0
20000118,CHN,PAK,2.8
20000118,PAK,CHN,1.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,1.9
20000118,CHN,PAK,4.0
20000118,PAK,CHN,1.9
20000118,PAK,CHN,1.0
20000118,PAK,CHN,1.0
20000118,PAK,CHN,3.4
20000118,PAK,CHN,1.0
20000118,CHN,PAK,3.4
20000118,PAK,CHN,1.9
20000118,CHN,PAK,0.4
20000118,PAK,CHN,3.4
20000118,CHN,PAK,1.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,1.9
20000118,CHN,PAK,1.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,7.0
20000118,CHN,PAK,2.8
20000118,PAK,CHN,4.0
20000118,CHN,PAK,2.8
20000118,CHN,PAK,3.4
20000118,CHN,PAK,0.4
20000118,CHN,PAK,2.8
20000118,PAK,CHN,1.9
20000118,PAK,CHN,1.0
20000118,PAK,CHN,1.0
20000118,PAK,CHN,1.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,10.0
20000118,CHN,PAK,1.9
20000118,PAK,CHN,7.0
20000118,CHN,PAK,3.0
20000118,PAK,CHN,1.0
20000118,PAK,CHN,4.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,2.8
20000118,CHN,PAK,0.4
20000118,CHN,PAK,1.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,7.0
20000118,CHN,PAK,0.4
20000118,PAK,CHN,1.0
20000118,PAK,CHN,2.8
20000118,CHN,PAK,1.9
20000118,PAK,CHN,3.4
20000118,CHN,PAK,0.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,3.4
20000118,CHN,PAK,1.9
20000118,CHN,PAK,2.8
20000118,CHN,PAK,0.4
20000118,PAK,CHN,7.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,0.4
20000118,PAK,CHN,7.0
20000118,PAK,CHN,1.9
20000118,PAK,CHN,1.0
20000118,CHN,PAK,7.0
20000118,CHN,PAK,7.0
20000118,PAK,CHN,4.0
20000118,CHN,PAK,1.0
20000118,CHN,PAK,1.0
20000118,PAK,CHN,7.0
20000118,PAK,CHN,7.0
20000119,CHN,PAK,4.0
20000119,CHN,PAK,7.0
20000119,PAK,CHN,3.4
20000119,PAK,CHN,1.9
20000119,CHN,PAK,7.0
20000119,CHN,PAK,1.9
20000119,CHN,PAK,3.4
20000119,CHN,PAK,4.0
20000119,CHN,PAK,2.8
20000119,CHN,PAK,4.0
20000119,CHN,PAK,4.0
20000119,CHN,PAK,0.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,-0.4
20000119,PAK,CHN,1.9
20000119,PAK,CHN,4.0
20000119,CHN,PAK,4.0
20000119,CHN,PAK,7.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,4.0
20000119,PAK,CHN,3.4
20000119,CHN,PAK,-0.1
20000119,CHN,PAK,0.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,2.8
20000119,CHN,PAK,4.0
20000119,PAK,CHN,7.0
20000119,PAK,CHN,7.0
20000119,PAK,CHN,2.8
20000119,CHN,PAK,7.0
20000119,CHN,PAK,2.8
20000119,CHN,PAK,2.8
20000119,CHN,PAK,-0.4
20000119,PAK,CHN,7.0
20000119,PAK,CHN,7.0
20000119,CHN,PAK,-2.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,2.8
20000119,CHN,PAK,3.5
20000119,CHN,PAK,-0.1
20000119,PAK,CHN,1.9
20000119,CHN,PAK,-5.0
20000119,CHN,PAK,0.0
20000119,CHN,PAK,2.8
20000119,CHN,PAK,-2.0
20000119,CHN,PAK,4.0
20000119,CHN,PAK,5.0
20000119,CHN,PAK,3.4
20000119,CHN,PAK,2.8
20000119,PAK,CHN,7.0
20000119,CHN,PAK,2.8
20000119,CHN,PAK,2.8
20000119,PAK,CHN,7.0
20000119,CHN,PAK,0.0
20000119,CHN,PAK,2.8
20000119,PAK,CHN,1.9
20000119,PAK,CHN,1.9
20000119,PAK,CHN,3.4
20000119,CHN,PAK,5.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,0.0
20000119,PAK,CHN,1.9
20000119,CHN,PAK,0.0
20000119,CHN,PAK,7.0
20000119,CHN,PAK,7.0
20000119,CHN,PAK,0.0
20000120,CHN,PAK,-4.4
20000120,CHN,PAK,0.0
20000120,CHN,PAK,2.8
20000120,PAK,CHN,1.0
20000120,CHN,PAK,2.8
20000120,PAK,CHN,1.0
20000120,CHN,PAK,1.9
20000120,PAK,CHN,7.0
20000120,PAK,CHN,1.0
20000120,CHN,PAK,1.0
20000120,PAK,CHN,1.9
20000120,CHN,PAK,0.0
20000120,PAK,CHN,1.9
20000120,CHN,PAK,-6.5
20000120,PAK,CHN,1.9
20000120,PAK,CHN,2.8
20000120,CHN,PAK,2.8
20000120,PAK,CHN,2.8
20000120,CHN,PAK,7.0
20000120,PAK,CHN,0.0
20000120,CHN,PAK,1.0
20000120,PAK,CHN,1.0
20000120,CHN,PAK,3.4
