SQLDATE,a1,a2,GoldsteinScale
20000104,CHN,SAU,8.0
20000104,SAU,CHN,8.0
20000111,CHN,SAU,2.8
20000111,SAU,CHN,1.9
20000307,SAU,CHN,0.0
20000307,SAU,CHN,0.0
20000326,CHN,SAU,3.4
20000330,SAU,CHN,0.0
20000331,SAU,CHN,2.8
20000331,CHN,SAU,1.9
20000401,SAU,CHN,3.4
20000416,SAU,CHN,0.0
20000416,SAU,CHN,0.0
20000429,SAU,CHN,1.0
20000429,SAU,CHN,1.0
20000429,CHN,SAU,1.0
20000509,CHN,SAU,1.0
20000509,CHN,SAU,1.0
20000509,SAU,CHN,1.0
20000509,SAU,CHN,1.0
20000509,CHN,SAU,1.0
20000509,SAU,CHN,1.0
20000608,CHN,SAU,3.0
20000608,CHN,SAU,3.0
20000612,CHN,SAU,3.0
20000612,CHN,SAU,1.0
20000612,SAU,CHN,1.0
20000612,CHN,SAU,3.0
20000619,CHN,SAU,4.0
20000619,SAU,CHN,4.0
20000620,CHN,SAU,4.0
20000620,SAU,CHN,4.0
20000721,SAU,CHN,1.9
20000721,SAU,CHN,2.8
20000721,CHN,SAU,2.8
20000721,CHN,SAU,1.9
20000721,CHN,SAU,2.8
20000721,CHN,SAU,0.0
20000721,SAU,CHN,2.8
20000721,SAU,CHN,1.9
20000721,CHN,SAU,1.9
20000806,CHN,SAU,3.4
20000901,SAU,CHN,-5.0
20000901,CHN,SAU,-5.0
20000901,SAU,CHN,-5.0
20000901,SAU,CHN,-5.0
20000901,SAU,CHN,-5.0
20000901,SAU,CHN,-5.0
20000901,SAU,CHN,-5.0
20000901,SAU,CHN,-5.0
20000913,SAU,CHN,8.0
20000913,CHN,SAU,8.0
20001003,SAU,CHN,3.4
20001003,SAU,CHN,1.9
20001003,SAU,CHN,4.0
20001003,CHN,SAU,2.8
20001003,SAU,CHN,1.9
20001003,SAU,CHN,1.9
20001003,CHN,SAU,4.0
20001004,SAU,CHN,1.9
20001004,CHN,SAU,2.8
20001004,CHN,SAU,2.8
20001004,SAU,CHN,1.9
20001005,SAU,CHN,1.9
20001005,CHN,SAU,2.8
20001007,CHN,SAU,2.8
20001007,SAU,CHN,1.9
20001007,SAU,CHN,1.9
20001008,SAU,CHN,3.5
20001008,CHN,SAU,1.0
20001008,CHN,SAU,2.8
20001008,SAU,CHN,4.0
20001008,SAU,CHN,1.0
20001008,CHN,SAU,6.0
20001008,SAU,CHN,1.9
20001008,SAU,CHN,1.0
20001008,SAU,CHN,3.5
20001008,SAU,CHN,1.9
20001008,CHN,SAU,4.0
20001008,CHN,SAU,3.5
20001008,CHN,SAU,1.0
20001008,SAU,CHN,4.0
20001008,SAU,CHN,6.0
20001008,CHN,SAU,3.5
20001008,SAU,CHN,4.0
20001008,SAU,CHN,4.0
20001009,CHN,SAU,2.8
20001009,SAU,CHN,1.9
20001010,SAU,CHN,1.9
20001010,CHN,SAU,2.8
20001010,CHN,SAU,2.8
20001010,CHN,SAU,2.8
20001010,SAU,CHN,1.9
20001010,SAU,CHN,1.9
