SQLDATE,a1,a2,GoldsteinScale
20000104,CHN,TUR,8.0
20000104,TUR,CHN,8.0
20000109,TUR,CHN,8.0
20000109,CHN,TUR,8.0
20000109,TUR,CHN,2.8
20000109,TUR,CHN,8.0
20000109,TUR,CHN,1.9
20000109,CHN,TUR,1.9
20000109,CHN,TUR,8.0
20000109,TUR,CHN,1.9
20000109,TUR,CHN,2.8
20000109,CHN,TUR,1.9
20000109,CHN,TUR,1.9
20000109,TUR,CHN,8.0
20000109,CHN,TUR,2.8
20000109,CHN,TUR,8.0
20000109,CHN,TUR,2.8
20000109,TUR,CHN,2.8
20000120,CHN,TUR,2.8
20000120,TUR,CHN,1.9
20000120,TUR,CHN,1.9
20000120,TUR,CHN,1.9
20000120,CHN,TUR,2.8
20000120,TUR,CHN,1.9
20000120,CHN,TUR,2.8
20000120,CHN,TUR,2.8
20000120,CHN,TUR,2.8
20000120,TUR,CHN,1.9
20000120,CHN,TUR,2.8
20000120,TUR,CHN,1.9
20000120,TUR,CHN,0.0
20000120,CHN,TUR,2.8
20000120,TUR,CHN,0.0
20000120,TUR,CHN,1.9
20000207,CHN,TUR,1.9
20000207,TUR,CHN,2.8
20000207,CHN,TUR,1.9
20000207,TUR,CHN,2.8
20000211,TUR,CHN,1.0
20000211,CHN,TUR,1.0
20000211,CHN,TUR,1.0
20000211,CHN,TUR,8.0
20000211,TUR,CHN,1.0
20000211,CHN,TUR,8.0
20000211,TUR,CHN,8.0
20000211,CHN,TUR,1.0
20000211,TUR,CHN,8.0
20000211,TUR,CHN,1.0
20000213,CHN,TUR,2.8
20000213,TUR,CHN,1.9
20000213,CHN,TUR,2.8
20000213,TUR,CHN,4.0
20000213,CHN,TUR,2.8
20000213,CHN,TUR,2.8
20000213,TUR,CHN,1.9
20000213,CHN,TUR,4.0
20000213,TUR,CHN,4.0
20000213,CHN,TUR,2.8
20000213,CHN,TUR,4.0
20000213,TUR,CHN,1.9
20000213,TUR,CHN,1.9
20000213,TUR,CHN,1.9
20000214,CHN,TUR,8.0
20000214,CHN,TUR,0.4
20000214,CHN,TUR,8.0
20000214,TUR,CHN,0.4
20000214,CHN,TUR,4.0
20000214,CHN,TUR,0.4
20000214,CHN,TUR,4.0
20000214,TUR,CHN,8.0
20000214,TUR,CHN,4.0
20000214,CHN,TUR,8.0
20000214,CHN,TUR,0.0
20000214,CHN,TUR,4.0
20000214,CHN,TUR,4.0
20000214,TUR,CHN,1.0
20000214,TUR,CHN,4.0
20000214,TUR,CHN,8.0
20000214,TUR,CHN,8.0
20000214,TUR,CHN,4.0
20000214,CHN,TUR,0.0
20000214,TUR,CHN,8.0
20000214,CHN,TUR,8.0
20000214,TUR,CHN,1.0
20000214,TUR,CHN,0.4
20000214,CHN,TUR,0.4
20000214,TUR,CHN,4.0
20000214,TUR,CHN,8.0
20000214,TUR,CHN,0.4
20000214,CHN,TUR,4.0
20000214,TUR,CHN,8.0
20000214,CHN,TUR,0.4
20000214,CHN,TUR,1.0
20000214,TUR,CHN,4.0
20000214,TUR,CHN,4.0
20000214,CHN,TUR,4.0
20000214,TUR,CHN,4.0
20000215,TUR,CHN,1.0
20000215,TUR,CHN,1.0
20000215,TUR,CHN,4.0
20000215,TUR,CHN,4.0
20000215,CHN,TUR,1.0
20000215,CHN,TUR,1.0
20000215,TUR,CHN,4.0
20000219,TUR,CHN,4.0
20000219,TUR,CHN,7.0
20000219,CHN,TUR,7.0
20000219,TUR,CHN,4.0
20000219,CHN,TUR,7.0
20000219,TUR,CHN,4.0
20000219,TUR,CHN,7.0
20000221,TUR,CHN,1.9
20000221,TUR,CHN,1.9
20000221,CHN,TUR,2.8
20000221,CHN,TUR,2.8
20000221,TUR,CHN,1.9
20000222,CHN,TUR,3.4
20000222,CHN,TUR,3.0
20000222,CHN,TUR,1.9
20000222,TUR,CHN,2.8
20000222,CHN,TUR,3.4
20000222,CHN,TUR,3.4
20000225,CHN,TUR,0.0
20000225,CHN,TUR,4.0
20000225,CHN,TUR,2.8
20000225,TUR,CHN,1.9
20000225,CHN,TUR,2.8
20000226,TUR,CHN,-4.0
20000226,TUR,CHN,-4.0
20000308,CHN,TUR,4.0
20000308,TUR,CHN,4.0
20000308,TUR,CHN,4.0
20000308,TUR,CHN,4.0
20000308,TUR,CHN,1.0
20000308,TUR,CHN,4.0
20000308,CHN,TUR,4.0
20000308,CHN,TUR,4.0
20000308,TUR,CHN,4.0
20000308,TUR,CHN,1.0
20000308,CHN,TUR,1.0
20000308,CHN,TUR,4.0
20000314,CHN,TUR,1.0
20000314,CHN,TUR,1.0
20000314,TUR,CHN,1.0
20000314,TUR,CHN,1.0
20000330,TUR,CHN,1.0
20000330,CHN,TUR,1.0
20000330,CHN,TUR,1.0
20000330,TUR,CHN,1.0
20000330,CHN,TUR,1.0
20000330,TUR,CHN,1.0
20000405,TUR,CHN,4.0
20000405,TUR,CHN,8.0
20000405,TUR,CHN,4.0
20000405,CHN,TUR,8.0
20000405,TUR,CHN,4.0
20000405,TUR,CHN,8.0
20000405,CHN,TUR,8.0
20000406,TUR,CHN,1.0
20000406,TUR,CHN,1.0
20000406,CHN,TUR,2.8
20000406,TUR,CHN,1.9
20000406,CHN,TUR,1.0
20000406,TUR,CHN,1.0
20000406,CHN,TUR,1.0
20000406,CHN,TUR,1.0
20000406,CHN,TUR,1.0
20000406,CHN,TUR,1.0
20000406,CHN,TUR,3.4
20000407,TUR,CHN,-4.0
20000407,TUR,CHN,-4.0
20000407,TUR,CHN,1.0
20000407,CHN,TUR,1.0
20000407,CHN,TUR,1.0
20000410,CHN,TUR,1.9
20000410,TUR,CHN,2.8
20000410,TUR,CHN,1.9
20000410,CHN,TUR,2.8
20000410,TUR,CHN,1.9
20000412,TUR,CHN,3.4
20000412,TUR,CHN,4.0
20000412,CHN,TUR,-6.5
20000412,TUR,CHN,3.4
20000412,TUR,CHN,4.0
20000412,CHN,TUR,-6.5
20000412,TUR,CHN,4.0
20000412,TUR,CHN,4.0
20000415,CHN,TUR,0.0
20000415,CHN,TUR,0.0
20000416,TUR,CHN,1.0
20000416,TUR,CHN,1.0
20000416,TUR,CHN,1.0
20000416,CHN,TUR,1.0
20000416,CHN,TUR,1.0
20000416,CHN,TUR,1.0
20000416,CHN,TUR,1.0
20000416,TUR,CHN,1.0
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.0
20000418,CHN,TUR,6.4
20000418,TUR,CHN,4.0
20000418,TUR,CHN,3.0
20000418,TUR,CHN,2.8
20000418,TUR,CHN,2.8
20000418,TUR,CHN,2.8
20000418,CHN,TUR,4.0
20000418,CHN,TUR,3.0
20000418,TUR,CHN,3.0
20000418,TUR,CHN,2.8
20000418,TUR,CHN,1.0
20000418,CHN,TUR,4.0
20000418,TUR,CHN,2.8
20000418,CHN,TUR,1.0
20000418,TUR,CHN,2.8
20000418,TUR,CHN,2.8
20000418,CHN,TUR,3.5
20000418,TUR,CHN,4.0
20000418,TUR,CHN,-5.0
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.9
20000418,TUR,CHN,-2.0
20000418,TUR,CHN,4.0
20000418,CHN,TUR,3.0
20000418,CHN,TUR,1.9
20000418,TUR,CHN,-5.0
20000418,TUR,CHN,2.8
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.9
20000418,CHN,TUR,1.9
20000418,TUR,CHN,3.4
