SQLDATE,a1,a2,GoldsteinScale
20000102,ISR,GBR,6.0
20000103,ISR,GBR,-5.0
20000103,ISR,GBR,-5.0
20000103,ISR,GBR,-5.0
20000103,ISR,GBR,-5.0
20000103,ISR,GBR,0.0
20000104,ISR,GBR,0.0
20000104,ISR,GBR,0.0
20000105,GBR,ISR,-5.0
20000105,GBR,ISR,-5.0
20000105,GBR,ISR,-5.0
20000106,ISR,GBR,-2.0
20000106,GBR,ISR,0.0
20000106,ISR,GBR,0.0
20000106,ISR,GBR,-2.0
20000106,ISR,GBR,4.0
20000109,ISR,GBR,-2.0
20000109,ISR,GBR,4.0
20000109,ISR,GBR,-2.0
20000109,ISR,GBR,3.0
20000109,ISR,GBR,-2.0
20000109,ISR,GBR,4.0
20000109,ISR,GBR,4.0
20000110,ISR,GBR,-2.0
20000110,GBR,ISR,4.0
20000110,GBR,ISR,4.0
20000110,GBR,ISR,4.0
20000110,GBR,ISR,4.0
20000111,GBR,ISR,4.0
20000111,ISR,GBR,4.0
20000113,ISR,GBR,8.3
20000113,ISR,GBR,8.3
20000113,ISR,GBR,8.3
20000113,GBR,ISR,-5.0
20000117,ISR,GBR,7.0
20000117,GBR,ISR,7.0
20000117,GBR,ISR,7.0
20000117,ISR,GBR,7.0
20000118,GBR,ISR,4.0
20000118,GBR,ISR,4.0
20000119,ISR,GBR,-2.0
20000119,ISR,GBR,-5.0
20000119,GBR,ISR,0.4
20000119,GBR,ISR,0.4
20000119,ISR,GBR,0.0
20000119,GBR,ISR,4.0
20000119,ISR,GBR,7.0
20000119,ISR,GBR,-2.0
20000119,ISR,GBR,0.0
20000119,ISR,GBR,-5.0
20000120,GBR,ISR,3.5
20000120,ISR,GBR,3.5
20000120,ISR,GBR,3.5
20000120,ISR,GBR,3.5
20000120,GBR,ISR,3.5
20000120,GBR,ISR,3.5
20000126,GBR,ISR,0.4
20000126,GBR,ISR,0.4
20000126,GBR,ISR,0.4
20000126,GBR,ISR,0.4
20000129,GBR,ISR,3.5
20000129,GBR,ISR,3.5
20000129,ISR,GBR,5.2
20000129,ISR,GBR,5.2
20000129,GBR,ISR,5.2
20000129,ISR,GBR,3.5
20000129,GBR,ISR,5.2
20000129,ISR,GBR,3.5
20000206,ISR,GBR,0.4
20000206,ISR,GBR,0.0
20000211,GBR,ISR,-4.4
20000211,ISR,GBR,0.4
20000211,GBR,ISR,-4.4
20000211,ISR,GBR,0.4
20000211,GBR,ISR,-4.4
20000211,GBR,ISR,-4.4
20000211,ISR,GBR,0.4
20000211,GBR,ISR,-4.4
20000211,ISR,GBR,0.4
20000216,GBR,ISR,4.0
20000216,ISR,GBR,4.0
20000216,ISR,GBR,4.0
20000216,GBR,ISR,1.0
20000216,GBR,ISR,1.0
20000216,ISR,GBR,1.0
20000216,GBR,ISR,1.0
20000216,ISR,GBR,1.0
20000216,ISR,GBR,1.0
20000216,GBR,ISR,1.0
20000216,GBR,ISR,4.0
20000216,ISR,GBR,1.0
20000216,GBR,ISR,4.0
20000216,ISR,GBR,4.0
20000218,ISR,GBR,1.9
20000218,ISR,GBR,1.9
20000218,ISR,GBR,2.8
20000218,ISR,GBR,2.8
20000218,GBR,ISR,2.8
20000218,GBR,ISR,1.9
20000218,GBR,ISR,1.9
20000218,GBR,ISR,2.8
20000218,GBR,ISR,1.9
20000218,ISR,GBR,2.8
20000218,GBR,ISR,1.9
20000218,ISR,GBR,2.8
20000218,ISR,GBR,1.9
20000218,ISR,GBR,1.9
20000218,ISR,GBR,1.9
20000218,ISR,GBR,1.9
20000218,GBR,ISR,1.9
20000218,GBR,ISR,2.8
20000218,GBR,ISR,1.9
20000218,ISR,GBR,2.8
20000218,ISR,GBR,2.8
20000218,GBR,ISR,1.9
20000218,GBR,ISR,2.8
20000218,ISR,GBR,2.8
20000218,GBR,ISR,2.8
20000218,GBR,ISR,2.8
20000218,GBR,ISR,2.8
20000218,ISR,GBR,1.9
20000218,ISR,GBR,1.9
20000218,GBR,ISR,2.8
20000218,ISR,GBR,2.8
20000218,GBR,ISR,1.9
20000220,ISR,GBR,3.4
20000220,ISR,GBR,3.4
20000220,ISR,GBR,3.4
20000223,GBR,ISR,0.0
20000223,GBR,ISR,2.8
20000223,GBR,ISR,2.8
20000223,GBR,ISR,2.8
20000223,ISR,GBR,1.9
20000223,ISR,GBR,1.9
20000223,ISR,GBR,1.9
20000226,ISR,GBR,1.9
20000226,ISR,GBR,1.9
20000226,GBR,ISR,2.8
20000226,GBR,ISR,2.8
20000226,ISR,GBR,1.9
20000226,GBR,ISR,2.8
20000227,ISR,GBR,7.0
20000227,ISR,GBR,7.0
20000227,GBR,ISR,-10.0
20000227,ISR,GBR,3.0
20000227,ISR,GBR,0.0
20000227,ISR,GBR,7.0
20000227,ISR,GBR,0.0
20000228,GBR,ISR,3.4
20000228,GBR,ISR,3.4
20000229,GBR,ISR,0.0
20000229,GBR,ISR,-2.0
20000229,GBR,ISR,3.0
20000301,GBR,ISR,5.0
20000301,GBR,ISR,-7.5
20000301,GBR,ISR,5.0
20000301,GBR,ISR,5.0
20000301,GBR,ISR,-7.5
20000301,GBR,ISR,-7.5
20000304,GBR,ISR,3.4
20000304,GBR,ISR,3.4
20000305,GBR,ISR,3.4
20000305,GBR,ISR,3.4
20000308,GBR,ISR,-2.0
20000308,GBR,ISR,-2.0
20000309,GBR,ISR,-5.0
20000309,ISR,GBR,-0.3
20000309,ISR,GBR,-0.3
20000309,GBR,ISR,-0.3
20000309,GBR,ISR,-5.0
20000309,GBR,ISR,-0.3
20000310,GBR,ISR,-2.0
20000310,GBR,ISR,-2.0
20000310,GBR,ISR,-2.0
20000312,ISR,GBR,0.0
20000312,GBR,ISR,1.9
20000312,ISR,GBR,2.8
20000320,ISR,GBR,2.8
20000320,GBR,ISR,1.9
20000320,ISR,GBR,6.0
20000320,ISR,GBR,6.0
20000321,ISR,GBR,2.8
20000321,GBR,ISR,1.9
20000324,GBR,ISR,7.0
20000324,ISR,GBR,2.8
20000324,GBR,ISR,3.4
20000324,ISR,GBR,4.0
20000324,GBR,ISR,7.0
20000324,GBR,ISR,3.4
20000324,GBR,ISR,4.0
20000324,GBR,ISR,1.9
20000324,GBR,ISR,1.9
20000324,ISR,GBR,7.0
20000324,GBR,ISR,4.0
20000324,ISR,GBR,1.9
20000324,GBR,ISR,4.0
20000324,GBR,ISR,8.0
