SQLDATE,a1,a2,GoldsteinScale
20000107,SAU,GBR,-2.0
20000111,GBR,SAU,6.4
20000111,GBR,SAU,6.4
20000111,GBR,SAU,6.4
20000112,GBR,SAU,2.8
20000112,SAU,GBR,1.0
20000112,SAU,GBR,4.0
20000112,GBR,SAU,1.0
20000112,SAU,GBR,1.9
20000112,SAU,GBR,4.0
20000112,GBR,SAU,4.0
20000112,GBR,SAU,4.0
20000118,SAU,GBR,0.0
20000118,SAU,GBR,6.0
20000118,SAU,GBR,0.0
20000118,SAU,GBR,6.0
20000120,GBR,SAU,1.9
20000120,GBR,SAU,7.0
20000120,GBR,SAU,1.9
20000120,SAU,GBR,2.8
20000120,SAU,GBR,2.8
20000120,SAU,GBR,2.8
20000120,GBR,SAU,7.0
20000120,GBR,SAU,1.9
20000120,SAU,GBR,2.8
20000120,GBR,SAU,1.9
20000121,GBR,SAU,0.0
20000121,GBR,SAU,7.0
20000121,SAU,GBR,7.0
20000121,SAU,GBR,7.0
20000121,GBR,SAU,7.0
20000121,GBR,SAU,7.0
20000121,SAU,GBR,7.0
20000123,SAU,GBR,2.5
20000130,SAU,GBR,1.9
20000130,GBR,SAU,-5.0
20000130,GBR,SAU,2.8
20000202,GBR,SAU,-4.4
20000202,GBR,SAU,-4.4
20000207,SAU,GBR,-10.0
20000207,SAU,GBR,2.8
20000207,SAU,GBR,0.0
20000207,SAU,GBR,-10.0
20000207,SAU,GBR,0.0
20000207,GBR,SAU,1.9
20000207,GBR,SAU,-10.0
20000207,SAU,GBR,-10.0
20000207,GBR,SAU,-10.0
20000207,SAU,GBR,-10.0
20000207,SAU,GBR,-10.0
20000207,SAU,GBR,2.8
20000207,GBR,SAU,1.9
20000207,SAU,GBR,0.0
20000214,GBR,SAU,2.8
20000214,SAU,GBR,0.0
20000214,SAU,GBR,1.9
20000214,SAU,GBR,1.9
20000214,SAU,GBR,0.0
20000214,GBR,SAU,2.8
20000216,GBR,SAU,7.0
20000218,SAU,GBR,-10.0
20000218,SAU,GBR,-10.0
20000218,SAU,GBR,-10.0
20000218,SAU,GBR,-10.0
20000226,GBR,SAU,8.0
20000226,GBR,SAU,8.0
20000226,SAU,GBR,8.0
20000226,SAU,GBR,8.0
20000227,SAU,GBR,0.4
20000307,SAU,GBR,3.0
20000307,SAU,GBR,3.0
20000313,SAU,GBR,3.0
20000315,GBR,SAU,-9.0
20000322,SAU,GBR,7.0
20000323,SAU,GBR,1.9
20000323,GBR,SAU,2.8
20000328,SAU,GBR,-10.0
20000409,GBR,SAU,1.0
20000409,GBR,SAU,1.0
20000409,GBR,SAU,1.0
20000410,GBR,SAU,1.9
20000410,GBR,SAU,7.0
20000410,GBR,SAU,7.0
20000410,GBR,SAU,1.0
20000410,GBR,SAU,7.0
20000410,GBR,SAU,7.0
20000410,GBR,SAU,1.0
20000410,SAU,GBR,2.8
20000410,SAU,GBR,4.0
20000410,SAU,GBR,7.0
20000410,GBR,SAU,7.0
20000410,GBR,SAU,1.0
20000410,GBR,SAU,-2.0
20000410,SAU,GBR,1.9
20000410,GBR,SAU,2.8
20000410,GBR,SAU,1.0
20000410,GBR,SAU,4.0
20000410,GBR,SAU,3.5
20000410,SAU,GBR,2.8
20000410,GBR,SAU,1.9
20000410,GBR,SAU,7.0
20000410,GBR,SAU,1.0
20000410,SAU,GBR,7.0
20000410,SAU,GBR,1.9
20000410,GBR,SAU,1.0
20000410,SAU,GBR,1.0
20000410,SAU,GBR,4.0
20000410,GBR,SAU,7.0
20000410,SAU,GBR,2.8
20000410,GBR,SAU,7.0
20000410,SAU,GBR,3.5
20000410,SAU,GBR,7.0
20000410,SAU,GBR,7.0
20000410,GBR,SAU,3.5
20000410,SAU,GBR,7.0
20000410,GBR,SAU,-2.0
20000410,GBR,SAU,7.0
20000410,SAU,GBR,7.0
20000410,SAU,GBR,7.0
20000410,SAU,GBR,1.0
