SQLDATE,a1,a2,GoldsteinScale
20000102,GBR,TUR,3.4
20000102,GBR,TUR,-2.0
20000102,GBR,TUR,-2.0
20000106,TUR,GBR,1.9
20000106,TUR,GBR,1.9
20000106,GBR,TUR,2.8
20000106,GBR,TUR,2.8
20000106,GBR,TUR,2.8
20000106,TUR,GBR,1.9
20000109,TUR,GBR,1.9
20000109,GBR,TUR,6.4
20000109,GBR,TUR,6.4
20000109,TUR,GBR,1.9
20000109,GBR,TUR,2.8
20000109,GBR,TUR,2.8
20000109,GBR,TUR,6.4
20000109,GBR,TUR,6.4
20000109,GBR,TUR,6.4
20000112,GBR,TUR,8.0
20000112,GBR,TUR,8.0
20000112,TUR,GBR,4.0
20000112,TUR,GBR,4.0
20000112,GBR,TUR,4.0
20000112,TUR,GBR,8.0
20000112,GBR,TUR,8.0
20000112,TUR,GBR,8.0
20000112,TUR,GBR,8.0
20000112,TUR,GBR,8.0
20000112,TUR,GBR,8.0
20000112,GBR,TUR,4.0
20000112,GBR,TUR,8.0
20000114,GBR,TUR,-5.0
20000117,GBR,TUR,1.9
20000117,TUR,GBR,2.8
20000117,GBR,TUR,4.0
20000117,TUR,GBR,2.8
20000117,GBR,TUR,1.9
20000123,GBR,TUR,1.9
20000123,TUR,GBR,2.8
20000125,GBR,TUR,1.0
20000125,TUR,GBR,4.0
20000125,TUR,GBR,4.0
20000125,GBR,TUR,4.0
20000125,GBR,TUR,4.0
20000125,TUR,GBR,1.0
20000125,GBR,TUR,1.0
20000125,TUR,GBR,1.0
20000125,GBR,TUR,1.0
20000129,GBR,TUR,3.5
20000129,GBR,TUR,3.5
20000129,TUR,GBR,3.5
20000129,TUR,GBR,3.5
20000202,GBR,TUR,3.4
20000203,TUR,GBR,6.4
20000203,TUR,GBR,6.4
20000205,GBR,TUR,2.8
20000205,TUR,GBR,2.8
20000205,TUR,GBR,-5.0
20000205,GBR,TUR,7.0
20000205,TUR,GBR,3.0
20000205,GBR,TUR,3.0
20000205,TUR,GBR,1.9
20000205,GBR,TUR,1.9
20000207,TUR,GBR,0.0
20000207,TUR,GBR,0.0
20000208,GBR,TUR,6.0
20000208,TUR,GBR,4.0
