SQLDATE,a1,a2,GoldsteinScale
20000103,IND,GBR,-5.0
20000105,GBR,IND,1.9
20000105,IND,GBR,-2.0
20000105,IND,GBR,4.0
20000105,IND,GBR,2.8
20000105,IND,GBR,0.0
20000105,IND,GBR,0.0
20000105,IND,GBR,-2.0
20000109,GBR,IND,-5.0
20000109,GBR,IND,-5.0
20000111,IND,GBR,4.0
20000111,GBR,IND,4.0
20000114,GBR,IND,7.0
20000114,IND,GBR,7.0
20000114,GBR,IND,2.5
20000114,IND,GBR,8.0
20000114,GBR,IND,2.8
20000114,GBR,IND,4.0
20000114,GBR,IND,7.0
20000114,IND,GBR,7.0
20000114,GBR,IND,2.8
20000114,IND,GBR,1.9
20000114,GBR,IND,8.0
20000114,IND,GBR,1.9
20000114,GBR,IND,2.8
20000114,IND,GBR,2.5
20000114,IND,GBR,-4.4
20000114,IND,GBR,8.0
20000118,IND,GBR,4.0
20000118,IND,GBR,-4.4
20000118,GBR,IND,4.0
20000119,IND,GBR,7.0
20000119,GBR,IND,7.0
20000122,IND,GBR,1.0
20000122,GBR,IND,1.0
20000131,IND,GBR,-5.0
20000131,IND,GBR,-5.0
20000131,IND,GBR,-5.0
20000131,GBR,IND,-4.0
20000131,GBR,IND,-4.0
20000201,IND,GBR,1.9
20000201,GBR,IND,2.8
20000201,IND,GBR,2.8
20000201,GBR,IND,-4.0
20000201,GBR,IND,1.9
20000201,IND,GBR,-5.0
20000201,IND,GBR,1.9
20000201,GBR,IND,-2.0
20000201,GBR,IND,1.9
20000201,IND,GBR,-5.0
20000201,IND,GBR,-5.0
20000202,IND,GBR,-5.0
20000202,GBR,IND,3.0
20000202,GBR,IND,-4.4
20000202,IND,GBR,-5.0
20000202,IND,GBR,-5.0
20000202,IND,GBR,-5.0
20000202,IND,GBR,-5.0
20000202,GBR,IND,-4.0
20000202,GBR,IND,-4.0
20000203,GBR,IND,4.0
20000203,GBR,IND,4.0
20000206,IND,GBR,-4.0
20000206,IND,GBR,-4.0
20000213,GBR,IND,1.0
20000213,IND,GBR,1.0
20000213,IND,GBR,1.0
20000213,GBR,IND,1.0
20000214,IND,GBR,-4.0
20000218,IND,GBR,-2.0
20000219,GBR,IND,-5.0
20000219,GBR,IND,-5.0
20000221,IND,GBR,-5.0
20000221,IND,GBR,-5.0
20000221,IND,GBR,-5.0
20000221,IND,GBR,-5.0
20000221,IND,GBR,-2.0
20000301,IND,GBR,4.0
20000302,IND,GBR,-5.0
20000313,GBR,IND,0.0
20000313,IND,GBR,0.4
20000313,IND,GBR,0.4
20000320,IND,GBR,-6.5
20000325,GBR,IND,4.0
20000325,GBR,IND,-10.0
20000325,GBR,IND,4.0
20000325,GBR,IND,-10.0
20000325,GBR,IND,4.0
20000325,GBR,IND,-10.0
20000403,IND,GBR,3.0
20000403,IND,GBR,3.0
20000403,IND,GBR,3.0
20000413,GBR,IND,1.0
20000413,GBR,IND,1.0
20000414,GBR,IND,4.0
20000415,GBR,IND,1.9
20000415,IND,GBR,2.8
20000415,GBR,IND,1.9
20000415,GBR,IND,1.0
20000415,GBR,IND,1.9
20000415,IND,GBR,2.8
20000415,IND,GBR,2.8
20000415,IND,GBR,1.0
20000417,IND,GBR,3.0
20000417,GBR,IND,0.0
20000417,GBR,IND,1.0
20000417,IND,GBR,3.0
20000417,IND,GBR,0.4
20000417,GBR,IND,0.0
20000417,GBR,IND,0.0
20000417,GBR,IND,0.4
20000417,GBR,IND,0.0
20000417,GBR,IND,1.0
20000417,IND,GBR,1.0
20000417,IND,GBR,1.0
20000417,IND,GBR,3.0
20000417,IND,GBR,0.4
20000417,IND,GBR,1.0
20000417,GBR,IND,1.0
20000418,IND,GBR,4.0
20000418,IND,GBR,4.0
20000418,IND,GBR,1.0
20000418,GBR,IND,4.0
20000418,IND,GBR,4.0
20000418,IND,GBR,4.0
20000418,IND,GBR,4.0
20000418,GBR,IND,1.0
20000418,GBR,IND,4.0
20000418,IND,GBR,1.0
20000418,GBR,IND,4.0
20000418,GBR,IND,1.0
20000418,GBR,IND,4.0
20000420,IND,GBR,0.0
20000421,IND,GBR,2.8
20000421,GBR,IND,1.9
20000505,GBR,IND,3.4
20000517,IND,GBR,-2.0
20000517,IND,GBR,-2.0
20000521,IND,GBR,1.9
20000521,GBR,IND,2.8
20000521,IND,GBR,1.9
20000521,GBR,IND,2.8
20000521,GBR,IND,2.8
20000521,IND,GBR,1.9
20000601,IND,GBR,4.0
20000601,GBR,IND,4.0
20000601,GBR,IND,4.0
20000601,IND,GBR,4.0
20000603,IND,GBR,4.0
20000603,GBR,IND,4.0
20000603,IND,GBR,4.0
20000610,IND,GBR,4.0
20000614,GBR,IND,2.8
20000614,GBR,IND,2.8
20000614,IND,GBR,1.9
20000614,IND,GBR,1.9
20000620,GBR,IND,3.0
20000620,GBR,IND,3.0
20000623,GBR,IND,7.0
20000623,IND,GBR,1.9
20000623,GBR,IND,2.8
20000623,GBR,IND,2.8
20000623,IND,GBR,1.9
20000623,IND,GBR,7.0
20000701,IND,GBR,1.9
20000701,GBR,IND,2.8
20000708,GBR,IND,3.0
20000722,GBR,IND,-5.0
20000722,GBR,IND,-5.0
20000722,IND,GBR,-5.0
20000722,IND,GBR,-5.0
20000722,GBR,IND,-5.0
20000722,IND,GBR,-5.0
20000722,IND,GBR,-5.0
20000722,IND,GBR,-5.0
20000722,IND,GBR,-5.0
20000722,IND,GBR,-5.0
20000722,GBR,IND,-5.0
20000723,IND,GBR,-5.0
20000723,GBR,IND,-5.0
20000723,IND,GBR,-5.0
20000723,GBR,IND,-5.0
20000723,IND,GBR,-5.0
20000723,IND,GBR,-5.0
20000723,IND,GBR,-5.0
20000818,GBR,IND,-2.0
20000818,GBR,IND,1.9
20000818,GBR,IND,4.0
20000818,IND,GBR,2.8
20000818,IND,GBR,2.8
20000818,GBR,IND,1.9
20000818,IND,GBR,2.8
20000818,GBR,IND,4.0
20000818,IND,GBR,2.8
20000818,GBR,IND,1.9
20000824,IND,GBR,4.0
20000824,GBR,IND,4.0
20000825,GBR,IND,3.0
20000826,IND,GBR,-10.0
20000826,IND,GBR,-10.0
20000901,GBR,IND,-5.0
20000901,GBR,IND,-5.0
20000904,IND,GBR,0.4
20000904,IND,GBR,-5.0
20000908,GBR,IND,1.0
20000908,IND,GBR,-0.4
20000908,IND,GBR,1.9
20000908,IND,GBR,1.0
20000908,GBR,IND,2.8
20000909,IND,GBR,0.0
20000909,GBR,IND,2.8
20000909,IND,GBR,-2.0
20000909,IND,GBR,1.9
20000909,IND,GBR,1.9
20000909,GBR,IND,2.8
20000909,IND,GBR,1.9
20000909,IND,GBR,0.0
20000928,IND,GBR,-2.0
20001010,IND,GBR,4.0
20001010,IND,GBR,4.0
20001010,IND,GBR,4.0
20001011,IND,GBR,-4.0
20001014,GBR,IND,7.4
20001017,GBR,IND,4.0
20001017,GBR,IND,4.0
20001017,IND,GBR,4.0
20001017,IND,GBR,4.0
20001017,IND,GBR,4.0
20001017,GBR,IND,4.0
20001017,IND,GBR,4.0
20001017,GBR,IND,4.0
20001031,GBR,IND,4.0
20001031,GBR,IND,4.0
20001031,IND,GBR,2.8
20001031,GBR,IND,1.9
20001104,GBR,IND,0.4
