SQLDATE,a1,a2,GoldsteinScale
20000103,IND,IRN,-6.5
20000103,IND,IRN,1.0
20000109,IRN,IND,1.0
20000220,IRN,IND,1.0
20000220,IRN,IND,1.0
20000220,IND,IRN,1.0
20000220,IND,IRN,1.0
20000311,IRN,IND,4.0
20000311,IRN,IND,4.0
20000311,IND,IRN,4.0
20000311,IRN,IND,4.0
20000313,IRN,IND,2.8
20000313,IND,IRN,1.9
20000415,IRN,IND,0.0
20000415,IRN,IND,0.0
20000519,IRN,IND,-6.5
20000519,IRN,IND,7.0
20000519,IND,IRN,7.0
20000519,IRN,IND,7.0
20000519,IND,IRN,7.0
20000520,IND,IRN,1.9
20000520,IND,IRN,1.9
20000520,IRN,IND,-2.0
20000520,IRN,IND,2.8
20000520,IRN,IND,-2.0
20000522,IRN,IND,7.0
20000522,IRN,IND,1.9
20000522,IRN,IND,7.0
20000522,IND,IRN,2.8
20000523,IRN,IND,-4.0
20000525,IRN,IND,2.8
20000525,IND,IRN,1.9
20000529,IRN,IND,4.0
20000529,IND,IRN,4.0
20000608,IND,IRN,-4.0
20000608,IND,IRN,-4.0
20000609,IND,IRN,-2.0
20000609,IND,IRN,-2.0
20000609,IND,IRN,-2.0
20000615,IND,IRN,-4.0
20000615,IND,IRN,-4.0
20000625,IRN,IND,2.8
20000625,IND,IRN,1.9
20000629,IND,IRN,2.8
20000629,IRN,IND,1.9
20000703,IRN,IND,4.0
20000703,IND,IRN,4.0
20000703,IND,IRN,4.0
20000703,IRN,IND,4.0
20000703,IND,IRN,4.0
20000703,IRN,IND,4.0
20000720,IRN,IND,2.8
20000720,IND,IRN,1.9
20000720,IRN,IND,2.8
20000720,IND,IRN,1.9
20000722,IND,IRN,1.9
20000722,IRN,IND,2.8
20000813,IND,IRN,4.0
20000813,IRN,IND,0.0
20000813,IRN,IND,4.0
20000813,IRN,IND,0.0
20000813,IRN,IND,4.0
20000813,IND,IRN,4.0
20000816,IND,IRN,4.0
20000816,IND,IRN,3.0
20000818,IND,IRN,2.8
20000818,IRN,IND,1.9
20000904,IRN,IND,3.0
20000909,IND,IRN,-5.0
20000909,IND,IRN,-5.0
20000913,IRN,IND,7.0
20000913,IND,IRN,7.0
20000913,IRN,IND,7.0
20000913,IND,IRN,7.0
20001117,IND,IRN,-10.0
20001117,IRN,IND,-10.0
20001120,IND,IRN,3.0
20001120,IND,IRN,3.0
20001120,IND,IRN,3.0
20001121,IND,IRN,2.5
20001121,IND,IRN,2.5
20001121,IRN,IND,1.0
20001121,IND,IRN,1.0
20001121,IND,IRN,3.0
20001121,IRN,IND,1.0
20001124,IRN,IND,3.4
20001124,IRN,IND,3.4
20010130,IRN,IND,7.4
20010130,IRN,IND,7.4
20010217,IRN,IND,4.0
20010217,IND,IRN,4.0
20010217,IND,IRN,4.0
20010217,IRN,IND,4.0
20010217,IND,IRN,4.0
20010217,IRN,IND,4.0
20010217,IRN,IND,4.0
20010217,IND,IRN,4.0
20010222,IND,IRN,-2.0
20010222,IND,IRN,6.4
20010227,IND,IRN,4.0
20010228,IRN,IND,3.5
20010312,IND,IRN,4.0
20010312,IRN,IND,1.9
20010312,IRN,IND,4.0
20010312,IND,IRN,2.8
20010312,IRN,IND,1.9
20010312,IRN,IND,5.2
20010312,IRN,IND,2.8
20010312,IRN,IND,0.0
20010312,IRN,IND,5.2
20010312,IND,IRN,2.8
20010312,IND,IRN,1.9
20010313,IRN,IND,3.5
20010313,IRN,IND,3.5
20010313,IRN,IND,3.5
20010325,IND,IRN,-5.0
20010325,IND,IRN,-5.0
20010329,IRN,IND,2.8
20010329,IND,IRN,1.9
20010329,IRN,IND,2.8
20010329,IRN,IND,0.0
20010329,IND,IRN,4.0
20010329,IND,IRN,1.9
20010329,IND,IRN,4.0
20010330,IND,IRN,4.0
20010331,IND,IRN,1.9
20010331,IRN,IND,2.8
20010331,IRN,IND,2.8
20010408,IRN,IND,2.8
20010408,IND,IRN,1.9
20010408,IND,IRN,1.9
20010408,IND,IRN,1.9
20010409,IRN,IND,4.0
20010409,IRN,IND,2.8
20010409,IND,IRN,4.0
20010409,IND,IRN,4.0
20010409,IND,IRN,1.9
20010409,IRN,IND,2.8
20010409,IND,IRN,4.0
20010409,IND,IRN,1.9
20010409,IND,IRN,3.4
20010409,IRN,IND,5.2
20010409,IRN,IND,2.8
20010409,IRN,IND,0.0
20010410,IND,IRN,1.9
20010410,IND,IRN,7.0
20010410,IRN,IND,1.9
20010410,IND,IRN,7.0
20010410,IRN,IND,2.8
20010410,IRN,IND,-0.4
20010410,IRN,IND,2.8
20010410,IND,IRN,7.0
20010410,IRN,IND,7.0
20010410,IND,IRN,3.4
20010410,IND,IRN,2.8
20010410,IND,IRN,1.0
20010410,IND,IRN,2.8
20010410,IRN,IND,7.0
20010410,IRN,IND,1.9
20010410,IRN,IND,-0.4
20010410,IRN,IND,7.0
20010410,IRN,IND,7.0
20010410,IRN,IND,7.0
20010410,IRN,IND,2.8
20010410,IRN,IND,4.0
20010410,IND,IRN,1.0
20010410,IRN,IND,2.8
20010410,IND,IRN,1.0
20010410,IND,IRN,7.0
20010410,IRN,IND,1.0
20010410,IRN,IND,-0.4
20010410,IND,IRN,7.0
20010410,IND,IRN,1.9
20010410,IND,IRN,7.0
20010410,IRN,IND,7.0
20010410,IND,IRN,7.0
20010410,IRN,IND,2.8
20010410,IND,IRN,1.9
20010410,IRN,IND,7.0
20010410,IND,IRN,1.9
20010410,IRN,IND,7.0
20010410,IND,IRN,1.9
20010410,IND,IRN,7.0
20010410,IND,IRN,1.9
20010410,IND,IRN,1.0
20010410,IRN,IND,2.8
20010410,IND,IRN,0.0
20010410,IND,IRN,1.9
20010410,IND,IRN,1.9
20010410,IRN,IND,4.0
20010410,IND,IRN,1.9
20010410,IRN,IND,7.0
20010410,IND,IRN,1.9
20010410,IND,IRN,7.0
20010410,IND,IRN,1.9
20010411,IND,IRN,-2.0
20010411,IND,IRN,-2.0
20010411,IRN,IND,0.0
20010411,IRN,IND,0.0
20010412,IND,IRN,1.9
20010412,IND,IRN,0.0
20010412,IRN,IND,2.8
20010413,IND,IRN,0.0
20010413,IRN,IND,3.4
20010413,IND,IRN,1.9
20010413,IND,IRN,0.0
20010413,IND,IRN,0.0
20010413,IRN,IND,3.4
20010413,IND,IRN,0.0
20010413,IND,IRN,4.0
20010413,IRN,IND,2.8
20010413,IND,IRN,1.9
20010413,IND,IRN,0.0
20010413,IRN,IND,2.8
20010413,IND,IRN,0.0
20010414,IND,IRN,9.0
20010414,IND,IRN,1.9
20010414,IND,IRN,1.9
20010414,IRN,IND,2.8
20010414,IND,IRN,3.4
20010414,IRN,IND,2.8
20010414,IND,IRN,1.9
20010414,IND,IRN,3.4
20010414,IND,IRN,1.9
20010414,IND,IRN,9.0
20010414,IND,IRN,3.4
20010414,IND,IRN,1.9
20010414,IRN,IND,2.8
20010415,IRN,IND,1.9
20010415,IND,IRN,2.8
20010415,IRN,IND,1.9
20010415,IND,IRN,2.8
20010415,IRN,IND,1.9
20010416,IRN,IND,2.8
20010416,IND,IRN,1.9
20010426,IRN,IND,1.0
20010426,IND,IRN,1.0
20010426,IND,IRN,1.0
20010426,IND,IRN,1.0
20010426,IRN,IND,1.0
20010426,IND,IRN,1.0
20010426,IRN,IND,1.0
20010426,IND,IRN,1.0
20010427,IRN,IND,1.0
20010427,IND,IRN,1.0
20010427,IND,IRN,5.0
20010427,IRN,IND,1.0
20010427,IND,IRN,1.0
20010427,IND,IRN,1.0
20010427,IND,IRN,5.0
20010507,IRN,IND,1.9
20010507,IND,IRN,2.8
20010507,IND,IRN,2.8
20010507,IRN,IND,1.9
20010510,IND,IRN,1.9
20010510,IRN,IND,2.8
20010510,IRN,IND,2.8
20010510,IND,IRN,1.9
20010518,IRN,IND,3.0
20010518,IND,IRN,1.9
20010518,IRN,IND,1.0
20010518,IRN,IND,2.8
20010518,IRN,IND,1.0
20010518,IND,IRN,1.9
20010518,IRN,IND,2.8
20010518,IND,IRN,1.0
20010518,IND,IRN,1.0
20010611,IND,IRN,1.9
20010611,IND,IRN,3.4
20010611,IRN,IND,2.8
20010613,IND,IRN,1.0
20010613,IRN,IND,1.0
20010613,IND,IRN,7.0
20010613,IRN,IND,1.0
20010613,IRN,IND,7.0
20010613,IND,IRN,7.0
20010613,IND,IRN,1.0
20010619,IND,IRN,8.3
20010619,IND,IRN,8.3
20010629,IND,IRN,6.4
20010630,IND,IRN,7.0
20010630,IND,IRN,7.0
20010711,IRN,IND,4.0
20010711,IND,IRN,4.0
20010711,IND,IRN,4.0
20010711,IRN,IND,4.0
20010711,IND,IRN,4.0
20010728,IRN,IND,3.0
20010728,IRN,IND,5.0
20010815,IRN,IND,1.9
20010815,IND,IRN,2.8
20010815,IRN,IND,1.9
20010815,IND,IRN,2.8
20010917,IRN,IND,0.0
20010919,IRN,IND,7.0
20010919,IRN,IND,1.0
20010919,IND,IRN,0.4
20010919,IND,IRN,7.0
20010919,IND,IRN,1.0
20010919,IRN,IND,7.0
20010919,IND,IRN,7.0
20010919,IND,IRN,0.4
20010919,IND,IRN,1.0
20010919,IRN,IND,1.0
20010920,IND,IRN,3.4
20010920,IND,IRN,0.0
20011003,IND,IRN,-5.0
20011003,IND,IRN,-5.0
20011010,IND,IRN,6.0
20011010,IRN,IND,3.0
20011015,IRN,IND,7.0
20011015,IRN,IND,7.0
20011015,IND,IRN,3.0
20011015,IND,IRN,3.0
20011015,IRN,IND,1.9
20011015,IND,IRN,1.9
20011015,IND,IRN,2.8
20011015,IND,IRN,7.0
20011015,IRN,IND,1.9
20011015,IND,IRN,3.0
20011015,IRN,IND,7.0
20011015,IND,IRN,2.8
20011015,IRN,IND,7.0
20011015,IND,IRN,7.0
20011015,IND,IRN,7.0
20011015,IRN,IND,7.0
20011015,IND,IRN,7.0
20011015,IND,IRN,2.8
20011015,IND,IRN,7.0
20011015,IRN,IND,7.0
20011015,IND,IRN,2.8
20011015,IND,IRN,7.0
20011015,IRN,IND,2.8
20011015,IRN,IND,7.0
20011015,IND,IRN,7.0
20011015,IND,IRN,7.0
20011015,IRN,IND,1.9
20011015,IRN,IND,7.0
20011015,IND,IRN,7.0
20011015,IRN,IND,7.0
20011015,IRN,IND,7.0
20011016,IND,IRN,7.0
20011016,IND,IRN,1.0
20011016,IRN,IND,7.0
20011016,IRN,IND,1.0
20011020,IND,IRN,0.0
20011102,IND,IRN,2.8
20011102,IRN,IND,1.9
20011102,IRN,IND,1.9
20011102,IRN,IND,1.9
20011102,IRN,IND,1.0
20011102,IND,IRN,1.0
20011102,IND,IRN,1.0
20011102,IND,IRN,2.8
20011102,IRN,IND,1.0
20011102,IND,IRN,2.8
20011103,IND,IRN,1.9
20011103,IRN,IND,2.8
20011111,IRN,IND,3.5
20011111,IND,IRN,3.5
20011111,IRN,IND,3.5
20011111,IRN,IND,3.5
20011111,IRN,IND,4.0
20011111,IRN,IND,3.5
20011111,IND,IRN,4.0
20011111,IRN,IND,4.0
20011111,IND,IRN,4.0
20011111,IND,IRN,3.5
20011121,IND,IRN,6.4
20011204,IRN,IND,2.8
