SQLDATE,a1,a2,GoldsteinScale
20000111,IND,ISR,5.2
20000111,IND,ISR,5.2
20000112,IND,ISR,1.9
20000112,ISR,IND,2.8
20000112,IND,ISR,1.9
20000112,IND,ISR,-10.0
20000112,IND,ISR,-10.0
20000112,ISR,IND,2.8
20000117,IND,ISR,-4.0
20000427,IND,ISR,0.0
20000427,IND,ISR,0.0
20000601,IND,ISR,4.0
20000601,ISR,IND,4.0
20000614,ISR,IND,2.8
20000614,ISR,IND,2.8
20000614,IND,ISR,1.9
20000620,IND,ISR,2.8
20000620,ISR,IND,1.9
20000620,ISR,IND,1.9
20000621,IND,ISR,1.9
20000621,ISR,IND,4.0
20000621,ISR,IND,8.0
20000621,IND,ISR,8.0
20000621,IND,ISR,4.0
20000621,ISR,IND,2.8
20000623,IND,ISR,1.9
20000623,ISR,IND,2.8
20000627,ISR,IND,2.8
20000627,IND,ISR,4.0
20000627,IND,ISR,1.9
20000627,IND,ISR,1.9
20000628,IND,ISR,1.9
20000628,ISR,IND,2.8
20000628,IND,ISR,1.9
20000628,IND,ISR,1.9
20000629,IND,ISR,1.9
20000629,ISR,IND,2.8
20000629,IND,ISR,1.9
20000629,ISR,IND,2.8
20000629,IND,ISR,1.9
20000629,ISR,IND,2.8
20000629,ISR,IND,0.4
20000630,IND,ISR,1.9
20000630,IND,ISR,1.9
20000630,ISR,IND,0.0
20000630,IND,ISR,1.9
20000630,ISR,IND,2.8
20000630,ISR,IND,2.8
20000630,IND,ISR,1.9
20000630,IND,ISR,1.9
20000630,IND,ISR,1.9
20000630,ISR,IND,2.8
20000630,IND,ISR,1.9
20000630,ISR,IND,2.8
20000701,ISR,IND,0.0
20000701,IND,ISR,1.9
20000702,ISR,IND,-2.0
20000702,ISR,IND,4.0
20000702,IND,ISR,1.9
20000702,IND,ISR,4.0
20000702,ISR,IND,4.0
20000702,ISR,IND,2.8
20000702,IND,ISR,1.0
20000702,IND,ISR,1.0
20000702,ISR,IND,1.0
20000702,ISR,IND,1.0
20000702,IND,ISR,4.0
20000702,ISR,IND,-2.0
20000703,ISR,IND,4.0
20000703,ISR,IND,4.0
20000703,ISR,IND,1.0
20000703,IND,ISR,2.8
20000703,IND,ISR,2.8
20000703,ISR,IND,1.9
20000703,IND,ISR,1.0
20000703,ISR,IND,1.9
20000704,ISR,IND,2.8
20000704,IND,ISR,1.9
20000704,ISR,IND,2.8
20000704,IND,ISR,1.9
20000705,ISR,IND,2.8
20000705,IND,ISR,1.9
20000711,IND,ISR,0.0
20000712,IND,ISR,1.9
20000712,ISR,IND,2.8
20000712,IND,ISR,1.9
20000712,IND,ISR,4.0
20000712,ISR,IND,4.0
20000712,IND,ISR,1.9
20000712,ISR,IND,4.0
20000717,ISR,IND,3.5
20000717,IND,ISR,3.4
20000717,IND,ISR,3.4
20000717,ISR,IND,3.5
20000719,ISR,IND,1.9
20000719,ISR,IND,1.9
20000719,IND,ISR,2.8
20000719,IND,ISR,2.8
20000719,IND,ISR,4.0
20000719,ISR,IND,4.0
20000719,IND,ISR,4.0
20000719,ISR,IND,1.9
20000719,IND,ISR,2.8
