SQLDATE,a1,a2,GoldsteinScale
20000101,PAK,IND,4.0
20000101,PAK,IND,2.8
20000101,PAK,IND,1.9
20000101,IND,PAK,-5.0
20000101,IND,PAK,-2.0
20000101,IND,PAK,-2.0
20000101,PAK,IND,2.8
20000101,IND,PAK,1.9
20000101,PAK,IND,1.0
20000101,IND,PAK,2.8
20000101,PAK,IND,4.0
20000101,PAK,IND,1.9
20000101,PAK,IND,3.0
20000101,IND,PAK,2.8
20000101,IND,PAK,5.0
20000101,IND,PAK,1.9
20000101,IND,PAK,1.0
20000101,PAK,IND,4.0
20000101,PAK,IND,4.0
20000101,IND,PAK,1.9
20000101,PAK,IND,2.8
20000101,IND,PAK,-2.0
20000101,PAK,IND,1.0
20000101,IND,PAK,-2.0
20000101,IND,PAK,1.0
20000101,PAK,IND,2.8
20000101,IND,PAK,1.9
20000101,IND,PAK,-2.0
20000101,PAK,IND,2.8
20000101,PAK,IND,-9.0
20000101,IND,PAK,1.9
20000101,IND,PAK,-2.0
20000102,IND,PAK,2.8
20000102,IND,PAK,1.9
20000102,PAK,IND,2.8
20000102,IND,PAK,1.9
20000102,PAK,IND,-0.4
20000102,PAK,IND,2.8
20000102,IND,PAK,5.0
20000102,PAK,IND,1.9
20000102,PAK,IND,2.8
20000102,PAK,IND,0.0
20000102,IND,PAK,1.9
20000102,IND,PAK,-2.0
20000102,PAK,IND,2.8
20000102,IND,PAK,4.0
20000102,IND,PAK,5.0
20000102,IND,PAK,4.0
20000102,IND,PAK,-2.0
20000102,IND,PAK,-2.0
20000102,IND,PAK,3.0
20000102,IND,PAK,-5.0
20000102,PAK,IND,2.8
20000102,IND,PAK,3.4
20000102,IND,PAK,1.9
20000102,IND,PAK,3.4
20000102,PAK,IND,0.0
20000102,IND,PAK,4.0
20000102,IND,PAK,-2.0
20000102,IND,PAK,5.0
20000102,IND,PAK,5.0
20000102,IND,PAK,-2.0
20000102,IND,PAK,-2.0
20000102,IND,PAK,1.9
20000102,IND,PAK,5.0
20000103,IND,PAK,3.0
20000103,IND,PAK,3.0
20000103,PAK,IND,-0.4
20000103,PAK,IND,-2.0
20000103,IND,PAK,2.8
20000103,IND,PAK,-2.0
20000103,IND,PAK,-2.0
20000103,PAK,IND,-4.0
20000103,IND,PAK,-2.0
20000103,PAK,IND,1.9
20000103,PAK,IND,-0.4
20000103,IND,PAK,-2.0
20000103,PAK,IND,3.4
20000103,IND,PAK,-5.0
20000103,IND,PAK,3.0
20000103,IND,PAK,-2.0
20000104,IND,PAK,-2.0
20000104,PAK,IND,7.0
20000104,PAK,IND,7.0
20000104,PAK,IND,7.0
20000104,IND,PAK,-2.0
20000104,PAK,IND,7.0
20000104,PAK,IND,-2.0
20000104,IND,PAK,3.4
20000104,PAK,IND,1.9
20000104,IND,PAK,-5.0
20000104,IND,PAK,-2.0
20000104,IND,PAK,3.0
20000104,PAK,IND,7.0
20000104,IND,PAK,-2.0
20000104,PAK,IND,7.0
20000104,IND,PAK,2.8
20000104,IND,PAK,7.0
20000105,IND,PAK,-2.0
20000105,PAK,IND,-2.0
