SQLDATE,a1,a2,GoldsteinScale
20000221,IND,SAU,-2.0
20000221,IND,SAU,-2.0
20000221,IND,SAU,-2.0
20000221,IND,SAU,-2.0
20000226,IND,SAU,2.8
20000226,IND,SAU,4.0
20000226,IND,SAU,4.0
20000226,IND,SAU,1.0
20000226,SAU,IND,1.9
20000226,SAU,IND,1.0
20000406,IND,SAU,3.5
20000406,IND,SAU,4.0
20000406,SAU,IND,3.5
20000406,SAU,IND,4.0
20000421,SAU,IND,3.0
20000421,SAU,IND,-6.5
20000503,SAU,IND,0.0
20000515,SAU,IND,4.0
20000515,SAU,IND,4.0
20000515,SAU,IND,0.0
20000515,SAU,IND,0.0
20000515,SAU,IND,1.9
20000515,SAU,IND,-4.0
20000515,IND,SAU,2.8
20000515,SAU,IND,1.9
20000515,SAU,IND,-4.0
20000515,IND,SAU,2.8
20000517,SAU,IND,-5.0
20000519,IND,SAU,1.9
20000519,SAU,IND,2.8
20000519,SAU,IND,2.8
20000519,IND,SAU,1.9
20000524,SAU,IND,0.0
20000524,SAU,IND,0.4
20000614,SAU,IND,-0.4
20000627,SAU,IND,0.4
20000627,SAU,IND,0.4
20000703,SAU,IND,0.0
20000703,SAU,IND,0.0
20000704,SAU,IND,4.0
20000704,SAU,IND,4.0
20000705,SAU,IND,0.0
20000705,SAU,IND,0.4
20000711,SAU,IND,1.9
20000711,SAU,IND,1.0
20000711,IND,SAU,1.0
20000711,IND,SAU,2.8
20000712,SAU,IND,1.9
20000712,IND,SAU,2.8
20000713,SAU,IND,1.9
20000713,IND,SAU,2.8
20000713,IND,SAU,-4.0
20000713,SAU,IND,4.0
20000713,IND,SAU,4.0
20000714,SAU,IND,0.0
20000714,SAU,IND,-5.0
20000715,SAU,IND,0.4
20000716,SAU,IND,-5.8
20000718,SAU,IND,1.0
20000718,IND,SAU,1.0
20000718,SAU,IND,-5.0
20000718,IND,SAU,2.8
20000718,SAU,IND,1.9
20000719,IND,SAU,1.0
20000719,IND,SAU,1.0
20000719,SAU,IND,1.0
20000719,IND,SAU,2.8
20000719,SAU,IND,1.0
20000719,SAU,IND,1.9
20000727,IND,SAU,2.8
20000727,SAU,IND,1.9
20000803,SAU,IND,-2.0
20000817,IND,SAU,-5.0
20000820,SAU,IND,-2.0
20000820,SAU,IND,-2.0
20000820,SAU,IND,-2.0
20000821,IND,SAU,-4.0
20000821,IND,SAU,-4.0
20000821,IND,SAU,-2.0
20000821,IND,SAU,-2.0
20000821,IND,SAU,-2.0
20000821,IND,SAU,-4.0
20000908,IND,SAU,6.4
20000908,IND,SAU,4.0
20000908,SAU,IND,4.0
20000930,SAU,IND,4.0
20001006,SAU,IND,4.0
20001006,IND,SAU,4.0
20001013,IND,SAU,4.0
20001014,IND,SAU,1.9
20001014,SAU,IND,2.8
20001014,IND,SAU,-4.0
20001014,SAU,IND,2.8
20001014,IND,SAU,-4.0
20001014,IND,SAU,-4.0
20001014,IND,SAU,1.9
20001014,IND,SAU,-4.0
20001017,IND,SAU,1.9
20001017,SAU,IND,2.8
20001018,SAU,IND,2.8
20001018,SAU,IND,2.8
20001018,IND,SAU,1.9
20001018,IND,SAU,1.9
20001026,SAU,IND,-2.0
20001026,SAU,IND,-2.0
20001027,SAU,IND,-4.4
20001030,IND,SAU,-10.0
20001030,IND,SAU,-9.5
20001120,SAU,IND,4.0
20001205,IND,SAU,3.5
20001205,SAU,IND,3.5
20001205,SAU,IND,3.4
20001205,SAU,IND,4.0
20001209,SAU,IND,-5.0
20001209,SAU,IND,-5.0
20001211,IND,SAU,3.0
20001211,IND,SAU,3.0
20001221,SAU,IND,7.0
20001221,IND,SAU,7.0
20001222,SAU,IND,-2.0
20001225,IND,SAU,4.0
20010116,IND,SAU,1.9
20010116,SAU,IND,2.8
20010116,IND,SAU,1.9
20010116,SAU,IND,2.8
20010116,IND,SAU,4.0
20010116,IND,SAU,4.0
20010117,IND,SAU,2.8
20010117,SAU,IND,1.9
20010119,IND,SAU,1.9
20010119,SAU,IND,2.8
20010119,IND,SAU,1.9
20010119,SAU,IND,2.8
20010119,SAU,IND,2.8
20010119,IND,SAU,1.9
20010120,IND,SAU,7.0
20010120,SAU,IND,1.9
20010120,IND,SAU,1.9
20010120,IND,SAU,-0.4
20010120,SAU,IND,2.8
20010120,SAU,IND,2.8
20010120,IND,SAU,2.8
20010120,IND,SAU,1.9
20010120,IND,SAU,-0.4
20010120,IND,SAU,7.0
20010121,IND,SAU,5.0
20010121,IND,SAU,5.0
20010121,IND,SAU,0.4
20010121,SAU,IND,5.0
20010121,SAU,IND,5.0
20010121,IND,SAU,0.4
20010121,IND,SAU,1.9
20010121,SAU,IND,2.8
20010204,SAU,IND,3.0
20010204,SAU,IND,3.0
20010205,IND,SAU,3.0
20010205,IND,SAU,3.0
20010205,SAU,IND,0.0
20010323,IND,SAU,-9.5
20010427,IND,SAU,1.9
20010427,IND,SAU,1.9
20010427,SAU,IND,2.8
20010427,SAU,IND,2.8
20010508,SAU,IND,3.0
20010509,IND,SAU,-2.0
20010510,SAU,IND,0.0
20010510,SAU,IND,1.9
20010510,IND,SAU,2.8
20010524,SAU,IND,3.4
20010524,SAU,IND,3.4
20010529,SAU,IND,3.4
20010529,SAU,IND,-10.0
20010529,SAU,IND,3.4
20010529,SAU,IND,-10.0
20010610,SAU,IND,4.0
20010617,IND,SAU,-5.0
20010621,IND,SAU,-10.0
20010621,IND,SAU,-10.0
20010621,SAU,IND,-10.0
20010621,SAU,IND,-10.0
20010621,IND,SAU,-10.0
20010622,IND,SAU,-5.0
20010623,SAU,IND,1.9
20010623,IND,SAU,2.8
20010623,SAU,IND,1.9
20010623,IND,SAU,2.8
20010629,IND,SAU,6.4
20010710,IND,SAU,1.0
20010710,SAU,IND,1.0
20010726,IND,SAU,-5.0
20010726,IND,SAU,5.0
20010804,IND,SAU,-2.0
20010808,SAU,IND,1.0
20010808,IND,SAU,1.0
20010826,SAU,IND,-0.4
20010826,SAU,IND,-0.4
20010902,SAU,IND,7.0
20010902,SAU,IND,7.0
20010907,SAU,IND,-0.4
20010923,IND,SAU,1.0
20010923,SAU,IND,1.0
20010923,IND,SAU,1.0
20010923,SAU,IND,1.0
20010923,IND,SAU,1.0
20010923,SAU,IND,1.0
20010923,SAU,IND,1.0
20010923,IND,SAU,1.0
20011027,IND,SAU,-5.0
20011027,SAU,IND,-2.0
20011029,SAU,IND,-4.0
20011105,SAU,IND,-4.0
20011106,SAU,IND,3.0
20011106,SAU,IND,3.0
20011210,IND,SAU,1.0
20011210,IND,SAU,1.0
20011210,SAU,IND,1.0
20011211,SAU,IND,1.9
20011211,IND,SAU,2.8
20011212,SAU,IND,0.0
20011212,IND,SAU,2.8
20011212,SAU,IND,4.0
20011212,IND,SAU,2.8
20011212,SAU,IND,1.9
20011212,SAU,IND,1.9
20011212,SAU,IND,4.0
20011214,IND,SAU,1.0
20011214,IND,SAU,7.0
20011214,SAU,IND,1.0
20011214,IND,SAU,1.0
20011214,SAU,IND,7.0
20020101,SAU,IND,4.0
20020121,SAU,IND,-4.4
20020121,SAU,IND,-4.4
20020131,IND,SAU,-0.4
20020314,IND,SAU,3.0
20020321,SAU,IND,2.8
20020321,IND,SAU,1.9
20020330,IND,SAU,-5.0
20020407,SAU,IND,3.0
20020407,SAU,IND,3.0
20020421,SAU,IND,-2.0
20020421,SAU,IND,-5.0
20020430,SAU,IND,0.0
20020516,IND,SAU,1.9
20020516,SAU,IND,2.8
20020524,IND,SAU,2.8
20020524,SAU,IND,1.9
20020524,IND,SAU,1.0
20020524,SAU,IND,1.0
20020524,SAU,IND,1.9
20020524,IND,SAU,2.8
20020619,SAU,IND,7.0
20020623,SAU,IND,-10.0
20020623,SAU,IND,-10.0
20020624,SAU,IND,1.0
20020624,IND,SAU,1.0
20020703,IND,SAU,-4.0
20020715,SAU,IND,3.4
20020715,SAU,IND,-4.0
20020715,SAU,IND,-4.0
20020715,SAU,IND,3.4
20020715,SAU,IND,0.0
20020715,SAU,IND,0.0
20020715,SAU,IND,3.4
20020719,SAU,IND,-4.0
20020719,SAU,IND,-2.0
20020725,SAU,IND,-4.4
20020725,SAU,IND,7.0
20020725,SAU,IND,-4.4
20020728,SAU,IND,-0.4
20020728,IND,SAU,1.0
20020728,SAU,IND,1.0
20020731,IND,SAU,3.0
20020807,IND,SAU,1.9
20020807,IND,SAU,1.9
20020807,SAU,IND,2.8
20020807,SAU,IND,2.8
20020807,IND,SAU,1.9
20020807,SAU,IND,2.8
20020807,SAU,IND,3.4
20020812,IND,SAU,6.4
20020826,SAU,IND,7.0
20020831,IND,SAU,-2.0
20020903,SAU,IND,-2.0
20020904,SAU,IND,-2.0
20020904,SAU,IND,-2.0
20020915,SAU,IND,0.0
20020917,SAU,IND,0.0
20020930,SAU,IND,0.0
20020930,SAU,IND,0.4
20021014,SAU,IND,7.0
20021014,SAU,IND,7.0
20021014,SAU,IND,7.0
20021014,IND,SAU,7.0
20021014,IND,SAU,7.0
20021014,SAU,IND,7.0
20021016,SAU,IND,1.9
20021016,SAU,IND,1.9
20021016,IND,SAU,2.8
20021016,IND,SAU,2.8
20021017,SAU,IND,-4.0
20021017,SAU,IND,9.0
20021017,SAU,IND,-0.4
20021017,SAU,IND,-4.0
20021017,SAU,IND,-4.0
20021017,SAU,IND,0.0
20030106,IND,SAU,1.9
20030106,SAU,IND,2.8
20030212,SAU,IND,-10.0
20030214,IND,SAU,3.0
20030214,IND,SAU,3.0
20030214,IND,SAU,3.0
20030214,IND,SAU,3.0
20030219,IND,SAU,1.9
20030219,SAU,IND,2.8
20030226,SAU,IND,1.9
20030226,IND,SAU,2.8
20030408,SAU,IND,7.0
20030408,IND,SAU,4.0
20030408,IND,SAU,7.0
20030408,IND,SAU,7.0
20030408,SAU,IND,7.0
20030408,SAU,IND,4.0
20030423,IND,SAU,1.9
20030423,SAU,IND,2.8
20030514,SAU,IND,-9.5
20030514,IND,SAU,-2.0
20030514,IND,SAU,-2.0
20030520,IND,SAU,1.9
20030520,SAU,IND,2.8
20030520,IND,SAU,1.9
20030520,SAU,IND,2.8
20030603,SAU,IND,2.8
20030603,IND,SAU,1.9
20030713,SAU,IND,-5.0
20030826,SAU,IND,-2.0
20030826,SAU,IND,-5.0
20030830,SAU,IND,-2.0
20030830,SAU,IND,-2.0
20031021,SAU,IND,3.5
20031021,SAU,IND,3.5
20031021,SAU,IND,3.5
20031021,SAU,IND,3.5
20031115,SAU,IND,5.0
20031124,SAU,IND,4.0
20031221,IND,SAU,4.0
20031221,SAU,IND,1.0
20031221,SAU,IND,1.0
20031221,IND,SAU,4.0
20031221,SAU,IND,4.0
20031221,SAU,IND,1.9
20031221,IND,SAU,2.8
20031221,SAU,IND,4.0
20031224,IND,SAU,1.9
20031224,SAU,IND,2.8
20031224,IND,SAU,1.9
20031224,SAU,IND,2.8
20040113,IND,SAU,7.0
20040113,IND,SAU,7.0
20040113,SAU,IND,7.0
20040129,IND,SAU,-4.0
20040129,IND,SAU,-7.0
20040201,SAU,IND,-10.0
20040202,IND,SAU,-10.0
