SQLDATE,a1,a2,GoldsteinScale
20000207,IND,TUR,4.0
20000207,IND,TUR,4.0
20000207,TUR,IND,4.0
20000207,TUR,IND,4.0
20000209,IND,TUR,4.0
20000209,TUR,IND,4.0
20000212,IND,TUR,-2.0
20000308,IND,TUR,4.0
20000308,TUR,IND,4.0
20000327,IND,TUR,4.0
20000327,TUR,IND,4.0
20000329,TUR,IND,3.4
20000329,TUR,IND,4.0
20000329,IND,TUR,4.0
20000329,TUR,IND,3.4
20000329,TUR,IND,3.4
20000330,IND,TUR,2.8
20000330,IND,TUR,2.8
20000330,IND,TUR,2.8
20000330,TUR,IND,1.9
20000330,TUR,IND,1.9
20000330,TUR,IND,1.9
20000330,TUR,IND,1.9
20000330,TUR,IND,1.9
20000331,IND,TUR,2.8
20000331,TUR,IND,1.0
20000331,TUR,IND,2.8
20000331,TUR,IND,1.0
20000331,IND,TUR,2.8
20000331,TUR,IND,3.4
20000331,TUR,IND,3.4
20000331,IND,TUR,3.0
20000331,TUR,IND,3.4
20000331,TUR,IND,3.4
20000331,IND,TUR,2.8
20000331,TUR,IND,1.9
20000331,IND,TUR,1.9
20000331,TUR,IND,2.8
20000331,IND,TUR,3.0
20000331,IND,TUR,1.0
20000331,IND,TUR,1.0
20000331,IND,TUR,1.9
20000331,TUR,IND,3.4
20000331,TUR,IND,1.9
20000401,TUR,IND,1.9
20000401,TUR,IND,7.0
20000401,IND,TUR,7.0
20000401,IND,TUR,2.8
20000401,TUR,IND,1.9
20000401,IND,TUR,2.8
20000401,IND,TUR,2.8
20000402,IND,TUR,3.0
20000402,IND,TUR,3.0
20000402,TUR,IND,3.4
20000403,TUR,IND,3.4
20000403,TUR,IND,3.4
20000913,IND,TUR,7.0
20000913,TUR,IND,7.0
20000913,TUR,IND,7.0
20000913,IND,TUR,7.0
20001108,TUR,IND,3.5
20001108,TUR,IND,3.5
20010123,TUR,IND,7.0
20010123,IND,TUR,7.0
20010129,TUR,IND,7.4
20010201,TUR,IND,7.4
20010201,TUR,IND,7.4
20010201,TUR,IND,7.4
20010201,TUR,IND,10.0
20010201,TUR,IND,10.0
20010520,IND,TUR,1.9
20010520,TUR,IND,2.8
20010615,IND,TUR,4.0
20010615,TUR,IND,4.0
20010615,TUR,IND,8.0
20010615,IND,TUR,8.0
20010615,TUR,IND,4.0
20010615,IND,TUR,4.0
20010629,IND,TUR,8.0
20010629,TUR,IND,8.0
20010629,IND,TUR,8.0
20010629,TUR,IND,2.8
20010629,IND,TUR,8.0
20010629,IND,TUR,8.0
20010629,IND,TUR,1.9
20010629,TUR,IND,8.0
20011121,TUR,IND,3.5
20011121,IND,TUR,3.5
20020112,IND,TUR,4.0
20020114,TUR,IND,-0.4
20020114,TUR,IND,-0.4
20020114,TUR,IND,-0.4
20030705,TUR,IND,4.0
20030705,IND,TUR,4.0
20030801,IND,TUR,1.9
20030801,IND,TUR,4.0
20030801,TUR,IND,2.8
20030804,IND,TUR,0.4
20030804,IND,TUR,7.0
20030804,TUR,IND,7.0
20030804,IND,TUR,1.9
20030804,TUR,IND,7.0
20030804,IND,TUR,4.0
20030804,IND,TUR,0.4
20030804,IND,TUR,4.0
20030804,TUR,IND,2.8
20030806,IND,TUR,0.4
20030822,IND,TUR,4.0
20030908,IND,TUR,4.0
20030908,IND,TUR,1.9
20030908,TUR,IND,2.8
20030908,IND,TUR,1.9
20030916,TUR,IND,0.0
20030916,IND,TUR,7.0
20030916,TUR,IND,7.0
20030916,IND,TUR,1.9
20030916,TUR,IND,2.8
20030916,IND,TUR,1.9
20030916,IND,TUR,7.0
20030916,IND,TUR,1.0
20030916,TUR,IND,7.0
20030916,TUR,IND,2.8
20030917,TUR,IND,4.0
20030917,TUR,IND,4.0
20030917,TUR,IND,4.0
20030917,TUR,IND,6.0
20030917,TUR,IND,3.5
20030917,IND,TUR,3.5
20030917,TUR,IND,6.0
20030917,TUR,IND,4.0
20030917,TUR,IND,4.0
20030917,TUR,IND,4.0
20030917,TUR,IND,6.0
20030917,TUR,IND,4.0
20030917,TUR,IND,6.0
20030918,IND,TUR,7.0
20030918,TUR,IND,2.8
20030918,IND,TUR,7.0
20030918,IND,TUR,1.9
20030918,TUR,IND,7.0
20030918,IND,TUR,7.0
20030918,TUR,IND,7.0
20030919,TUR,IND,3.0
20030920,IND,TUR,3.4
20030923,TUR,IND,1.9
20030923,TUR,IND,1.9
20030923,IND,TUR,2.8
20030923,IND,TUR,2.8
20031116,IND,TUR,-2.0
20031211,IND,TUR,7.0
20031211,IND,TUR,7.0
20031230,IND,TUR,4.0
20031230,IND,TUR,2.8
20031230,TUR,IND,1.9
20031230,TUR,IND,4.0
20040603,IND,TUR,1.9
20040603,TUR,IND,2.8
20040925,TUR,IND,-0.4
20040925,TUR,IND,-0.4
20040925,TUR,IND,-0.4
20040925,TUR,IND,-0.4
20041205,TUR,IND,2.8
20041205,IND,TUR,1.9
20041205,TUR,IND,2.8
20041205,IND,TUR,1.9
20050504,IND,TUR,4.0
20050504,IND,TUR,4.0
20051025,TUR,IND,-10.0
20051213,TUR,IND,2.8
20051213,IND,TUR,1.9
