SQLDATE,a1,a2,GoldsteinScale
20000101,ISR,IRN,-10.0
20000101,IRN,ISR,0.0
20000101,IRN,ISR,0.0
20000101,ISR,IRN,8.0
20000101,ISR,IRN,8.0
20000101,IRN,ISR,8.0
20000101,IRN,ISR,8.0
20000101,IRN,ISR,0.0
20000101,ISR,IRN,-10.0
20000102,ISR,IRN,1.9
20000102,IRN,ISR,2.8
20000102,IRN,ISR,2.8
20000102,ISR,IRN,1.9
20000103,IRN,ISR,3.0
20000103,IRN,ISR,3.5
20000103,ISR,IRN,3.5
20000103,IRN,ISR,3.5
20000103,ISR,IRN,3.5
20000103,IRN,ISR,3.5
20000103,ISR,IRN,-10.0
20000103,IRN,ISR,3.5
20000103,ISR,IRN,3.5
20000103,ISR,IRN,3.5
20000103,ISR,IRN,-10.0
20000103,IRN,ISR,3.0
20000103,ISR,IRN,3.5
20000103,ISR,IRN,3.5
20000103,IRN,ISR,3.5
20000103,IRN,ISR,3.5
20000104,IRN,ISR,-5.0
20000104,IRN,ISR,8.0
20000104,IRN,ISR,-2.0
20000104,IRN,ISR,8.0
20000104,IRN,ISR,-2.0
20000104,IRN,ISR,-5.0
20000105,IRN,ISR,3.0
20000105,IRN,ISR,3.0
20000105,IRN,ISR,-4.0
20000105,ISR,IRN,0.0
20000105,IRN,ISR,-5.0
20000105,IRN,ISR,-4.0
20000105,IRN,ISR,3.0
20000105,ISR,IRN,3.4
20000105,IRN,ISR,3.0
20000105,ISR,IRN,3.4
20000105,IRN,ISR,-5.0
20000105,IRN,ISR,3.0
20000105,IRN,ISR,3.0
20000105,ISR,IRN,0.0
20000106,ISR,IRN,7.0
20000107,ISR,IRN,3.4
20000107,IRN,ISR,7.0
20000107,ISR,IRN,7.0
20000107,IRN,ISR,7.0
20000107,IRN,ISR,7.0
20000107,ISR,IRN,7.0
20000107,ISR,IRN,7.0
20000108,IRN,ISR,1.9
20000108,ISR,IRN,2.8
20000108,IRN,ISR,1.0
20000108,IRN,ISR,1.0
20000108,IRN,ISR,1.0
20000108,ISR,IRN,2.8
20000108,IRN,ISR,5.0
20000108,ISR,IRN,2.8
20000108,ISR,IRN,-2.0
20000108,IRN,ISR,1.9
20000108,IRN,ISR,1.0
20000108,ISR,IRN,-2.0
20000108,ISR,IRN,-2.0
20000108,IRN,ISR,1.9
