SQLDATE,a1,a2,GoldsteinScale
20000102,GBR,PAK,-6.5
20000102,GBR,PAK,3.5
20000103,PAK,GBR,7.0
20000103,PAK,GBR,7.0
20000103,PAK,GBR,7.0
20000103,PAK,GBR,7.0
20000103,PAK,GBR,7.0
20000103,PAK,GBR,7.0
20000105,PAK,GBR,-9.0
20000105,GBR,PAK,-2.0
20000105,PAK,GBR,-9.0
20000105,PAK,GBR,-9.0
20000105,GBR,PAK,-2.0
20000106,GBR,PAK,-4.0
20000108,PAK,GBR,7.0
20000108,PAK,GBR,4.0
20000108,PAK,GBR,2.8
20000108,GBR,PAK,1.9
20000108,PAK,GBR,0.0
20000108,GBR,PAK,3.0
20000108,GBR,PAK,-5.0
20000108,GBR,PAK,-5.0
20000108,GBR,PAK,4.0
20000108,GBR,PAK,4.0
20000108,GBR,PAK,4.0
20000108,GBR,PAK,3.0
20000108,GBR,PAK,4.0
20000108,GBR,PAK,-5.0
20000108,GBR,PAK,-5.0
20000108,GBR,PAK,-5.0
20000108,GBR,PAK,-5.0
20000108,PAK,GBR,3.8
20000109,GBR,PAK,5.0
20000109,GBR,PAK,5.0
20000112,PAK,GBR,7.0
20000112,PAK,GBR,1.9
20000112,GBR,PAK,4.0
20000112,GBR,PAK,1.9
20000112,PAK,GBR,7.0
20000112,GBR,PAK,1.9
20000112,PAK,GBR,3.4
20000112,PAK,GBR,4.0
20000112,PAK,GBR,2.8
20000112,GBR,PAK,4.0
20000112,PAK,GBR,2.8
20000112,GBR,PAK,2.8
20000112,PAK,GBR,-5.0
20000112,PAK,GBR,4.0
20000112,GBR,PAK,4.0
20000112,GBR,PAK,4.0
20000112,GBR,PAK,4.0
20000112,PAK,GBR,-5.0
20000112,GBR,PAK,2.8
20000112,PAK,GBR,4.0
20000112,PAK,GBR,1.9
20000112,GBR,PAK,1.9
20000112,PAK,GBR,2.8
20000113,PAK,GBR,4.0
20000113,PAK,GBR,2.8
20000113,PAK,GBR,2.8
20000113,PAK,GBR,-5.0
20000113,GBR,PAK,2.8
20000113,GBR,PAK,2.8
20000113,PAK,GBR,2.8
20000113,GBR,PAK,7.0
20000113,GBR,PAK,5.0
20000113,PAK,GBR,1.9
20000113,PAK,GBR,2.8
20000113,GBR,PAK,1.9
20000113,PAK,GBR,7.0
20000113,GBR,PAK,1.9
20000113,PAK,GBR,1.9
20000113,GBR,PAK,-5.0
20000113,GBR,PAK,2.8
20000113,GBR,PAK,2.8
20000113,GBR,PAK,1.9
20000113,PAK,GBR,1.9
20000113,GBR,PAK,1.9
20000113,GBR,PAK,5.2
