SQLDATE,a1,a2,GoldsteinScale
20000102,PAK,IRN,10.0
20000102,PAK,IRN,10.0
20000102,PAK,IRN,10.0
20000110,IRN,PAK,8.3
20000110,PAK,IRN,0.4
20000110,PAK,IRN,0.4
20000110,PAK,IRN,7.0
20000110,IRN,PAK,7.0
20000110,IRN,PAK,8.3
20000110,PAK,IRN,5.0
20000110,PAK,IRN,7.0
20000110,IRN,PAK,7.0
20000112,PAK,IRN,4.0
20000112,PAK,IRN,5.2
20000112,IRN,PAK,-2.0
20000112,PAK,IRN,6.4
20000112,PAK,IRN,-2.0
20000113,PAK,IRN,2.5
20000113,IRN,PAK,2.5
20000115,PAK,IRN,-10.0
20000115,PAK,IRN,-10.0
20000115,PAK,IRN,-10.0
20000118,PAK,IRN,2.8
20000118,PAK,IRN,4.0
20000118,IRN,PAK,1.9
20000118,IRN,PAK,4.0
20000120,PAK,IRN,3.0
20000120,IRN,PAK,3.5
20000120,PAK,IRN,3.5
20000120,IRN,PAK,3.5
20000120,PAK,IRN,3.5
20000121,PAK,IRN,-5.0
20000121,IRN,PAK,4.0
20000121,PAK,IRN,1.0
20000121,IRN,PAK,1.0
20000121,PAK,IRN,1.0
20000121,IRN,PAK,2.8
20000121,IRN,PAK,1.0
20000121,PAK,IRN,1.0
20000121,PAK,IRN,1.9
20000121,IRN,PAK,5.2
20000121,PAK,IRN,-5.0
20000121,IRN,PAK,1.0
20000121,IRN,PAK,1.0
20000121,IRN,PAK,5.2
20000121,PAK,IRN,-5.0
20000121,PAK,IRN,-5.0
20000122,PAK,IRN,-9.5
20000123,PAK,IRN,7.0
20000123,IRN,PAK,7.0
20000123,PAK,IRN,7.0
20000123,PAK,IRN,4.0
20000123,PAK,IRN,4.0
20000123,IRN,PAK,-2.0
20000123,IRN,PAK,7.0
20000124,PAK,IRN,6.0
20000124,IRN,PAK,2.8
20000124,PAK,IRN,6.0
20000124,PAK,IRN,4.0
20000124,IRN,PAK,4.0
20000124,IRN,PAK,6.0
20000124,PAK,IRN,1.9
20000124,IRN,PAK,6.0
20000124,PAK,IRN,1.9
20000124,IRN,PAK,6.0
20000124,PAK,IRN,4.0
20000124,PAK,IRN,1.9
20000124,IRN,PAK,4.0
20000124,PAK,IRN,4.0
20000124,PAK,IRN,6.0
20000124,PAK,IRN,6.0
20000124,IRN,PAK,4.0
20000124,IRN,PAK,2.8
20000124,IRN,PAK,6.0
20000124,PAK,IRN,4.0
20000124,IRN,PAK,2.8
20000124,IRN,PAK,4.0
20000125,IRN,PAK,7.0
20000125,PAK,IRN,3.4
20000125,IRN,PAK,7.0
20000125,PAK,IRN,7.0
20000125,PAK,IRN,3.4
20000125,PAK,IRN,3.4
20000125,PAK,IRN,3.4
20000125,PAK,IRN,7.0
20000126,IRN,PAK,1.9
20000126,PAK,IRN,1.9
20000126,PAK,IRN,3.4
20000126,IRN,PAK,2.8
20000126,PAK,IRN,2.8
20000126,PAK,IRN,1.9
20000126,IRN,PAK,1.9
20000126,PAK,IRN,2.8
20000126,PAK,IRN,1.9
20000126,PAK,IRN,3.4
