SQLDATE,a1,a2,GoldsteinScale
20000107,ISR,PAK,4.0
20000107,ISR,PAK,4.0
20000107,ISR,PAK,4.0
20000126,ISR,PAK,-0.4
20000126,ISR,PAK,-0.4
20000213,PAK,ISR,1.0
20000213,PAK,ISR,3.5
20000213,ISR,PAK,1.0
20000213,ISR,PAK,6.4
20000213,ISR,PAK,1.0
20000213,PAK,ISR,1.0
20000213,PAK,ISR,1.0
20000213,ISR,PAK,1.0
20000213,ISR,PAK,6.4
20000213,PAK,ISR,3.5
20000213,PAK,ISR,3.4
20000216,PAK,ISR,1.0
20000216,ISR,PAK,-10.0
20000216,ISR,PAK,6.4
20000216,ISR,PAK,6.4
20000216,ISR,PAK,-10.0
20000216,PAK,ISR,6.4
20000216,PAK,ISR,6.4
20000216,ISR,PAK,1.0
20000216,PAK,ISR,1.0
20000216,PAK,ISR,6.4
20000216,ISR,PAK,1.0
20000216,ISR,PAK,1.0
20000216,ISR,PAK,1.0
20000216,ISR,PAK,-10.0
20000216,ISR,PAK,6.4
20000216,PAK,ISR,1.0
20000216,PAK,ISR,1.0
20000216,ISR,PAK,6.4
20000321,ISR,PAK,-0.4
20000321,ISR,PAK,-0.4
20000414,ISR,PAK,7.0
20000414,ISR,PAK,7.0
20000422,PAK,ISR,-4.0
20000424,ISR,PAK,8.0
20000424,ISR,PAK,8.0
20000424,ISR,PAK,8.0
20000424,PAK,ISR,8.0
20000424,PAK,ISR,8.0
20000424,PAK,ISR,8.0
20000425,PAK,ISR,8.0
20000425,ISR,PAK,8.0
20000425,PAK,ISR,8.0
20000425,PAK,ISR,8.0
20000425,ISR,PAK,8.0
20000504,PAK,ISR,8.0
20000504,ISR,PAK,8.0
20000504,PAK,ISR,8.0
20000504,PAK,ISR,8.0
20000504,ISR,PAK,8.0
20000504,ISR,PAK,8.0
20000509,PAK,ISR,-0.4
20000521,PAK,ISR,-4.0
20000521,ISR,PAK,-4.0
20000521,PAK,ISR,3.4
20000521,PAK,ISR,-4.0
20000521,ISR,PAK,-4.0
20000521,PAK,ISR,-4.0
20000521,PAK,ISR,3.4
20000521,ISR,PAK,3.4
20000521,ISR,PAK,3.4
20000521,ISR,PAK,3.4
20000521,ISR,PAK,-4.0
20000521,PAK,ISR,3.4
20000531,ISR,PAK,-4.0
20000605,ISR,PAK,2.8
20000605,ISR,PAK,2.8
20000605,PAK,ISR,1.9
20000605,PAK,ISR,1.9
20000620,PAK,ISR,3.0
20000702,ISR,PAK,7.4
20000702,PAK,ISR,7.4
20000702,PAK,ISR,7.4
20000702,PAK,ISR,7.4
20000702,ISR,PAK,7.4
20000715,PAK,ISR,-2.0
20000715,PAK,ISR,-2.0
20000726,PAK,ISR,-2.0
20000726,PAK,ISR,-2.0
20000813,PAK,ISR,6.0
20000813,PAK,ISR,3.4
20000813,PAK,ISR,6.0
20000813,PAK,ISR,3.4
20000814,ISR,PAK,1.0
20000814,PAK,ISR,1.0
20000814,PAK,ISR,1.0
20000817,ISR,PAK,6.4
20000817,PAK,ISR,-2.0
20000817,ISR,PAK,6.4
20000817,PAK,ISR,-2.0
20000817,ISR,PAK,6.4
20000817,PAK,ISR,-2.0
20000817,PAK,ISR,-2.0
20000820,ISR,PAK,4.0
20000820,ISR,PAK,4.0
20000820,ISR,PAK,4.0
20000820,PAK,ISR,4.0
20000820,PAK,ISR,4.0
20000820,PAK,ISR,4.0
20000820,PAK,ISR,-5.0
20000820,PAK,ISR,-5.0
20000928,ISR,PAK,1.0
