SQLDATE,a1,a2,GoldsteinScale
20000102,SAU,PAK,2.8
20000102,PAK,SAU,1.9
20000108,SAU,PAK,3.4
20000108,SAU,PAK,3.4
20000117,PAK,SAU,0.4
20000117,PAK,SAU,0.4
20000118,PAK,SAU,7.0
20000118,PAK,SAU,7.0
20000120,PAK,SAU,2.8
20000120,SAU,PAK,1.9
20000120,SAU,PAK,1.9
20000120,PAK,SAU,2.8
20000121,PAK,SAU,1.0
20000121,PAK,SAU,1.0
20000121,SAU,PAK,1.0
20000121,SAU,PAK,1.0
20000122,SAU,PAK,-5.0
20000123,SAU,PAK,4.0
20000124,PAK,SAU,6.0
20000124,PAK,SAU,6.0
20000127,SAU,PAK,-5.0
20000204,SAU,PAK,10.0
20000204,PAK,SAU,-0.4
20000204,SAU,PAK,-0.4
20000204,PAK,SAU,0.4
20000204,SAU,PAK,4.0
20000204,SAU,PAK,0.4
20000207,SAU,PAK,5.0
20000214,SAU,PAK,2.8
20000214,PAK,SAU,1.9
20000215,SAU,PAK,0.4
20000218,SAU,PAK,-4.0
20000218,SAU,PAK,-4.4
20000221,PAK,SAU,4.0
20000221,SAU,PAK,1.9
20000221,SAU,PAK,-0.4
20000221,PAK,SAU,2.8
20000222,SAU,PAK,2.8
20000222,PAK,SAU,1.9
20000224,PAK,SAU,1.0
20000224,PAK,SAU,1.0
20000226,SAU,PAK,0.0
20000226,SAU,PAK,0.0
20000226,SAU,PAK,-5.0
20000226,SAU,PAK,-5.0
20000227,PAK,SAU,-8.0
20000227,SAU,PAK,-10.0
20000227,PAK,SAU,-8.0
20000227,PAK,SAU,-2.0
20000227,SAU,PAK,-10.0
20000227,SAU,PAK,-10.0
20000227,PAK,SAU,-8.0
20000227,PAK,SAU,-2.0
20000301,SAU,PAK,0.4
20000317,PAK,SAU,3.4
20000317,PAK,SAU,3.4
20000319,SAU,PAK,-4.0
20000319,SAU,PAK,-4.0
20000319,SAU,PAK,-4.0
20000320,PAK,SAU,1.9
20000320,SAU,PAK,2.8
20000322,SAU,PAK,-2.0
20000323,PAK,SAU,3.5
20000324,SAU,PAK,-2.0
20000324,SAU,PAK,-2.0
20000325,SAU,PAK,7.0
20000325,SAU,PAK,7.0
20000325,PAK,SAU,7.0
20000325,PAK,SAU,7.0
20000330,SAU,PAK,1.9
20000330,SAU,PAK,1.9
20000330,PAK,SAU,2.8
20000330,PAK,SAU,2.8
20000330,SAU,PAK,1.9
20000330,PAK,SAU,2.8
20000402,SAU,PAK,-5.0
20000402,PAK,SAU,2.8
20000402,PAK,SAU,2.8
20000402,SAU,PAK,1.9
20000402,PAK,SAU,-5.0
20000402,SAU,PAK,-5.0
20000402,PAK,SAU,-5.0
20000402,PAK,SAU,0.0
20000402,PAK,SAU,0.0
20000402,PAK,SAU,-2.0
20000402,SAU,PAK,-5.0
20000402,PAK,SAU,-2.0
20000402,SAU,PAK,1.9
20000402,SAU,PAK,-5.0
20000402,PAK,SAU,0.0
20000403,PAK,SAU,-2.0
20000403,PAK,SAU,0.0
20000403,SAU,PAK,-5.0
20000403,PAK,SAU,0.0
20000403,SAU,PAK,-5.0
20000403,PAK,SAU,0.0
20000403,PAK,SAU,-5.0
20000403,PAK,SAU,2.8
20000403,PAK,SAU,-5.0
20000403,SAU,PAK,-5.0
20000403,SAU,PAK,-5.0
20000403,SAU,PAK,1.9
20000404,SAU,PAK,1.9
20000404,SAU,PAK,1.9
20000404,PAK,SAU,2.8
20000404,PAK,SAU,2.8
20000406,SAU,PAK,4.0
20000406,PAK,SAU,3.5
20000406,SAU,PAK,3.5
20000406,PAK,SAU,4.0
20000407,PAK,SAU,-9.5
20000407,SAU,PAK,-10.0
20000412,PAK,SAU,2.8
20000412,SAU,PAK,1.9
20000412,SAU,PAK,1.9
20000412,PAK,SAU,2.8
20000412,PAK,SAU,2.8
20000412,SAU,PAK,1.9
20000415,PAK,SAU,3.4
20000415,SAU,PAK,7.0
20000415,SAU,PAK,-10.0
20000415,PAK,SAU,3.4
20000415,SAU,PAK,-10.0
20000415,SAU,PAK,-10.0
20000415,PAK,SAU,7.0
20000416,SAU,PAK,1.9
20000416,PAK,SAU,2.8
20000416,PAK,SAU,2.8
20000420,SAU,PAK,4.0
20000420,PAK,SAU,1.9
20000420,PAK,SAU,3.0
20000420,SAU,PAK,0.0
20000420,SAU,PAK,3.0
20000420,SAU,PAK,2.8
20000420,SAU,PAK,3.0
20000425,SAU,PAK,2.8
20000425,PAK,SAU,7.0
20000425,SAU,PAK,7.0
20000425,PAK,SAU,1.9
20000425,PAK,SAU,1.9
20000425,SAU,PAK,2.8
20000428,PAK,SAU,2.8
20000428,SAU,PAK,1.9
20000428,PAK,SAU,2.8
20000428,SAU,PAK,1.9
20000428,SAU,PAK,1.9
20000428,SAU,PAK,1.9
20000504,PAK,SAU,4.0
20000505,PAK,SAU,-5.0
20000505,PAK,SAU,-10.0
20000505,PAK,SAU,-5.0
20000506,PAK,SAU,-10.0
20000506,SAU,PAK,-10.0
20000506,SAU,PAK,-5.0
20000506,SAU,PAK,-10.0
20000506,SAU,PAK,-10.0
20000506,SAU,PAK,-10.0
20000506,PAK,SAU,-9.0
20000507,SAU,PAK,7.0
20000507,PAK,SAU,7.0
20000507,SAU,PAK,4.0
20000507,SAU,PAK,4.0
20000507,PAK,SAU,4.0
20000507,SAU,PAK,7.0
20000507,PAK,SAU,7.0
