SQLDATE,a1,a2,GoldsteinScale
20000108,TUR,PAK,-5.0
20000108,TUR,PAK,-5.0
20000108,TUR,PAK,-5.0
20000108,TUR,PAK,-5.0
20000108,TUR,PAK,-5.0
20000110,PAK,TUR,1.9
20000110,TUR,PAK,2.8
20000110,PAK,TUR,1.9
20000110,TUR,PAK,2.8
20000111,TUR,PAK,7.0
20000111,PAK,TUR,7.0
20000125,PAK,TUR,2.8
20000125,TUR,PAK,1.9
20000210,PAK,TUR,3.0
20000227,PAK,TUR,1.9
20000227,PAK,TUR,1.9
20000227,TUR,PAK,2.8
20000227,TUR,PAK,2.8
20000303,TUR,PAK,-4.0
20000303,TUR,PAK,-4.0
20000303,TUR,PAK,1.9
20000303,TUR,PAK,1.9
20000303,PAK,TUR,2.8
20000303,PAK,TUR,2.8
20000304,TUR,PAK,-4.0
20000304,TUR,PAK,-4.0
20000304,TUR,PAK,-4.0
20000304,TUR,PAK,-4.0
20000304,TUR,PAK,-4.0
20000304,TUR,PAK,-4.0
20000306,PAK,TUR,3.4
20000308,PAK,TUR,2.8
20000308,TUR,PAK,1.9
20000308,PAK,TUR,2.8
20000308,PAK,TUR,2.8
20000308,TUR,PAK,4.0
20000308,TUR,PAK,1.9
20000308,TUR,PAK,1.9
20000308,TUR,PAK,4.0
20000309,TUR,PAK,4.0
20000309,PAK,TUR,3.0
20000309,TUR,PAK,2.8
20000309,TUR,PAK,4.0
20000309,PAK,TUR,1.9
20000309,PAK,TUR,3.0
20000318,TUR,PAK,0.0
20000318,TUR,PAK,3.0
20000318,TUR,PAK,3.0
20000318,TUR,PAK,0.0
20000319,TUR,PAK,-4.0
20000319,TUR,PAK,-4.0
20000319,TUR,PAK,-4.0
20000322,PAK,TUR,4.0
20000322,TUR,PAK,4.0
20000322,TUR,PAK,4.0
20000322,PAK,TUR,4.0
20000329,TUR,PAK,-0.3
20000329,TUR,PAK,4.0
20000329,TUR,PAK,4.0
20000329,TUR,PAK,4.0
20000330,TUR,PAK,2.8
20000330,PAK,TUR,-7.0
20000330,PAK,TUR,-4.0
20000330,TUR,PAK,2.8
20000330,PAK,TUR,1.9
20000330,TUR,PAK,-2.0
20000331,TUR,PAK,4.0
20000331,PAK,TUR,2.8
20000331,TUR,PAK,4.0
20000331,TUR,PAK,4.0
20000331,TUR,PAK,-0.3
20000331,TUR,PAK,1.9
20000331,TUR,PAK,-0.3
20000331,TUR,PAK,4.0
20000331,TUR,PAK,4.0
20000331,PAK,TUR,2.8
20000331,TUR,PAK,-0.3
20000331,TUR,PAK,1.9
20000401,TUR,PAK,0.0
20000401,TUR,PAK,0.0
20000401,TUR,PAK,0.0
20000401,TUR,PAK,-0.3
20000401,TUR,PAK,3.0
20000402,PAK,TUR,2.8
20000402,TUR,PAK,0.0
20000402,TUR,PAK,3.0
20000402,TUR,PAK,3.0
20000402,TUR,PAK,1.9
20000402,TUR,PAK,0.0
20000404,PAK,TUR,0.0
20000404,PAK,TUR,3.4
20000404,PAK,TUR,0.0
20000404,PAK,TUR,3.4
20000414,PAK,TUR,2.8
20000414,PAK,TUR,2.8
20000414,TUR,PAK,1.9
20000414,TUR,PAK,1.9
20000414,PAK,TUR,2.8
20000423,TUR,PAK,1.9
20000423,TUR,PAK,1.9
20000423,PAK,TUR,2.8
20000423,TUR,PAK,4.0
20000423,TUR,PAK,4.0
20000423,PAK,TUR,2.8
20000428,PAK,TUR,2.8
20000428,TUR,PAK,1.9
20000428,TUR,PAK,1.9
20000428,PAK,TUR,2.8
20000504,TUR,PAK,-2.0
20000518,TUR,PAK,1.0
20000518,TUR,PAK,1.0
20000518,PAK,TUR,1.0
20000518,PAK,TUR,1.0
20000520,PAK,TUR,1.0
20000609,PAK,TUR,3.4
20000609,PAK,TUR,3.4
20000623,TUR,PAK,-5.0
20000623,TUR,PAK,-5.0
20000623,TUR,PAK,-5.0
20000628,PAK,TUR,6.4
20000628,PAK,TUR,6.4
20000628,PAK,TUR,6.4
20000703,TUR,PAK,-5.0
20000703,TUR,PAK,-5.0
20000713,TUR,PAK,4.0
