SQLDATE,a1,a2,GoldsteinScale
20000101,CHN,RUS,3.4
20000101,RUS,CHN,7.4
20000101,CHN,RUS,0.4
20000101,CHN,RUS,0.4
20000101,RUS,CHN,7.4
20000101,RUS,CHN,3.4
20000101,CHN,RUS,0.4
20000101,RUS,CHN,3.4
20000103,CHN,RUS,2.8
20000103,CHN,RUS,3.5
20000103,CHN,RUS,3.5
20000103,RUS,CHN,7.0
20000103,RUS,CHN,1.0
20000103,RUS,CHN,7.0
20000103,CHN,RUS,2.8
20000103,CHN,RUS,7.0
20000103,RUS,CHN,1.9
20000103,RUS,CHN,1.9
20000103,CHN,RUS,2.8
20000103,RUS,CHN,1.9
20000103,RUS,CHN,4.0
20000103,CHN,RUS,7.0
20000103,CHN,RUS,3.5
20000103,RUS,CHN,3.5
20000103,RUS,CHN,3.5
20000103,CHN,RUS,2.8
20000103,RUS,CHN,3.5
20000103,CHN,RUS,1.0
20000103,RUS,CHN,4.0
20000103,CHN,RUS,1.0
20000103,CHN,RUS,7.0
20000103,RUS,CHN,1.9
20000103,RUS,CHN,1.0
20000103,RUS,CHN,7.0
20000104,CHN,RUS,1.0
20000104,RUS,CHN,-5.0
20000104,RUS,CHN,-5.0
20000104,RUS,CHN,1.0
20000105,RUS,CHN,2.8
20000105,CHN,RUS,1.0
20000105,RUS,CHN,1.0
20000105,CHN,RUS,0.0
20000105,CHN,RUS,1.0
20000105,CHN,RUS,1.9
20000105,CHN,RUS,1.9
20000105,RUS,CHN,6.4
20000105,CHN,RUS,1.9
20000105,RUS,CHN,2.8
20000105,RUS,CHN,2.8
20000105,RUS,CHN,1.0
20000105,RUS,CHN,6.4
20000106,CHN,RUS,-4.0
20000106,CHN,RUS,-4.0
20000106,CHN,RUS,-10.0
20000106,CHN,RUS,-10.0
20000106,RUS,CHN,-4.0
20000106,RUS,CHN,-4.0
20000106,RUS,CHN,-10.0
20000106,RUS,CHN,-10.0
20000107,RUS,CHN,7.4
20000107,RUS,CHN,-5.0
20000107,RUS,CHN,-2.0
20000107,RUS,CHN,-9.5
20000107,RUS,CHN,-2.0
20000107,RUS,CHN,-9.5
20000107,RUS,CHN,7.4
20000107,RUS,CHN,-2.0
20000107,CHN,RUS,6.4
20000107,RUS,CHN,-5.0
20000107,RUS,CHN,7.4
20000107,RUS,CHN,-5.0
20000107,RUS,CHN,-9.5
20000108,CHN,RUS,1.9
20000108,RUS,CHN,7.4
20000108,RUS,CHN,2.8
20000108,RUS,CHN,7.4
20000108,RUS,CHN,2.8
20000108,CHN,RUS,1.9
20000109,RUS,CHN,1.9
20000109,RUS,CHN,1.9
20000109,RUS,CHN,1.9
20000109,CHN,RUS,2.8
20000109,CHN,RUS,2.8
20000109,CHN,RUS,2.8
20000110,CHN,RUS,3.5
20000110,CHN,RUS,5.2
20000110,RUS,CHN,5.2
20000110,CHN,RUS,5.2
20000110,CHN,RUS,-2.0
20000110,RUS,CHN,3.0
20000110,RUS,CHN,3.5
20000110,RUS,CHN,3.5
20000110,RUS,CHN,5.2
20000110,CHN,RUS,3.5
20000110,CHN,RUS,-2.0
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,RUS,CHN,1.0
20000111,RUS,CHN,4.0
20000111,RUS,CHN,2.8
20000111,CHN,RUS,1.9
20000111,RUS,CHN,2.8
20000111,RUS,CHN,2.8
20000111,RUS,CHN,4.0
20000111,RUS,CHN,2.8
20000111,RUS,CHN,2.8
20000111,RUS,CHN,2.8
20000111,CHN,RUS,4.0
20000111,CHN,RUS,4.0
20000111,CHN,RUS,0.4
20000111,RUS,CHN,1.0
20000111,CHN,RUS,4.0
20000111,CHN,RUS,1.0
20000111,CHN,RUS,4.0
20000111,RUS,CHN,7.0
20000111,CHN,RUS,5.0
20000111,RUS,CHN,2.8
20000111,CHN,RUS,1.0
20000111,CHN,RUS,4.0
20000111,CHN,RUS,1.9
20000111,CHN,RUS,4.0
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.0
20000111,RUS,CHN,7.4
20000111,RUS,CHN,2.8
20000111,CHN,RUS,1.9
20000111,CHN,RUS,5.0
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,RUS,CHN,4.0
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,CHN,RUS,1.9
20000111,RUS,CHN,2.8
20000111,CHN,RUS,0.4
20000111,RUS,CHN,2.8
20000111,CHN,RUS,4.0
20000111,CHN,RUS,4.0
20000111,RUS,CHN,2.8
20000111,RUS,CHN,7.0
20000112,RUS,CHN,6.0
20000112,RUS,CHN,6.0
20000112,RUS,CHN,1.0
20000113,RUS,CHN,1.0
20000113,RUS,CHN,6.4
20000113,RUS,CHN,0.0
20000113,RUS,CHN,7.0
20000113,RUS,CHN,0.0
20000113,RUS,CHN,1.0
20000113,RUS,CHN,1.0
20000113,RUS,CHN,6.0
20000113,CHN,RUS,1.0
20000113,CHN,RUS,3.4
20000113,CHN,RUS,8.0
20000113,RUS,CHN,6.4
20000113,CHN,RUS,1.0
20000113,CHN,RUS,7.0
20000113,CHN,RUS,-9.5
20000113,RUS,CHN,7.4
20000113,CHN,RUS,8.0
20000113,RUS,CHN,6.0
20000113,RUS,CHN,8.0
20000113,CHN,RUS,8.0
20000113,CHN,RUS,1.0
20000113,CHN,RUS,3.5
20000113,CHN,RUS,3.5
20000113,RUS,CHN,3.5
20000113,CHN,RUS,1.0
20000113,RUS,CHN,8.0
20000113,RUS,CHN,8.0
20000113,RUS,CHN,7.0
20000113,RUS,CHN,6.4
20000113,RUS,CHN,1.0
20000113,RUS,CHN,0.0
20000113,RUS,CHN,3.0
20000113,RUS,CHN,6.0
20000113,RUS,CHN,0.0
20000113,RUS,CHN,7.0
20000113,RUS,CHN,8.0
20000113,CHN,RUS,-5.0
20000113,CHN,RUS,8.0
20000113,RUS,CHN,3.0
20000113,CHN,RUS,7.0
20000113,RUS,CHN,8.0
20000113,RUS,CHN,8.0
20000113,CHN,RUS,7.0
20000113,RUS,CHN,6.4
20000113,RUS,CHN,6.0
20000113,RUS,CHN,7.4
20000113,RUS,CHN,3.5
20000114,CHN,RUS,5.0
20000114,CHN,RUS,-4.4
20000114,CHN,RUS,1.0
20000114,CHN,RUS,3.5
20000114,CHN,RUS,5.0
20000114,CHN,RUS,1.9
20000114,RUS,CHN,2.8
20000114,CHN,RUS,-4.4
20000114,RUS,CHN,0.0
20000114,CHN,RUS,5.0
20000114,RUS,CHN,1.0
20000114,RUS,CHN,3.5
20000114,CHN,RUS,5.0
20000115,RUS,CHN,4.0
20000115,RUS,CHN,4.0
20000115,CHN,RUS,4.0
20000115,CHN,RUS,4.0
20000115,RUS,CHN,3.0
20000115,CHN,RUS,4.0
20000115,RUS,CHN,-9.5
20000115,CHN,RUS,7.0
20000115,RUS,CHN,4.0
20000115,RUS,CHN,3.0
20000115,CHN,RUS,-2.0
20000115,CHN,RUS,4.0
20000115,CHN,RUS,-2.0
20000115,RUS,CHN,2.8
20000115,CHN,RUS,7.0
20000115,RUS,CHN,4.0
20000115,CHN,RUS,-2.0
20000115,RUS,CHN,2.8
20000115,CHN,RUS,1.9
20000115,CHN,RUS,1.9
20000115,CHN,RUS,4.0
20000115,CHN,RUS,4.0
20000115,RUS,CHN,2.8
20000115,RUS,CHN,4.0
20000115,RUS,CHN,7.0
20000115,RUS,CHN,3.0
20000115,RUS,CHN,-9.5
20000115,CHN,RUS,4.0
20000115,CHN,RUS,3.0
20000115,RUS,CHN,7.0
20000115,RUS,CHN,-9.5
20000115,RUS,CHN,4.0
20000115,CHN,RUS,1.9
20000115,CHN,RUS,4.0
20000115,CHN,RUS,4.0
20000116,RUS,CHN,1.9
20000116,RUS,CHN,4.0
20000116,RUS,CHN,2.8
20000116,CHN,RUS,4.0
