SQLDATE,a1,a2,GoldsteinScale
20000101,RUS,GBR,7.0
20000101,GBR,RUS,7.0
20000101,GBR,RUS,7.0
20000101,RUS,GBR,7.0
20000103,GBR,RUS,3.5
20000103,GBR,RUS,3.5
20000103,GBR,RUS,3.0
20000103,GBR,RUS,3.5
20000103,GBR,RUS,3.5
20000103,RUS,GBR,3.5
20000103,GBR,RUS,3.5
20000104,RUS,GBR,1.0
20000104,GBR,RUS,1.0
20000105,RUS,GBR,1.0
20000105,RUS,GBR,1.0
20000105,GBR,RUS,1.0
20000105,GBR,RUS,1.0
20000105,RUS,GBR,7.0
20000105,RUS,GBR,0.0
20000105,GBR,RUS,7.0
20000105,GBR,RUS,7.0
20000106,RUS,GBR,2.8
20000106,GBR,RUS,1.9
20000106,GBR,RUS,3.0
20000106,RUS,GBR,2.8
20000106,RUS,GBR,2.8
20000106,GBR,RUS,3.4
20000106,GBR,RUS,3.0
20000109,GBR,RUS,1.9
20000109,RUS,GBR,2.8
20000109,GBR,RUS,1.9
20000109,RUS,GBR,2.8
20000111,GBR,RUS,7.0
20000111,RUS,GBR,3.4
20000111,RUS,GBR,0.4
20000111,GBR,RUS,1.0
20000111,GBR,RUS,2.8
20000111,RUS,GBR,3.4
20000111,RUS,GBR,1.9
20000111,RUS,GBR,7.0
20000111,RUS,GBR,1.0
20000111,GBR,RUS,1.0
20000111,RUS,GBR,7.0
20000111,RUS,GBR,3.5
20000111,RUS,GBR,1.0
20000111,GBR,RUS,7.0
20000111,RUS,GBR,0.4
20000111,RUS,GBR,1.0
20000111,GBR,RUS,1.0
20000111,RUS,GBR,7.0
20000111,GBR,RUS,7.0
20000111,GBR,RUS,4.0
20000112,RUS,GBR,2.8
20000112,GBR,RUS,1.9
20000112,RUS,GBR,2.8
20000112,GBR,RUS,1.0
20000112,RUS,GBR,7.0
20000112,RUS,GBR,-2.0
20000112,RUS,GBR,-2.0
20000112,GBR,RUS,3.0
20000112,GBR,RUS,1.9
20000112,GBR,RUS,1.9
20000112,GBR,RUS,7.0
20000112,RUS,GBR,1.0
20000112,RUS,GBR,2.8
20000112,GBR,RUS,3.4
20000112,GBR,RUS,0.0
20000113,GBR,RUS,1.0
20000113,GBR,RUS,1.0
20000113,GBR,RUS,1.0
20000113,GBR,RUS,-5.0
20000113,GBR,RUS,6.0
20000113,GBR,RUS,1.0
20000113,GBR,RUS,6.0
20000114,GBR,RUS,3.5
20000114,RUS,GBR,3.5
20000114,GBR,RUS,3.5
20000116,GBR,RUS,1.9
20000116,GBR,RUS,4.0
20000116,GBR,RUS,1.9
20000116,RUS,GBR,2.8
20000116,GBR,RUS,7.0
20000116,GBR,RUS,1.9
20000116,GBR,RUS,1.9
20000116,RUS,GBR,4.0
20000116,GBR,RUS,4.0
20000116,GBR,RUS,1.9
20000116,RUS,GBR,2.8
20000116,RUS,GBR,2.8
20000116,RUS,GBR,2.8
20000116,RUS,GBR,4.0
20000116,RUS,GBR,2.8
20000116,GBR,RUS,4.0
20000116,GBR,RUS,1.9
20000116,GBR,RUS,1.9
20000116,GBR,RUS,1.9
20000116,RUS,GBR,7.0
20000116,RUS,GBR,2.8
20000116,RUS,GBR,4.0
20000116,GBR,RUS,1.9
20000116,GBR,RUS,1.9
20000116,RUS,GBR,2.8
20000117,RUS,GBR,-0.1
20000117,RUS,GBR,0.0
20000117,RUS,GBR,9.0
20000117,RUS,GBR,2.8
20000117,RUS,GBR,0.0
20000117,GBR,RUS,0.0
20000117,GBR,RUS,0.0
20000117,RUS,GBR,9.0
20000117,RUS,GBR,0.0
20000117,GBR,RUS,0.0
20000117,GBR,RUS,1.9
20000118,GBR,RUS,1.9
20000118,RUS,GBR,2.8
20000118,RUS,GBR,4.0
20000118,RUS,GBR,2.8
20000118,RUS,GBR,2.8
20000118,GBR,RUS,1.9
20000118,GBR,RUS,4.0
20000118,GBR,RUS,1.9
20000119,RUS,GBR,1.0
20000119,RUS,GBR,2.8
20000119,GBR,RUS,1.9
20000119,GBR,RUS,1.0
20000119,GBR,RUS,1.0
