SQLDATE,a1,a2,GoldsteinScale
20000107,IND,RUS,3.0
20000113,RUS,IND,4.0
20000113,RUS,IND,4.0
20000114,IND,RUS,1.0
20000114,IND,RUS,1.0
20000114,RUS,IND,1.0
20000114,RUS,IND,1.0
20000114,IND,RUS,1.0
20000114,IND,RUS,-4.4
20000114,RUS,IND,1.0
20000114,IND,RUS,-4.4
20000118,RUS,IND,6.4
20000118,IND,RUS,3.4
20000118,IND,RUS,-4.4
20000118,IND,RUS,6.4
20000125,RUS,IND,3.0
20000125,RUS,IND,3.0
20000202,RUS,IND,-5.0
20000202,RUS,IND,-5.0
20000202,RUS,IND,-5.0
20000203,RUS,IND,0.0
20000203,RUS,IND,0.0
20000207,IND,RUS,3.4
20000210,IND,RUS,-5.0
20000216,RUS,IND,5.0
20000216,RUS,IND,5.0
20000216,RUS,IND,-5.0
20000217,RUS,IND,1.9
20000217,IND,RUS,2.8
20000217,IND,RUS,2.8
20000224,RUS,IND,1.0
20000224,IND,RUS,1.0
20000227,RUS,IND,2.8
20000227,IND,RUS,1.9
20000228,IND,RUS,-10.0
20000228,IND,RUS,-10.0
20000301,IND,RUS,3.4
20000301,IND,RUS,-10.0
20000301,IND,RUS,-0.4
20000301,IND,RUS,3.4
20000301,IND,RUS,-0.4
20000302,RUS,IND,7.0
20000302,IND,RUS,7.0
20000302,IND,RUS,-2.0
20000302,RUS,IND,3.4
20000303,IND,RUS,-5.0
20000303,RUS,IND,-5.0
20000303,RUS,IND,3.0
20000303,RUS,IND,-5.0
20000327,IND,RUS,-4.0
20000327,IND,RUS,3.4
20000327,IND,RUS,3.4
20000328,IND,RUS,3.0
20000331,IND,RUS,7.4
20000331,RUS,IND,7.4
20000331,RUS,IND,7.4
20000331,IND,RUS,7.4
20000406,IND,RUS,4.0
20000406,IND,RUS,0.0
20000421,RUS,IND,1.9
20000421,IND,RUS,2.8
20000423,IND,RUS,3.0
20000424,RUS,IND,2.8
20000424,IND,RUS,3.0
20000424,IND,RUS,1.9
20000425,RUS,IND,4.0
20000425,IND,RUS,4.0
20000426,IND,RUS,2.8
20000426,IND,RUS,4.0
20000426,IND,RUS,2.8
20000426,RUS,IND,1.9
20000426,RUS,IND,1.9
20000426,RUS,IND,1.9
20000426,RUS,IND,4.0
20000426,IND,RUS,2.8
20000427,IND,RUS,1.0
20000427,IND,RUS,1.0
20000427,IND,RUS,2.8
20000427,RUS,IND,1.0
20000427,RUS,IND,1.0
20000427,RUS,IND,1.9
20000427,IND,RUS,1.0
20000428,IND,RUS,8.0
20000428,RUS,IND,4.0
20000428,IND,RUS,1.0
20000428,IND,RUS,8.0
20000428,IND,RUS,8.0
20000428,RUS,IND,8.0
20000428,IND,RUS,1.0
20000428,IND,RUS,8.0
20000428,IND,RUS,-10.0
20000428,IND,RUS,7.0
20000428,IND,RUS,-10.0
20000428,RUS,IND,8.0
20000428,RUS,IND,7.0
20000428,IND,RUS,4.0
20000428,RUS,IND,4.0
20000428,RUS,IND,4.0
20000428,RUS,IND,7.0
20000428,IND,RUS,4.0
20000428,RUS,IND,1.0
20000428,IND,RUS,-10.0
20000428,RUS,IND,4.0
20000428,RUS,IND,4.0
20000428,RUS,IND,1.0
20000428,IND,RUS,-7.0
20000428,RUS,IND,8.0
20000428,IND,RUS,7.0
20000428,RUS,IND,4.0
20000428,RUS,IND,8.0
20000430,IND,RUS,1.9
20000430,RUS,IND,2.8
20000430,RUS,IND,4.0
20000430,IND,RUS,4.0
20000505,IND,RUS,4.0
20000505,RUS,IND,4.0
20000505,IND,RUS,4.0
20000505,RUS,IND,4.0
20000506,IND,RUS,3.4
20000507,IND,RUS,8.0
20000507,RUS,IND,8.0
20000507,RUS,IND,8.0
20000507,IND,RUS,8.0
20000510,IND,RUS,3.0
20000510,IND,RUS,0.4
20000510,RUS,IND,1.0
20000510,IND,RUS,3.0
20000510,IND,RUS,3.0
20000510,IND,RUS,1.0
20000516,RUS,IND,1.0
20000516,IND,RUS,1.0
20000516,IND,RUS,1.0
20000516,RUS,IND,1.0
20000526,IND,RUS,8.0
20000526,RUS,IND,8.0
20000526,IND,RUS,4.0
20000526,IND,RUS,0.0
20000526,IND,RUS,0.0
20000529,RUS,IND,8.0
20000529,IND,RUS,8.0
20000531,IND,RUS,8.0
20000531,RUS,IND,8.0
20000531,RUS,IND,8.0
20000531,IND,RUS,8.0
20000602,RUS,IND,4.0
20000602,IND,RUS,4.0
20000602,IND,RUS,3.0
20000602,IND,RUS,6.4
20000604,RUS,IND,4.0
20000604,RUS,IND,4.0
20000604,IND,RUS,4.0
20000604,RUS,IND,4.0
20000604,IND,RUS,1.9
20000604,RUS,IND,2.8
20000604,IND,RUS,4.0
20000604,RUS,IND,4.0
20000604,IND,RUS,4.0
20000604,IND,RUS,4.0
20000605,RUS,IND,-2.0
20000605,IND,RUS,4.0
20000605,RUS,IND,-2.0
20000605,IND,RUS,2.8
20000605,RUS,IND,1.9
20000606,RUS,IND,6.4
20000606,IND,RUS,2.8
20000606,RUS,IND,1.9
20000607,RUS,IND,1.9
20000607,IND,RUS,2.8
20000607,RUS,IND,1.9
20000612,RUS,IND,2.8
20000612,RUS,IND,2.8
20000612,IND,RUS,1.9
20000612,IND,RUS,1.9
20000616,RUS,IND,7.4
20000616,IND,RUS,7.4
20000616,RUS,IND,7.4
20000616,IND,RUS,7.4
20000617,IND,RUS,1.9
20000617,IND,RUS,1.9
20000617,RUS,IND,2.8
20000618,IND,RUS,1.9
20000618,RUS,IND,2.8
20000619,RUS,IND,1.9
20000619,RUS,IND,8.0
20000619,RUS,IND,4.0
20000619,IND,RUS,8.0
20000619,IND,RUS,4.0
20000619,IND,RUS,3.5
20000619,IND,RUS,3.5
20000619,IND,RUS,2.8
20000620,IND,RUS,4.0
20000620,RUS,IND,4.0
20000621,IND,RUS,1.9
20000621,RUS,IND,2.8
20000621,IND,RUS,1.9
20000621,IND,RUS,2.5
20000621,IND,RUS,1.9
20000621,IND,RUS,4.0
20000621,IND,RUS,4.0
20000621,RUS,IND,2.8
20000621,IND,RUS,4.0
20000621,IND,RUS,2.5
20000621,RUS,IND,2.8
20000621,RUS,IND,2.5
20000621,IND,RUS,4.0
20000621,IND,RUS,4.0
20000621,IND,RUS,4.0
20000621,IND,RUS,1.9
20000621,IND,RUS,1.9
20000621,RUS,IND,2.5
20000621,IND,RUS,2.5
20000621,RUS,IND,4.0
20000621,RUS,IND,4.0
20000621,IND,RUS,4.0
20000621,RUS,IND,2.5
20000621,IND,RUS,2.5
20000621,IND,RUS,1.9
20000621,RUS,IND,2.8
20000621,IND,RUS,1.9
20000621,RUS,IND,4.0
20000621,RUS,IND,4.0
20000621,IND,RUS,4.0
20000622,RUS,IND,1.9
20000622,RUS,IND,7.0
20000622,IND,RUS,7.0
20000622,RUS,IND,7.0
20000622,IND,RUS,7.0
20000622,RUS,IND,7.0
20000622,RUS,IND,1.9
20000622,IND,RUS,2.8
20000622,RUS,IND,7.0
20000622,RUS,IND,1.9
20000622,IND,RUS,2.8
20000622,RUS,IND,1.9
20000622,IND,RUS,2.8
20000622,IND,RUS,2.8
20000622,RUS,IND,7.0
20000623,RUS,IND,2.8
20000623,IND,RUS,1.9
20000623,RUS,IND,3.0
20000623,RUS,IND,1.0
