SQLDATE,a1,a2,GoldsteinScale
20000101,RUS,IRN,7.4
20000101,IRN,RUS,7.4
20000101,IRN,RUS,7.4
20000101,RUS,IRN,7.4
20000101,IRN,RUS,7.4
20000101,RUS,IRN,7.4
20000101,IRN,RUS,6.0
20000102,IRN,RUS,4.0
20000102,IRN,RUS,4.0
20000102,RUS,IRN,4.0
20000102,IRN,RUS,4.0
20000102,IRN,RUS,4.0
20000102,IRN,RUS,3.5
20000102,RUS,IRN,3.5
20000102,RUS,IRN,-5.0
20000102,IRN,RUS,4.0
20000103,RUS,IRN,1.0
20000103,IRN,RUS,1.0
20000103,IRN,RUS,1.0
20000103,RUS,IRN,1.0
20000104,IRN,RUS,1.0
20000104,IRN,RUS,3.4
20000104,RUS,IRN,4.0
20000104,IRN,RUS,3.4
20000104,RUS,IRN,4.0
20000105,IRN,RUS,0.0
20000105,IRN,RUS,0.0
20000105,IRN,RUS,0.0
20000105,IRN,RUS,0.0
20000106,IRN,RUS,6.0
20000106,RUS,IRN,6.0
20000106,IRN,RUS,6.0
20000107,RUS,IRN,6.0
20000107,IRN,RUS,6.0
20000107,IRN,RUS,1.9
20000107,IRN,RUS,1.9
20000107,IRN,RUS,1.9
20000107,RUS,IRN,2.8
20000107,RUS,IRN,2.8
20000107,RUS,IRN,2.8
20000108,IRN,RUS,0.0
20000108,IRN,RUS,0.0
20000110,RUS,IRN,1.9
20000110,RUS,IRN,1.0
20000110,IRN,RUS,1.0
20000110,IRN,RUS,1.0
20000110,RUS,IRN,1.0
20000110,RUS,IRN,8.3
20000110,IRN,RUS,2.8
20000110,RUS,IRN,8.3
20000110,IRN,RUS,1.0
20000110,RUS,IRN,1.0
20000110,RUS,IRN,1.9
20000110,RUS,IRN,1.0
20000110,IRN,RUS,1.0
20000110,IRN,RUS,2.8
20000111,IRN,RUS,2.8
20000111,IRN,RUS,1.0
20000111,IRN,RUS,1.9
20000111,RUS,IRN,1.0
20000111,IRN,RUS,1.0
20000111,IRN,RUS,7.0
20000111,IRN,RUS,1.0
20000111,RUS,IRN,7.0
20000111,IRN,RUS,0.0
20000111,RUS,IRN,3.5
20000111,IRN,RUS,7.0
20000111,RUS,IRN,1.0
20000111,IRN,RUS,0.0
20000111,IRN,RUS,3.5
20000111,RUS,IRN,3.4
20000111,IRN,RUS,1.0
20000111,RUS,IRN,7.0
20000111,RUS,IRN,3.4
20000111,RUS,IRN,1.9
20000111,IRN,RUS,1.9
20000111,RUS,IRN,2.8
20000112,RUS,IRN,3.4
20000112,IRN,RUS,5.0
20000112,RUS,IRN,5.0
20000112,RUS,IRN,1.9
