SQLDATE,a1,a2,GoldsteinScale
20000102,ISR,RUS,3.4
20000102,RUS,ISR,1.9
20000102,ISR,RUS,3.4
20000102,ISR,RUS,2.8
20000102,ISR,RUS,2.8
20000102,ISR,RUS,2.8
20000102,ISR,RUS,0.0
20000102,RUS,ISR,1.9
20000102,RUS,ISR,1.9
20000102,ISR,RUS,2.8
20000102,ISR,RUS,2.8
20000102,RUS,ISR,1.9
20000102,RUS,ISR,1.9
20000102,ISR,RUS,3.4
20000102,ISR,RUS,0.0
20000104,ISR,RUS,4.0
20000104,RUS,ISR,0.0
20000104,RUS,ISR,0.0
20000104,RUS,ISR,5.0
20000104,RUS,ISR,4.0
20000105,RUS,ISR,1.9
20000105,RUS,ISR,1.9
20000105,ISR,RUS,2.8
20000105,RUS,ISR,1.9
20000105,ISR,RUS,2.8
20000105,ISR,RUS,2.8
20000105,RUS,ISR,1.9
20000105,ISR,RUS,2.8
20000105,ISR,RUS,2.8
20000105,ISR,RUS,2.8
20000105,RUS,ISR,1.9
20000105,RUS,ISR,4.0
20000105,RUS,ISR,1.9
20000105,ISR,RUS,2.8
20000105,RUS,ISR,0.0
20000105,ISR,RUS,2.8
20000105,RUS,ISR,1.9
20000105,ISR,RUS,-2.0
20000105,ISR,RUS,4.0
20000105,ISR,RUS,2.8
20000105,RUS,ISR,0.0
20000105,ISR,RUS,2.8
20000105,RUS,ISR,0.0
20000105,ISR,RUS,2.8
20000105,ISR,RUS,2.8
20000105,RUS,ISR,0.0
20000105,ISR,RUS,2.8
20000105,ISR,RUS,2.8
20000105,RUS,ISR,4.0
20000105,RUS,ISR,1.9
20000105,RUS,ISR,1.9
20000105,RUS,ISR,1.9
20000105,ISR,RUS,4.0
20000105,RUS,ISR,1.9
20000105,RUS,ISR,1.9
20000105,RUS,ISR,0.0
20000105,RUS,ISR,1.9
20000105,RUS,ISR,4.0
20000105,RUS,ISR,4.0
20000105,ISR,RUS,2.8
20000105,RUS,ISR,1.9
20000105,RUS,ISR,1.9
20000105,ISR,RUS,2.8
20000105,ISR,RUS,4.0
20000105,RUS,ISR,1.9
20000105,RUS,ISR,4.0
20000105,RUS,ISR,4.0
20000105,ISR,RUS,4.0
20000106,RUS,ISR,0.4
20000106,ISR,RUS,3.5
20000106,ISR,RUS,1.0
20000106,RUS,ISR,-2.0
20000106,ISR,RUS,1.0
20000106,RUS,ISR,1.0
20000106,RUS,ISR,1.9
20000106,RUS,ISR,3.0
20000106,ISR,RUS,4.0
20000106,ISR,RUS,1.0
20000106,ISR,RUS,2.8
20000106,ISR,RUS,3.4
20000106,RUS,ISR,-2.0
20000106,ISR,RUS,5.0
20000106,RUS,ISR,3.4
20000106,RUS,ISR,0.4
20000106,ISR,RUS,2.8
20000106,ISR,RUS,2.8
20000106,ISR,RUS,-2.0
20000106,ISR,RUS,1.0
20000106,RUS,ISR,5.0
20000106,RUS,ISR,1.9
20000106,RUS,ISR,0.0
20000106,RUS,ISR,3.4
20000106,RUS,ISR,4.0
20000106,RUS,ISR,0.4
20000106,RUS,ISR,-7.0
20000106,ISR,RUS,4.0
20000106,ISR,RUS,5.0
20000106,RUS,ISR,4.0
20000106,RUS,ISR,3.0
20000106,ISR,RUS,2.8
20000106,RUS,ISR,0.0
20000106,ISR,RUS,4.0
20000106,RUS,ISR,1.0
20000106,ISR,RUS,2.8
20000106,RUS,ISR,3.4
20000106,RUS,ISR,1.9
20000106,RUS,ISR,4.0
20000106,RUS,ISR,3.0
20000106,ISR,RUS,0.4
20000106,RUS,ISR,3.0
20000106,RUS,ISR,1.9
20000106,RUS,ISR,7.0
20000106,RUS,ISR,4.0
20000106,ISR,RUS,1.9
20000106,ISR,RUS,0.4
20000106,ISR,RUS,3.5
20000106,RUS,ISR,5.0
20000106,ISR,RUS,3.4
20000106,RUS,ISR,4.0
20000106,RUS,ISR,3.4
20000106,RUS,ISR,3.4
20000106,ISR,RUS,-2.0
20000106,RUS,ISR,1.0
20000106,RUS,ISR,1.9
20000106,ISR,RUS,2.8
20000106,ISR,RUS,2.8
20000106,RUS,ISR,-2.0
20000106,ISR,RUS,9.0
20000106,ISR,RUS,2.8
20000106,ISR,RUS,9.0
20000106,ISR,RUS,7.0
20000106,RUS,ISR,3.4
20000106,RUS,ISR,3.4
20000106,RUS,ISR,2.8
20000106,RUS,ISR,1.9
20000106,RUS,ISR,0.0
20000106,RUS,ISR,5.0
20000106,RUS,ISR,1.9
20000106,RUS,ISR,4.0
20000106,RUS,ISR,7.0
20000106,ISR,RUS,-2.0
20000106,ISR,RUS,7.0
20000106,RUS,ISR,3.0
20000106,RUS,ISR,1.9
20000106,ISR,RUS,4.0
20000106,ISR,RUS,3.0
20000106,ISR,RUS,1.0
20000106,RUS,ISR,1.9
20000106,RUS,ISR,1.0
20000106,ISR,RUS,5.0
20000106,RUS,ISR,1.0
20000106,RUS,ISR,1.9
20000106,ISR,RUS,2.8
20000106,ISR,RUS,5.0
20000106,RUS,ISR,0.4
20000107,RUS,ISR,-2.0
20000107,ISR,RUS,7.0
20000107,RUS,ISR,7.0
20000107,ISR,RUS,1.9
20000107,RUS,ISR,-2.0
20000107,RUS,ISR,2.8
20000107,ISR,RUS,1.9
20000107,ISR,RUS,-2.0
20000107,ISR,RUS,7.0
20000107,ISR,RUS,-2.0
20000107,RUS,ISR,2.8
20000107,RUS,ISR,7.0
20000107,ISR,RUS,-2.0
20000107,RUS,ISR,-2.0
20000107,ISR,RUS,1.9
20000107,RUS,ISR,2.8
20000107,RUS,ISR,-2.0
20000107,ISR,RUS,7.0
20000107,ISR,RUS,-2.0
20000108,ISR,RUS,2.8
20000108,RUS,ISR,0.4
20000108,RUS,ISR,1.9
20000108,ISR,RUS,1.9
20000108,RUS,ISR,1.9
20000108,ISR,RUS,2.8
20000108,RUS,ISR,2.8
