SQLDATE,a1,a2,GoldsteinScale
20000103,RUS,PAK,1.9
20000103,PAK,RUS,4.0
20000103,PAK,RUS,2.8
20000104,PAK,RUS,4.0
20000104,RUS,PAK,4.0
20000104,PAK,RUS,7.4
20000105,RUS,PAK,7.4
20000106,PAK,RUS,7.0
20000106,RUS,PAK,7.0
20000106,PAK,RUS,7.0
20000106,RUS,PAK,7.0
20000110,RUS,PAK,8.3
20000110,RUS,PAK,8.3
20000112,PAK,RUS,8.0
20000112,PAK,RUS,8.0
20000114,RUS,PAK,2.8
20000114,PAK,RUS,1.9
20000114,PAK,RUS,1.9
20000114,RUS,PAK,2.8
20000114,RUS,PAK,-5.0
20000114,PAK,RUS,1.9
20000114,PAK,RUS,3.0
20000114,RUS,PAK,2.8
20000114,PAK,RUS,1.9
20000114,PAK,RUS,1.9
20000114,RUS,PAK,2.8
20000115,RUS,PAK,-2.0
20000115,PAK,RUS,3.4
20000115,PAK,RUS,3.4
20000116,RUS,PAK,1.9
20000116,PAK,RUS,2.8
20000116,RUS,PAK,0.0
20000117,RUS,PAK,0.0
20000117,RUS,PAK,0.0
20000117,PAK,RUS,6.0
20000117,PAK,RUS,-5.0
20000117,PAK,RUS,1.9
20000117,RUS,PAK,2.8
20000118,PAK,RUS,-4.0
20000122,PAK,RUS,-8.0
20000124,PAK,RUS,-2.0
20000124,PAK,RUS,1.0
20000124,PAK,RUS,7.0
20000124,RUS,PAK,7.0
20000124,PAK,RUS,-2.0
20000124,RUS,PAK,1.0
20000124,PAK,RUS,-2.0
20000125,RUS,PAK,-2.0
20000125,RUS,PAK,-2.0
20000125,RUS,PAK,-2.0
20000126,RUS,PAK,-2.0
20000126,RUS,PAK,-2.0
20000126,RUS,PAK,-2.0
20000127,RUS,PAK,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,3.4
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,3.4
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,PAK,RUS,-2.0
20000128,RUS,PAK,-2.0
20000128,PAK,RUS,-2.0
