SQLDATE,a1,a2,GoldsteinScale
20000107,SAU,RUS,-2.0
20000107,SAU,RUS,-2.0
20000107,RUS,SAU,2.8
20000107,SAU,RUS,1.9
20000107,SAU,RUS,-2.0
20000107,RUS,SAU,2.8
20000107,SAU,RUS,1.9
20000107,RUS,SAU,2.8
20000107,SAU,RUS,1.9
20000109,SAU,RUS,-5.0
20000109,SAU,RUS,-5.0
20000109,RUS,SAU,7.0
20000113,RUS,SAU,5.0
20000114,RUS,SAU,5.0
20000118,RUS,SAU,1.9
20000118,SAU,RUS,2.8
20000123,SAU,RUS,-2.0
20000123,SAU,RUS,-2.0
20000123,SAU,RUS,-2.0
20000123,SAU,RUS,-2.0
20000123,SAU,RUS,-2.0
20000124,RUS,SAU,4.0
20000124,RUS,SAU,4.0
20000124,SAU,RUS,4.0
20000124,SAU,RUS,4.0
20000126,SAU,RUS,0.0
20000130,SAU,RUS,5.0
20000130,SAU,RUS,5.0
20000130,SAU,RUS,5.0
20000130,SAU,RUS,5.0
20000131,SAU,RUS,-4.0
20000131,SAU,RUS,-4.0
20000131,RUS,SAU,2.8
20000131,SAU,RUS,-5.0
20000131,SAU,RUS,4.0
20000131,SAU,RUS,4.0
20000131,SAU,RUS,-5.0
20000131,SAU,RUS,1.9
20000131,SAU,RUS,4.0
20000131,SAU,RUS,-5.0
20000131,SAU,RUS,4.0
20000201,RUS,SAU,4.0
20000201,RUS,SAU,3.4
20000202,SAU,RUS,3.4
20000208,SAU,RUS,7.0
20000208,SAU,RUS,7.0
20000208,SAU,RUS,0.0
20000208,SAU,RUS,7.0
20000216,SAU,RUS,1.9
20000216,RUS,SAU,2.8
20000216,SAU,RUS,1.9
20000216,SAU,RUS,1.9
20000217,RUS,SAU,4.0
20000217,RUS,SAU,4.0
20000226,SAU,RUS,3.0
20000227,RUS,SAU,2.8
20000227,SAU,RUS,1.9
20000228,SAU,RUS,3.2
20000228,RUS,SAU,2.8
20000228,SAU,RUS,1.9
20000228,SAU,RUS,3.2
20000228,SAU,RUS,3.2
20000228,SAU,RUS,3.2
20000229,SAU,RUS,1.0
20000229,SAU,RUS,7.0
20000229,SAU,RUS,1.9
20000229,RUS,SAU,2.8
20000229,RUS,SAU,9.0
20000229,RUS,SAU,2.8
20000229,SAU,RUS,3.4
20000229,RUS,SAU,1.0
20000303,RUS,SAU,1.9
20000303,RUS,SAU,1.9
20000303,RUS,SAU,1.9
20000303,SAU,RUS,3.4
20000303,RUS,SAU,1.9
20000303,RUS,SAU,0.0
20000303,RUS,SAU,1.0
20000303,RUS,SAU,4.0
20000303,RUS,SAU,4.0
20000303,SAU,RUS,1.0
20000303,SAU,RUS,4.0
20000303,RUS,SAU,3.4
20000303,SAU,RUS,3.4
20000303,SAU,RUS,4.0
20000303,SAU,RUS,3.4
20000303,SAU,RUS,4.0
20000303,SAU,RUS,1.0
20000303,SAU,RUS,2.8
20000303,RUS,SAU,1.9
20000303,SAU,RUS,2.8
20000303,RUS,SAU,1.0
20000303,RUS,SAU,1.0
20000303,RUS,SAU,0.0
20000303,RUS,SAU,3.4
20000303,SAU,RUS,4.0
20000303,SAU,RUS,1.0
20000303,RUS,SAU,0.0
20000303,SAU,RUS,2.8
20000303,RUS,SAU,0.0
20000303,RUS,SAU,4.0
20000303,RUS,SAU,1.0
20000303,RUS,SAU,4.0
20000303,SAU,RUS,1.0
20000303,RUS,SAU,1.0
20000303,RUS,SAU,4.0
20000303,SAU,RUS,2.8
20000303,RUS,SAU,0.0
20000304,RUS,SAU,0.0
20000304,RUS,SAU,0.0
20000304,SAU,RUS,2.8
20000304,SAU,RUS,0.0
20000304,RUS,SAU,0.0
20000304,SAU,RUS,3.5
20000304,RUS,SAU,0.0
20000304,RUS,SAU,0.0
20000304,RUS,SAU,7.0
20000304,SAU,RUS,7.0
20000304,RUS,SAU,3.5
20000304,SAU,RUS,1.0
20000304,RUS,SAU,1.0
20000304,SAU,RUS,0.0
20000304,RUS,SAU,3.5
