SQLDATE,a1,a2,GoldsteinScale
20000101,RUS,TUR,6.0
20000101,TUR,RUS,-0.4
20000101,TUR,RUS,-0.4
20000101,RUS,TUR,6.0
20000101,TUR,RUS,-2.0
20000101,TUR,RUS,-0.4
20000101,TUR,RUS,-0.4
20000101,TUR,RUS,-0.4
20000101,TUR,RUS,-2.0
20000101,TUR,RUS,-0.4
20000102,TUR,RUS,-6.5
20000102,TUR,RUS,-2.0
20000102,TUR,RUS,3.4
20000102,RUS,TUR,6.0
20000102,TUR,RUS,-10.0
20000102,TUR,RUS,-10.0
20000102,RUS,TUR,-10.0
20000102,RUS,TUR,-10.0
20000102,TUR,RUS,-6.5
20000102,TUR,RUS,-10.0
20000102,TUR,RUS,-0.4
20000102,TUR,RUS,-6.5
20000102,RUS,TUR,7.0
20000102,TUR,RUS,-6.5
20000102,TUR,RUS,-2.0
20000102,RUS,TUR,0.0
20000102,TUR,RUS,-6.5
20000102,TUR,RUS,-6.5
20000102,TUR,RUS,-0.4
20000102,TUR,RUS,-0.4
20000102,TUR,RUS,3.4
20000102,TUR,RUS,-6.5
20000102,RUS,TUR,7.0
20000102,RUS,TUR,0.0
20000102,TUR,RUS,-2.0
20000103,TUR,RUS,5.0
20000103,TUR,RUS,-6.5
20000103,TUR,RUS,5.0
20000103,TUR,RUS,5.0
20000103,TUR,RUS,5.0
20000103,TUR,RUS,-6.5
20000103,TUR,RUS,-6.5
20000104,TUR,RUS,3.5
20000104,RUS,TUR,6.0
20000104,TUR,RUS,3.5
20000104,TUR,RUS,-0.4
20000104,TUR,RUS,3.5
20000105,TUR,RUS,4.0
20000105,TUR,RUS,4.0
20000105,TUR,RUS,-6.5
20000105,TUR,RUS,4.0
20000105,TUR,RUS,4.0
20000105,TUR,RUS,4.0
20000106,TUR,RUS,-10.0
20000106,TUR,RUS,-10.0
20000107,RUS,TUR,2.8
20000107,RUS,TUR,2.8
20000107,RUS,TUR,2.8
20000107,TUR,RUS,1.9
20000107,TUR,RUS,1.9
20000107,TUR,RUS,1.9
20000108,TUR,RUS,4.0
20000108,RUS,TUR,3.4
20000108,TUR,RUS,4.0
20000108,TUR,RUS,4.0
20000108,TUR,RUS,4.0
20000108,TUR,RUS,0.0
20000108,TUR,RUS,-9.5
20000108,TUR,RUS,3.4
20000108,TUR,RUS,0.0
20000109,TUR,RUS,2.8
20000109,RUS,TUR,1.9
20000112,TUR,RUS,2.8
20000112,RUS,TUR,1.9
20000112,TUR,RUS,2.8
20000112,RUS,TUR,1.9
20000112,TUR,RUS,3.5
20000112,TUR,RUS,3.5
20000112,RUS,TUR,1.9
20000112,TUR,RUS,2.8
20000112,TUR,RUS,3.5
20000113,TUR,RUS,5.2
20000113,TUR,RUS,5.2
20000113,RUS,TUR,5.0
20000113,RUS,TUR,3.4
20000113,RUS,TUR,3.0
20000113,RUS,TUR,3.0
20000114,TUR,RUS,7.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,7.0
20000114,TUR,RUS,1.9
20000114,TUR,RUS,7.0
20000114,TUR,RUS,7.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,7.0
20000114,TUR,RUS,7.0
20000114,RUS,TUR,3.4
20000114,TUR,RUS,7.0
20000114,TUR,RUS,7.0
20000114,RUS,TUR,1.0
20000114,RUS,TUR,1.0
20000114,RUS,TUR,5.0
20000114,TUR,RUS,1.0
20000114,RUS,TUR,2.8
20000114,TUR,RUS,1.0
20000114,RUS,TUR,1.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,3.4
20000114,TUR,RUS,1.9
20000114,RUS,TUR,1.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,1.0
20000114,TUR,RUS,7.0
20000114,RUS,TUR,2.8
20000114,TUR,RUS,1.9
20000114,TUR,RUS,1.9
20000114,RUS,TUR,2.8
20000114,RUS,TUR,1.0
20000114,RUS,TUR,1.0
20000114,RUS,TUR,1.0
20000114,RUS,TUR,3.4
20000114,RUS,TUR,7.0
20000114,RUS,TUR,1.0
20000114,RUS,TUR,1.0
20000114,TUR,RUS,3.4
20000114,TUR,RUS,5.2
20000114,TUR,RUS,5.2
20000114,TUR,RUS,1.0
20000114,TUR,RUS,3.4
20000114,RUS,TUR,3.4
20000114,RUS,TUR,7.0
20000114,TUR,RUS,7.0
20000114,TUR,RUS,1.9
20000114,TUR,RUS,7.0
20000115,TUR,RUS,3.0
20000115,TUR,RUS,3.0
20000115,RUS,TUR,1.9
20000115,TUR,RUS,3.0
20000115,TUR,RUS,2.8
20000116,RUS,TUR,4.0
20000116,TUR,RUS,4.0
20000116,TUR,RUS,-0.4
20000116,TUR,RUS,2.8
20000116,TUR,RUS,4.0
20000116,TUR,RUS,2.8
20000116,RUS,TUR,1.9
20000116,RUS,TUR,1.9
20000116,RUS,TUR,4.0
20000116,RUS,TUR,7.0
20000116,TUR,RUS,7.0
20000116,RUS,TUR,4.0
20000116,TUR,RUS,2.8
20000116,TUR,RUS,5.0
20000116,TUR,RUS,4.0
20000116,TUR,RUS,4.0
20000116,TUR,RUS,2.8
20000116,TUR,RUS,5.0
20000116,TUR,RUS,4.0
20000116,RUS,TUR,1.9
20000116,TUR,RUS,4.0
20000116,TUR,RUS,-0.4
20000116,RUS,TUR,1.9
20000117,TUR,RUS,2.8
20000117,RUS,TUR,5.0
20000117,TUR,RUS,1.0
20000117,RUS,TUR,4.0
20000117,RUS,TUR,1.9
20000117,TUR,RUS,4.0
20000117,RUS,TUR,1.0
20000117,RUS,TUR,1.9
20000117,TUR,RUS,2.8
20000117,RUS,TUR,1.0
20000118,TUR,RUS,1.0
20000118,RUS,TUR,6.0
20000118,RUS,TUR,6.0
20000118,RUS,TUR,1.0
20000118,RUS,TUR,1.0
20000118,TUR,RUS,4.0
20000118,TUR,RUS,4.0
