SQLDATE,a1,a2,GoldsteinScale
20000102,IRN,SAU,1.9
20000102,IRN,SAU,1.9
20000102,IRN,SAU,2.8
20000102,SAU,IRN,4.0
20000102,SAU,IRN,7.0
20000102,SAU,IRN,1.9
20000102,IRN,SAU,2.8
20000102,IRN,SAU,4.0
20000102,SAU,IRN,1.9
20000102,SAU,IRN,2.8
20000102,IRN,SAU,2.8
20000102,SAU,IRN,1.9
20000102,SAU,IRN,2.8
20000102,IRN,SAU,3.5
20000102,SAU,IRN,2.8
20000102,IRN,SAU,3.5
20000102,IRN,SAU,3.5
20000102,SAU,IRN,1.9
20000102,SAU,IRN,4.0
20000102,IRN,SAU,3.5
20000102,IRN,SAU,1.9
20000102,IRN,SAU,2.8
20000105,IRN,SAU,0.0
20000105,IRN,SAU,0.0
20000106,IRN,SAU,2.8
20000106,SAU,IRN,1.9
20000106,SAU,IRN,2.8
20000106,SAU,IRN,2.8
20000106,SAU,IRN,4.0
20000106,IRN,SAU,1.9
20000106,SAU,IRN,4.0
20000106,SAU,IRN,-5.0
20000106,IRN,SAU,2.8
20000106,IRN,SAU,1.9
20000106,SAU,IRN,1.9
20000106,IRN,SAU,2.8
20000106,SAU,IRN,1.9
20000107,SAU,IRN,5.0
20000107,SAU,IRN,0.4
20000107,SAU,IRN,0.4
20000110,SAU,IRN,1.0
20000110,SAU,IRN,1.0
20000110,IRN,SAU,1.0
20000110,SAU,IRN,1.0
20000110,IRN,SAU,1.0
20000110,IRN,SAU,1.0
20000111,SAU,IRN,-10.0
20000111,IRN,SAU,-10.0
20000114,IRN,SAU,5.0
20000115,SAU,IRN,3.0
20000115,SAU,IRN,3.0
20000117,SAU,IRN,3.5
20000117,IRN,SAU,1.9
20000117,IRN,SAU,1.9
20000117,SAU,IRN,3.5
20000117,SAU,IRN,2.8
20000117,IRN,SAU,7.0
20000117,SAU,IRN,1.0
20000117,IRN,SAU,2.8
20000117,IRN,SAU,3.4
20000117,IRN,SAU,1.0
20000117,SAU,IRN,1.0
20000117,SAU,IRN,7.0
20000117,IRN,SAU,3.5
20000117,IRN,SAU,1.9
20000117,SAU,IRN,2.8
20000117,IRN,SAU,3.5
20000117,IRN,SAU,1.9
20000117,SAU,IRN,3.5
20000117,IRN,SAU,3.5
20000117,IRN,SAU,4.0
20000117,SAU,IRN,2.8
20000117,SAU,IRN,1.0
20000117,IRN,SAU,1.9
20000117,IRN,SAU,1.9
20000117,IRN,SAU,2.8
20000117,SAU,IRN,2.8
20000117,SAU,IRN,2.8
20000117,SAU,IRN,3.5
20000117,SAU,IRN,3.5
20000117,IRN,SAU,1.0
20000117,IRN,SAU,3.4
20000117,SAU,IRN,2.8
20000117,IRN,SAU,1.0
20000117,SAU,IRN,1.0
20000117,SAU,IRN,1.9
20000117,IRN,SAU,1.0
20000117,SAU,IRN,1.9
20000118,SAU,IRN,3.0
20000118,IRN,SAU,3.0
20000118,IRN,SAU,1.9
20000118,IRN,SAU,2.8
20000118,SAU,IRN,1.0
20000118,IRN,SAU,7.0
