SQLDATE,a1,a2,GoldsteinScale
20000102,ISR,SAU,2.8
20000102,SAU,ISR,1.9
20000103,SAU,ISR,1.9
20000103,SAU,ISR,1.9
20000105,SAU,ISR,4.0
20000105,ISR,SAU,0.0
20000105,ISR,SAU,0.0
20000105,ISR,SAU,1.9
20000105,SAU,ISR,4.0
20000105,SAU,ISR,8.0
20000105,ISR,SAU,3.4
20000105,ISR,SAU,1.9
20000105,ISR,SAU,4.0
20000105,ISR,SAU,1.0
20000105,ISR,SAU,3.4
20000105,SAU,ISR,0.0
20000105,SAU,ISR,3.0
20000105,ISR,SAU,4.0
20000105,SAU,ISR,3.4
20000105,SAU,ISR,2.8
20000105,ISR,SAU,8.0
20000105,SAU,ISR,1.0
20000105,ISR,SAU,4.0
20000105,SAU,ISR,4.0
20000105,SAU,ISR,2.8
20000105,ISR,SAU,4.0
20000106,SAU,ISR,3.0
20000106,SAU,ISR,1.0
20000106,ISR,SAU,1.0
20000106,SAU,ISR,3.0
20000106,SAU,ISR,0.0
20000117,SAU,ISR,1.0
20000117,SAU,ISR,1.0
20000122,SAU,ISR,7.0
20000122,SAU,ISR,-0.4
20000122,ISR,SAU,7.0
20000122,SAU,ISR,-0.4
20000123,SAU,ISR,4.0
20000123,ISR,SAU,4.0
20000123,ISR,SAU,4.0
20000123,SAU,ISR,7.4
20000123,SAU,ISR,7.4
20000123,SAU,ISR,4.0
20000124,ISR,SAU,6.4
20000124,ISR,SAU,6.4
20000124,ISR,SAU,6.4
20000124,SAU,ISR,-2.0
20000126,SAU,ISR,0.0
20000126,ISR,SAU,7.0
20000126,SAU,ISR,7.0
20000130,SAU,ISR,0.0
20000130,SAU,ISR,-2.0
20000130,SAU,ISR,-2.0
20000130,SAU,ISR,2.5
20000130,SAU,ISR,-2.0
20000131,SAU,ISR,-4.0
20000131,SAU,ISR,-4.0
20000131,SAU,ISR,-4.0
20000131,SAU,ISR,7.0
20000131,ISR,SAU,7.0
20000201,ISR,SAU,1.0
20000201,SAU,ISR,1.0
20000202,ISR,SAU,0.0
20000202,SAU,ISR,4.0
20000202,SAU,ISR,1.0
20000202,SAU,ISR,1.0
20000202,SAU,ISR,1.0
20000202,ISR,SAU,4.0
20000202,ISR,SAU,1.0
20000202,ISR,SAU,4.0
20000202,ISR,SAU,1.0
20000202,SAU,ISR,4.0
20000202,ISR,SAU,4.0
20000202,SAU,ISR,4.0
20000204,ISR,SAU,-4.0
20000204,ISR,SAU,-4.0
20000205,ISR,SAU,-4.0
20000205,ISR,SAU,-4.0
20000205,ISR,SAU,-4.0
20000206,SAU,ISR,1.0
20000206,SAU,ISR,4.0
20000206,ISR,SAU,7.0
20000206,ISR,SAU,7.0
20000206,SAU,ISR,4.0
20000206,SAU,ISR,7.0
20000206,SAU,ISR,7.0
20000206,SAU,ISR,4.0
20000206,ISR,SAU,1.0
20000207,SAU,ISR,4.0
20000207,SAU,ISR,4.0
20000207,SAU,ISR,4.0
20000207,SAU,ISR,4.0
20000207,SAU,ISR,4.0
20000208,SAU,ISR,-2.0
20000208,SAU,ISR,3.0
20000208,SAU,ISR,-2.0
20000208,SAU,ISR,-2.0
20000208,SAU,ISR,-2.0
20000209,ISR,SAU,-2.0
20000209,ISR,SAU,-2.0
20000209,ISR,SAU,-2.0
20000209,SAU,ISR,-2.0
20000209,SAU,ISR,-2.0
20000210,SAU,ISR,1.0
20000210,ISR,SAU,1.0
20000214,SAU,ISR,-2.0
20000214,SAU,ISR,-2.0
20000214,SAU,ISR,4.0
20000214,ISR,SAU,4.0
20000215,SAU,ISR,1.0
20000215,ISR,SAU,1.0
20000215,SAU,ISR,1.0
20000216,ISR,SAU,1.0
20000216,SAU,ISR,3.0
20000216,SAU,ISR,4.0
20000216,SAU,ISR,4.0
20000216,SAU,ISR,4.0
20000216,SAU,ISR,1.0
20000216,SAU,ISR,1.0
20000216,SAU,ISR,1.9
20000216,SAU,ISR,4.0
20000216,SAU,ISR,4.0
20000216,ISR,SAU,2.8
20000216,SAU,ISR,3.0
20000216,SAU,ISR,1.9
20000216,SAU,ISR,3.0
20000216,ISR,SAU,1.0
20000216,ISR,SAU,2.8
20000216,ISR,SAU,1.0
20000217,ISR,SAU,2.8
20000217,ISR,SAU,2.8
20000217,SAU,ISR,1.9
20000217,SAU,ISR,1.9
20000218,ISR,SAU,8.0
20000218,SAU,ISR,8.0
20000219,SAU,ISR,-10.0
20000219,ISR,SAU,-6.5
20000219,ISR,SAU,-6.5
20000219,ISR,SAU,-10.0
20000219,ISR,SAU,-6.5
20000219,ISR,SAU,-10.0
20000219,SAU,ISR,-10.0
20000219,SAU,ISR,-10.0
