SQLDATE,a1,a2,GoldsteinScale
20000102,TUR,IRN,1.0
20000102,IRN,TUR,1.0
20000102,TUR,IRN,4.0
20000102,TUR,IRN,0.0
20000102,IRN,TUR,4.0
20000102,IRN,TUR,4.0
20000102,TUR,IRN,4.0
20000102,IRN,TUR,4.0
20000102,TUR,IRN,0.0
20000102,TUR,IRN,4.0
20000102,TUR,IRN,1.0
20000102,IRN,TUR,1.0
20000102,TUR,IRN,0.0
20000102,TUR,IRN,4.0
20000102,IRN,TUR,4.0
20000103,IRN,TUR,1.0
20000103,IRN,TUR,1.0
20000103,TUR,IRN,1.9
20000103,TUR,IRN,1.0
20000103,TUR,IRN,4.0
20000103,TUR,IRN,1.0
20000104,TUR,IRN,-5.0
20000105,TUR,IRN,4.0
20000105,IRN,TUR,4.0
20000105,IRN,TUR,4.0
20000105,IRN,TUR,7.0
20000105,IRN,TUR,6.4
20000105,TUR,IRN,7.0
20000105,TUR,IRN,4.0
20000105,IRN,TUR,4.0
20000105,IRN,TUR,6.4
20000105,TUR,IRN,4.0
20000105,IRN,TUR,6.4
20000105,IRN,TUR,7.0
20000105,IRN,TUR,7.0
20000105,TUR,IRN,4.0
20000105,TUR,IRN,7.0
20000105,IRN,TUR,4.0
20000105,IRN,TUR,4.0
20000105,IRN,TUR,-5.0
20000105,TUR,IRN,4.0
20000105,TUR,IRN,7.0
20000106,TUR,IRN,4.0
20000106,TUR,IRN,7.0
20000106,IRN,TUR,7.0
20000106,TUR,IRN,4.0
20000106,TUR,IRN,4.0
20000106,IRN,TUR,7.0
20000106,IRN,TUR,0.0
20000106,TUR,IRN,-5.0
20000106,IRN,TUR,4.0
20000106,TUR,IRN,7.0
20000106,TUR,IRN,7.0
20000106,TUR,IRN,7.0
20000106,IRN,TUR,7.0
20000106,IRN,TUR,0.0
20000106,IRN,TUR,0.0
20000106,IRN,TUR,0.0
20000106,IRN,TUR,7.0
20000107,IRN,TUR,4.0
20000107,IRN,TUR,4.0
20000107,IRN,TUR,8.0
20000107,TUR,IRN,4.0
20000107,TUR,IRN,4.0
20000107,IRN,TUR,8.0
20000107,TUR,IRN,8.0
20000107,TUR,IRN,8.0
20000107,TUR,IRN,8.0
20000107,IRN,TUR,8.0
20000109,TUR,IRN,8.0
20000109,IRN,TUR,8.0
20000109,IRN,TUR,5.2
20000109,IRN,TUR,8.0
20000109,IRN,TUR,5.2
20000109,IRN,TUR,0.0
20000109,IRN,TUR,5.2
20000109,IRN,TUR,5.2
20000109,IRN,TUR,7.0
20000109,IRN,TUR,7.0
20000109,TUR,IRN,8.0
20000109,TUR,IRN,7.0
20000109,TUR,IRN,7.0
20000110,TUR,IRN,1.0
20000110,TUR,IRN,-4.4
20000110,TUR,IRN,1.0
20000110,IRN,TUR,7.0
20000110,TUR,IRN,7.0
20000110,IRN,TUR,1.0
20000110,IRN,TUR,1.0
20000110,TUR,IRN,-4.4
20000110,IRN,TUR,7.0
20000110,IRN,TUR,1.0
20000110,TUR,IRN,1.0
20000110,TUR,IRN,7.0
20000111,TUR,IRN,4.0
20000111,IRN,TUR,8.0
20000111,IRN,TUR,1.0
20000111,TUR,IRN,7.0
20000111,TUR,IRN,-10.0
20000111,TUR,IRN,8.0
20000111,IRN,TUR,3.4
20000111,TUR,IRN,1.9
20000111,IRN,TUR,1.0
20000111,IRN,TUR,2.8
20000111,IRN,TUR,-10.0
20000112,IRN,TUR,-2.0
20000112,TUR,IRN,-10.0
20000112,IRN,TUR,1.0
20000112,TUR,IRN,-5.0
20000112,IRN,TUR,-7.2
20000112,IRN,TUR,4.0
20000112,TUR,IRN,2.8
20000112,IRN,TUR,4.0
20000112,TUR,IRN,0.0
20000112,IRN,TUR,-2.0
20000112,TUR,IRN,-10.0
20000112,TUR,IRN,4.0
20000112,IRN,TUR,1.9
20000112,TUR,IRN,4.0
20000112,IRN,TUR,7.0
20000112,TUR,IRN,-0.3
20000112,IRN,TUR,-7.2
20000112,IRN,TUR,0.0
20000112,TUR,IRN,4.0
20000112,TUR,IRN,0.0
20000112,TUR,IRN,-10.0
20000112,IRN,TUR,-2.0
20000112,IRN,TUR,-10.0
20000112,IRN,TUR,4.0
20000112,TUR,IRN,2.8
20000112,TUR,IRN,-0.3
20000112,TUR,IRN,-10.0
20000112,TUR,IRN,-10.0
20000112,IRN,TUR,4.0
20000112,TUR,IRN,0.0
20000112,IRN,TUR,-10.0
20000112,IRN,TUR,-2.0
20000112,TUR,IRN,1.0
20000112,IRN,TUR,-10.0
20000112,IRN,TUR,-5.0
20000112,IRN,TUR,-2.0
20000112,IRN,TUR,1.9
20000112,TUR,IRN,1.9
20000112,IRN,TUR,1.9
20000112,IRN,TUR,7.0
20000112,IRN,TUR,4.0
20000112,TUR,IRN,-10.0
20000112,TUR,IRN,-5.0
20000112,TUR,IRN,4.0
20000112,IRN,TUR,1.9
20000112,IRN,TUR,-5.0
20000112,TUR,IRN,0.0
20000112,IRN,TUR,-2.0
20000112,TUR,IRN,-10.0
20000112,TUR,IRN,4.0
20000112,TUR,IRN,-2.0
20000112,IRN,TUR,7.0
20000112,TUR,IRN,0.0
20000112,IRN,TUR,4.0
20000112,IRN,TUR,2.8
20000112,TUR,IRN,-10.0
20000112,IRN,TUR,7.0
20000112,IRN,TUR,1.0
20000112,TUR,IRN,-5.0
20000112,IRN,TUR,-2.0
20000112,TUR,IRN,4.0
20000112,TUR,IRN,-2.0
20000112,TUR,IRN,4.0
20000112,TUR,IRN,4.0
20000112,IRN,TUR,4.0
20000112,IRN,TUR,2.8
20000112,IRN,TUR,-10.0
20000112,TUR,IRN,2.8
20000112,TUR,IRN,3.0
20000112,TUR,IRN,1.0
20000112,IRN,TUR,-7.2
20000112,TUR,IRN,1.9
20000113,IRN,TUR,2.8
20000113,TUR,IRN,1.9
20000113,TUR,IRN,3.0
20000114,TUR,IRN,3.0
20000114,TUR,IRN,3.0
20000114,IRN,TUR,3.4
20000114,IRN,TUR,4.0
20000114,TUR,IRN,4.0
20000114,IRN,TUR,5.0
20000114,IRN,TUR,4.0
20000114,TUR,IRN,3.0
20000115,IRN,TUR,-10.0
20000115,IRN,TUR,7.0
20000115,IRN,TUR,4.0
20000115,TUR,IRN,4.0
20000115,IRN,TUR,4.0
20000115,TUR,IRN,3.4
20000115,TUR,IRN,7.0
20000115,TUR,IRN,4.0
20000115,TUR,IRN,7.0
20000115,IRN,TUR,0.0
20000115,TUR,IRN,-0.4
20000115,TUR,IRN,3.4
20000115,IRN,TUR,-2.0
20000115,IRN,TUR,7.0
20000115,TUR,IRN,-0.4
20000115,TUR,IRN,4.0
20000115,IRN,TUR,3.0
20000115,IRN,TUR,3.0
20000115,TUR,IRN,7.4
20000115,TUR,IRN,-4.4
20000115,IRN,TUR,4.0
20000115,IRN,TUR,7.0
20000115,IRN,TUR,-2.0
20000115,TUR,IRN,3.4
20000115,IRN,TUR,-2.0
20000115,TUR,IRN,7.0
20000115,TUR,IRN,-10.0
20000115,TUR,IRN,-10.0
20000116,IRN,TUR,1.9
20000116,IRN,TUR,0.0
20000116,IRN,TUR,1.9
20000116,IRN,TUR,-2.0
20000116,TUR,IRN,2.8
20000116,TUR,IRN,3.4
20000116,TUR,IRN,2.8
20000116,TUR,IRN,3.4
20000116,IRN,TUR,1.9
20000116,TUR,IRN,-2.0
20000116,TUR,IRN,3.4
20000116,IRN,TUR,3.4
20000116,TUR,IRN,-2.0
20000116,IRN,TUR,4.0
20000116,IRN,TUR,7.0
20000116,IRN,TUR,1.9
20000116,IRN,TUR,-2.0
20000116,TUR,IRN,-10.0
20000116,TUR,IRN,2.8
20000116,IRN,TUR,3.4
20000116,IRN,TUR,1.9
20000116,IRN,TUR,3.4
20000116,TUR,IRN,2.8
20000116,IRN,TUR,4.0
20000116,TUR,IRN,-2.0
20000116,TUR,IRN,-10.0
20000116,TUR,IRN,4.0
20000116,IRN,TUR,4.0
20000116,IRN,TUR,-10.0
20000116,TUR,IRN,-2.0
20000116,TUR,IRN,4.0
20000116,IRN,TUR,3.4
20000116,IRN,TUR,-2.0
20000116,TUR,IRN,-2.0
20000116,TUR,IRN,-2.0
20000116,TUR,IRN,3.4
20000116,TUR,IRN,2.8
20000116,IRN,TUR,1.9
20000116,TUR,IRN,-2.0
20000116,IRN,TUR,4.0
20000116,TUR,IRN,5.0
20000116,TUR,IRN,0.0
20000116,IRN,TUR,-5.0
20000116,TUR,IRN,0.0
20000117,TUR,IRN,5.0
20000117,TUR,IRN,1.9
20000117,IRN,TUR,1.9
20000117,TUR,IRN,2.8
20000117,TUR,IRN,8.0
20000117,TUR,IRN,2.8
20000117,IRN,TUR,7.0
20000117,TUR,IRN,-2.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,7.0
20000117,IRN,TUR,2.8
20000117,TUR,IRN,2.8
20000117,TUR,IRN,-4.4
20000117,TUR,IRN,1.9
20000117,IRN,TUR,7.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,0.0
20000117,IRN,TUR,7.0
20000117,IRN,TUR,1.0
20000117,TUR,IRN,7.0
20000117,TUR,IRN,7.0
20000117,IRN,TUR,7.0
20000117,TUR,IRN,7.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,1.0
20000117,IRN,TUR,7.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,4.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,1.9
20000117,TUR,IRN,0.0
20000117,IRN,TUR,7.0
20000117,TUR,IRN,0.0
20000117,TUR,IRN,-0.4
20000117,TUR,IRN,4.0
20000117,TUR,IRN,-5.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,1.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,2.8
20000117,IRN,TUR,3.4
20000117,IRN,TUR,4.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,4.0
20000117,TUR,IRN,-2.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,2.8
20000117,TUR,IRN,-4.4
20000117,IRN,TUR,1.0
20000117,TUR,IRN,2.8
20000117,IRN,TUR,0.0
20000117,TUR,IRN,4.0
20000117,IRN,TUR,2.8
20000117,TUR,IRN,2.8
20000117,TUR,IRN,-5.0
20000117,IRN,TUR,-2.0
20000117,TUR,IRN,7.0
20000117,TUR,IRN,5.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,1.0
20000117,TUR,IRN,1.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,2.8
20000117,TUR,IRN,-2.0
20000117,IRN,TUR,7.0
20000117,TUR,IRN,-2.0
20000117,TUR,IRN,-10.0
20000117,IRN,TUR,1.0
20000117,TUR,IRN,7.0
20000117,TUR,IRN,1.0
20000117,TUR,IRN,2.8
20000117,TUR,IRN,1.9
20000117,TUR,IRN,2.8
20000117,IRN,TUR,7.0
20000117,TUR,IRN,7.0
20000117,TUR,IRN,7.0
20000117,IRN,TUR,1.9
20000117,TUR,IRN,2.8
20000117,IRN,TUR,1.9
20000117,IRN,TUR,1.9
20000117,IRN,TUR,7.0
20000117,TUR,IRN,8.0
20000117,TUR,IRN,2.8
20000117,IRN,TUR,-7.2
20000117,TUR,IRN,2.8
20000117,IRN,TUR,1.9
20000117,IRN,TUR,1.9
20000117,TUR,IRN,-0.4
20000117,IRN,TUR,7.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,0.0
20000117,IRN,TUR,7.0
20000117,IRN,TUR,2.8
20000117,IRN,TUR,0.0
20000117,TUR,IRN,-5.0
20000117,TUR,IRN,2.8
20000117,IRN,TUR,-2.0
20000117,IRN,TUR,1.9
20000117,IRN,TUR,-2.0
20000117,TUR,IRN,0.0
20000117,TUR,IRN,1.0
20000117,TUR,IRN,1.9
20000117,TUR,IRN,-2.0
