SQLDATE,a1,a2,GoldsteinScale
20000103,TUR,ISR,-5.0
20000103,TUR,ISR,-5.0
20000103,TUR,ISR,1.0
20000103,ISR,TUR,1.0
20000103,ISR,TUR,1.0
20000103,TUR,ISR,3.4
20000103,ISR,TUR,4.0
20000103,TUR,ISR,3.4
20000103,ISR,TUR,4.0
20000103,TUR,ISR,1.0
20000103,TUR,ISR,-5.0
20000103,ISR,TUR,1.0
20000103,ISR,TUR,1.0
20000104,ISR,TUR,3.0
20000104,TUR,ISR,0.0
20000104,TUR,ISR,1.9
20000104,ISR,TUR,5.2
20000104,ISR,TUR,5.2
20000104,TUR,ISR,1.9
20000104,ISR,TUR,2.8
20000104,TUR,ISR,0.0
20000104,ISR,TUR,5.2
20000104,TUR,ISR,5.2
20000104,TUR,ISR,5.2
20000104,TUR,ISR,3.4
20000104,ISR,TUR,3.0
20000104,ISR,TUR,2.8
20000104,TUR,ISR,5.2
20000105,ISR,TUR,-4.0
20000105,ISR,TUR,-4.0
20000105,ISR,TUR,-4.0
20000105,ISR,TUR,-4.4
20000105,ISR,TUR,4.0
20000105,ISR,TUR,4.0
20000105,ISR,TUR,-4.4
20000105,ISR,TUR,4.0
20000105,ISR,TUR,4.0
20000107,TUR,ISR,3.0
20000107,TUR,ISR,7.0
20000107,TUR,ISR,7.0
20000107,ISR,TUR,7.0
20000107,TUR,ISR,9.0
20000107,ISR,TUR,7.0
20000107,TUR,ISR,3.0
20000109,TUR,ISR,-2.0
20000114,TUR,ISR,1.0
20000116,ISR,TUR,1.9
20000116,TUR,ISR,2.8
20000116,ISR,TUR,0.0
20000116,ISR,TUR,0.0
20000116,TUR,ISR,2.8
20000116,ISR,TUR,1.9
20000116,ISR,TUR,0.0
20000117,TUR,ISR,-2.0
20000117,TUR,ISR,-0.4
20000117,ISR,TUR,6.4
20000117,TUR,ISR,4.0
20000117,TUR,ISR,2.8
20000117,TUR,ISR,-0.4
20000117,TUR,ISR,4.0
20000117,TUR,ISR,-2.0
20000117,TUR,ISR,6.4
20000117,ISR,TUR,6.4
20000117,TUR,ISR,6.4
20000117,ISR,TUR,7.0
20000117,TUR,ISR,4.0
20000117,TUR,ISR,4.0
20000117,TUR,ISR,6.4
20000117,ISR,TUR,7.0
20000117,TUR,ISR,6.4
20000117,ISR,TUR,7.0
20000117,ISR,TUR,1.9
20000117,TUR,ISR,4.0
20000117,TUR,ISR,1.9
20000117,ISR,TUR,7.0
20000117,ISR,TUR,2.8
20000117,TUR,ISR,5.2
20000117,TUR,ISR,5.2
20000117,TUR,ISR,1.9
20000117,TUR,ISR,4.0
20000117,ISR,TUR,1.9
20000117,TUR,ISR,6.4
20000117,TUR,ISR,2.8
20000117,TUR,ISR,4.0
20000117,TUR,ISR,7.0
20000117,TUR,ISR,5.2
20000117,ISR,TUR,2.8
20000117,ISR,TUR,6.4
20000117,TUR,ISR,7.0
20000118,TUR,ISR,-0.4
20000118,TUR,ISR,-5.0
20000118,ISR,TUR,4.0
20000118,ISR,TUR,4.0
20000118,TUR,ISR,1.9
20000118,TUR,ISR,-2.0
20000118,ISR,TUR,2.8
20000118,TUR,ISR,-0.4
20000118,ISR,TUR,2.8
20000118,TUR,ISR,1.9
20000118,TUR,ISR,-0.4
