SQLDATE,a1,a2,GoldsteinScale
20000102,SAU,TUR,-10.0
20000103,TUR,SAU,-10.0
20000103,SAU,TUR,-0.3
20000103,TUR,SAU,0.0
20000103,TUR,SAU,4.0
20000103,SAU,TUR,1.0
20000103,TUR,SAU,-2.0
20000103,TUR,SAU,-10.0
20000103,SAU,TUR,-0.3
20000103,TUR,SAU,1.0
20000103,TUR,SAU,-2.0
20000103,TUR,SAU,0.0
20000103,SAU,TUR,1.0
20000103,TUR,SAU,1.9
20000103,TUR,SAU,1.0
20000104,SAU,TUR,-5.0
20000104,SAU,TUR,3.0
20000105,SAU,TUR,-2.0
20000105,TUR,SAU,-5.0
20000105,TUR,SAU,-5.0
20000105,TUR,SAU,-5.0
20000105,TUR,SAU,-5.0
20000105,TUR,SAU,-5.0
20000105,TUR,SAU,-5.0
20000106,TUR,SAU,3.0
20000106,SAU,TUR,3.0
20000106,TUR,SAU,1.9
20000106,TUR,SAU,2.5
20000106,TUR,SAU,3.0
20000106,SAU,TUR,1.0
20000106,TUR,SAU,1.9
20000106,SAU,TUR,-5.0
20000106,SAU,TUR,2.8
20000106,SAU,TUR,2.5
20000106,TUR,SAU,3.0
20000106,TUR,SAU,1.0
20000106,SAU,TUR,2.8
20000106,TUR,SAU,-4.4
20000107,SAU,TUR,-4.4
20000107,SAU,TUR,4.0
20000107,TUR,SAU,9.0
20000107,SAU,TUR,-5.0
20000107,SAU,TUR,0.0
20000107,SAU,TUR,-5.0
20000107,TUR,SAU,3.0
20000107,SAU,TUR,0.0
20000107,TUR,SAU,9.0
20000107,SAU,TUR,-5.0
20000107,SAU,TUR,9.0
20000107,TUR,SAU,5.0
20000107,TUR,SAU,4.0
20000107,SAU,TUR,8.3
20000107,SAU,TUR,-4.4
20000107,TUR,SAU,3.0
20000107,SAU,TUR,0.0
20000108,SAU,TUR,0.0
20000108,TUR,SAU,4.0
20000108,TUR,SAU,5.0
20000108,SAU,TUR,4.0
20000108,SAU,TUR,-5.0
20000109,SAU,TUR,-5.0
20000109,SAU,TUR,4.0
20000109,TUR,SAU,-5.0
20000109,TUR,SAU,4.0
20000109,TUR,SAU,-5.0
20000109,TUR,SAU,-10.0
20000109,SAU,TUR,-10.0
20000109,TUR,SAU,0.0
20000110,SAU,TUR,-5.0
20000110,SAU,TUR,-5.0
20000110,TUR,SAU,5.0
20000110,TUR,SAU,5.0
20000111,TUR,SAU,3.4
20000111,SAU,TUR,3.0
20000111,SAU,TUR,5.0
20000111,SAU,TUR,-2.0
20000111,SAU,TUR,-10.0
20000111,TUR,SAU,3.0
20000111,SAU,TUR,3.4
20000111,SAU,TUR,-0.3
20000111,SAU,TUR,3.4
20000111,TUR,SAU,3.0
20000111,TUR,SAU,-10.0
20000111,SAU,TUR,-2.0
20000111,SAU,TUR,-0.3
20000111,SAU,TUR,-2.0
20000111,SAU,TUR,5.0
20000111,TUR,SAU,-2.0
20000111,SAU,TUR,-5.0
20000112,TUR,SAU,3.0
20000112,SAU,TUR,-5.0
20000112,TUR,SAU,1.9
20000112,SAU,TUR,-5.0
20000112,SAU,TUR,-2.0
20000112,TUR,SAU,1.9
20000112,TUR,SAU,-10.0
20000112,TUR,SAU,3.0
20000112,TUR,SAU,-4.0
20000112,SAU,TUR,10.0
20000112,TUR,SAU,-4.0
20000112,TUR,SAU,-2.0
20000112,TUR,SAU,-5.0
20000112,TUR,SAU,-2.0
20000112,SAU,TUR,9.0
20000112,TUR,SAU,4.0
20000112,TUR,SAU,-2.0
20000112,SAU,TUR,-5.0
20000112,TUR,SAU,3.4
20000112,TUR,SAU,3.4
20000112,SAU,TUR,-5.0
20000112,SAU,TUR,-10.0
20000112,SAU,TUR,9.0
20000112,TUR,SAU,3.0
20000112,TUR,SAU,-2.0
20000113,TUR,SAU,-5.0
20000113,SAU,TUR,3.0
20000113,TUR,SAU,1.9
20000113,TUR,SAU,7.0
20000113,SAU,TUR,-2.0
20000113,SAU,TUR,-2.0
20000113,TUR,SAU,-5.0
20000113,TUR,SAU,-5.0
20000113,SAU,TUR,-2.0
20000113,SAU,TUR,-9.0
20000113,SAU,TUR,-2.0
20000113,TUR,SAU,2.8
20000113,SAU,TUR,9.0
20000113,SAU,TUR,3.4
20000113,SAU,TUR,0.0
20000113,TUR,SAU,1.9
20000113,SAU,TUR,1.9
20000113,TUR,SAU,3.4
20000113,TUR,SAU,-5.0
