SQLDATE,a1,a2,GoldsteinScale
20000101,GBR,USA,-4.0
20000101,GBR,USA,6.0
20000101,USA,GBR,6.0
20000101,USA,GBR,3.4
20000101,USA,GBR,3.4
20000101,GBR,USA,6.0
20000101,USA,GBR,6.0
20000101,GBR,USA,0.0
20000102,GBR,USA,-0.1
20000102,GBR,USA,8.0
20000102,USA,GBR,8.0
20000102,GBR,USA,8.0
20000102,GBR,USA,-0.1
20000102,GBR,USA,-5.6
20000102,USA,GBR,8.0
20000103,GBR,USA,1.9
20000103,USA,GBR,2.8
20000103,GBR,USA,-9.2
20000103,GBR,USA,1.0
20000103,USA,GBR,2.8
20000103,GBR,USA,1.9
20000103,USA,GBR,1.0
20000103,GBR,USA,-4.0
20000103,USA,GBR,-5.0
20000103,GBR,USA,-4.0
20000104,USA,GBR,-5.0
20000104,GBR,USA,2.8
20000104,GBR,USA,0.0
20000104,USA,GBR,1.0
20000104,USA,GBR,1.9
20000104,USA,GBR,1.0
20000104,USA,GBR,-5.0
20000104,GBR,USA,0.0
20000104,USA,GBR,-5.0
20000104,USA,GBR,-5.0
20000104,GBR,USA,3.0
20000104,USA,GBR,1.9
20000104,USA,GBR,1.0
20000104,GBR,USA,-2.0
20000104,USA,GBR,1.9
20000104,GBR,USA,1.0
20000104,USA,GBR,-5.0
20000104,GBR,USA,2.8
20000104,GBR,USA,1.0
20000104,GBR,USA,-2.0
20000104,GBR,USA,1.0
20000104,GBR,USA,2.8
20000104,USA,GBR,-0.3
20000105,GBR,USA,-0.4
20000105,GBR,USA,1.0
20000105,GBR,USA,-0.4
20000105,GBR,USA,-0.4
20000105,USA,GBR,-10.0
20000105,USA,GBR,-2.0
20000105,GBR,USA,-9.0
20000105,USA,GBR,1.0
20000105,USA,GBR,-2.0
20000105,GBR,USA,-9.0
20000105,USA,GBR,-2.0
20000105,USA,GBR,-9.2
20000105,USA,GBR,1.0
20000105,GBR,USA,-9.0
20000105,GBR,USA,-9.0
20000105,GBR,USA,0.4
20000105,GBR,USA,1.0
20000105,GBR,USA,0.4
20000105,USA,GBR,-0.4
20000105,USA,GBR,1.0
20000105,GBR,USA,1.0
20000106,USA,GBR,3.0
20000106,USA,GBR,-2.0
20000106,USA,GBR,3.0
20000106,USA,GBR,-5.0
20000106,USA,GBR,-5.0
20000107,GBR,USA,-10.0
20000107,USA,GBR,-10.0
20000107,USA,GBR,-10.0
20000107,USA,GBR,3.4
20000107,GBR,USA,-10.0
20000108,GBR,USA,7.0
20000108,GBR,USA,3.5
20000108,GBR,USA,-2.0
20000108,USA,GBR,3.8
20000108,GBR,USA,-2.0
20000108,GBR,USA,3.5
20000108,GBR,USA,3.5
20000109,GBR,USA,4.0
20000109,USA,GBR,-6.5
20000109,USA,GBR,-9.0
20000109,USA,GBR,4.0
20000109,GBR,USA,4.0
20000109,USA,GBR,-6.5
20000109,GBR,USA,5.0
20000109,GBR,USA,4.0
20000109,GBR,USA,5.0
20000109,GBR,USA,-5.0
20000109,GBR,USA,4.0
20000109,USA,GBR,-6.5
20000109,USA,GBR,4.0
20000109,USA,GBR,4.0
20000109,USA,GBR,7.4
20000109,USA,GBR,4.0
20000110,USA,GBR,8.0
20000110,GBR,USA,-2.0
20000110,GBR,USA,4.0
20000110,USA,GBR,2.8
20000110,GBR,USA,4.0
20000110,USA,GBR,2.8
20000110,USA,GBR,-2.0
20000110,GBR,USA,1.9
20000110,GBR,USA,8.0
20000110,USA,GBR,4.0
20000110,USA,GBR,-2.0
20000110,USA,GBR,8.0
20000110,USA,GBR,4.0
20000110,USA,GBR,5.0
20000110,GBR,USA,1.9
20000110,GBR,USA,-2.0
20000110,USA,GBR,-2.0
20000110,GBR,USA,8.0
20000111,GBR,USA,4.0
20000111,GBR,USA,4.0
20000111,USA,GBR,1.0
20000111,GBR,USA,8.0
20000111,USA,GBR,3.4
20000111,USA,GBR,8.0
20000111,USA,GBR,8.0
20000111,USA,GBR,3.5
20000111,GBR,USA,3.4
20000111,USA,GBR,1.0
20000111,USA,GBR,8.0
20000111,GBR,USA,8.0
20000111,GBR,USA,-5.0
20000111,GBR,USA,1.0
20000111,USA,GBR,-7.0
20000111,USA,GBR,1.0
20000111,USA,GBR,0.0
20000111,GBR,USA,3.4
20000111,GBR,USA,1.0
20000111,GBR,USA,1.0
20000111,USA,GBR,-7.0
20000111,GBR,USA,1.0
20000111,USA,GBR,3.4
20000111,GBR,USA,3.5
20000111,USA,GBR,8.0
20000111,USA,GBR,1.0
20000111,USA,GBR,3.4
20000111,USA,GBR,7.0
20000111,GBR,USA,8.0
20000111,GBR,USA,-5.0
20000111,GBR,USA,8.0
20000111,GBR,USA,1.0
20000111,GBR,USA,7.0
20000111,GBR,USA,1.0
20000111,GBR,USA,1.0
20000111,USA,GBR,1.0
20000112,GBR,USA,1.0
20000112,USA,GBR,8.0
20000112,USA,GBR,-10.0
20000112,GBR,USA,-2.0
20000112,USA,GBR,1.0
20000112,GBR,USA,7.0
20000112,USA,GBR,-5.0
20000112,GBR,USA,0.0
20000112,GBR,USA,2.8
20000112,USA,GBR,-4.0
20000112,USA,GBR,8.0
20000112,GBR,USA,8.0
20000112,GBR,USA,2.8
20000112,USA,GBR,1.0
20000112,USA,GBR,1.9
20000112,USA,GBR,-4.0
20000112,USA,GBR,8.0
20000112,USA,GBR,0.0
20000112,USA,GBR,1.0
20000112,USA,GBR,-4.0
20000112,USA,GBR,-10.0
20000112,GBR,USA,8.0
20000112,USA,GBR,1.0
20000112,USA,GBR,-4.0
20000112,GBR,USA,1.0
20000112,USA,GBR,1.9
20000112,GBR,USA,-4.0
20000112,USA,GBR,-4.0
20000112,USA,GBR,1.0
20000112,USA,GBR,1.0
20000112,GBR,USA,8.0
20000112,USA,GBR,1.9
20000112,USA,GBR,-5.0
20000112,USA,GBR,-5.0
20000112,GBR,USA,1.0
20000112,GBR,USA,-10.0
20000112,USA,GBR,-10.0
20000112,GBR,USA,1.0
20000112,GBR,USA,2.8
20000112,USA,GBR,-10.0
20000112,GBR,USA,8.0
20000112,USA,GBR,0.0
20000112,USA,GBR,-5.0
20000112,USA,GBR,-4.0
20000112,USA,GBR,1.0
20000112,USA,GBR,7.0
20000112,GBR,USA,-10.0
20000112,USA,GBR,1.0
20000112,GBR,USA,0.0
20000112,USA,GBR,-5.0
20000112,USA,GBR,1.0
20000112,USA,GBR,8.0
20000112,GBR,USA,1.0
20000112,GBR,USA,1.0
20000113,USA,GBR,1.9
20000113,USA,GBR,6.4
20000113,GBR,USA,3.0
20000113,GBR,USA,7.0
20000113,GBR,USA,7.0
20000113,GBR,USA,2.8
20000113,USA,GBR,1.0
20000113,GBR,USA,1.0
20000113,USA,GBR,7.0
20000113,USA,GBR,-5.0
20000113,USA,GBR,7.0
20000113,GBR,USA,7.0
20000113,GBR,USA,2.8
20000113,USA,GBR,7.0
20000113,USA,GBR,-5.0
20000113,USA,GBR,1.9
20000113,GBR,USA,1.0
20000113,USA,GBR,1.9
20000113,GBR,USA,1.0
20000113,USA,GBR,0.0
20000113,GBR,USA,2.8
20000113,GBR,USA,0.0
20000114,GBR,USA,4.0
20000114,USA,GBR,4.0
20000114,GBR,USA,3.0
20000114,USA,GBR,-5.0
20000114,USA,GBR,4.0
20000114,GBR,USA,4.0
20000114,USA,GBR,-5.0
20000114,USA,GBR,-5.0
20000114,USA,GBR,-4.0
20000114,GBR,USA,4.0
20000114,USA,GBR,-4.0
20000114,GBR,USA,-5.0
20000114,USA,GBR,0.0
20000114,GBR,USA,3.0
20000114,USA,GBR,0.0
20000114,USA,GBR,4.0
20000114,USA,GBR,4.0
20000114,GBR,USA,4.0
20000114,GBR,USA,-5.0
20000114,USA,GBR,-5.0
20000114,USA,GBR,4.0
20000114,GBR,USA,4.0
20000115,USA,GBR,-7.0
20000115,GBR,USA,0.0
20000115,USA,GBR,-10.0
20000115,USA,GBR,-10.0
20000115,USA,GBR,-5.0
20000115,USA,GBR,-7.2
20000115,GBR,USA,7.0
20000115,GBR,USA,3.0
20000115,USA,GBR,-5.0
20000115,GBR,USA,7.0
20000115,USA,GBR,-7.0
20000115,USA,GBR,7.0
20000115,USA,GBR,7.0
20000115,USA,GBR,-7.2
20000116,GBR,USA,3.0
20000116,GBR,USA,-5.0
20000116,GBR,USA,-5.0
20000116,GBR,USA,-5.0
20000116,USA,GBR,4.0
20000116,USA,GBR,3.4
20000116,GBR,USA,2.8
20000116,USA,GBR,3.4
20000116,USA,GBR,1.9
20000117,GBR,USA,4.0
20000117,USA,GBR,0.0
20000117,GBR,USA,1.9
20000117,GBR,USA,4.0
20000117,GBR,USA,6.4
20000117,USA,GBR,2.8
20000117,GBR,USA,1.9
20000117,GBR,USA,4.0
20000117,GBR,USA,1.9
20000117,GBR,USA,6.4
20000117,USA,GBR,0.0
20000118,USA,GBR,2.8
20000118,GBR,USA,1.0
20000118,USA,GBR,1.0
20000118,USA,GBR,7.0
20000118,GBR,USA,2.8
20000118,USA,GBR,-2.0
20000118,USA,GBR,2.8
20000118,GBR,USA,2.8
20000118,GBR,USA,2.8
20000118,GBR,USA,-4.0
20000118,USA,GBR,1.9
20000118,GBR,USA,2.8
20000118,USA,GBR,1.9
20000118,GBR,USA,-4.0
20000118,USA,GBR,1.0
20000118,GBR,USA,-4.0
20000118,USA,GBR,1.0
20000118,USA,GBR,1.9
20000118,USA,GBR,1.9
20000118,GBR,USA,1.0
20000118,GBR,USA,1.9
20000118,GBR,USA,4.0
20000118,GBR,USA,1.0
20000118,USA,GBR,-10.0
20000118,GBR,USA,4.0
20000118,USA,GBR,0.4
20000118,USA,GBR,7.0
20000118,GBR,USA,1.9
20000118,GBR,USA,-4.0
20000118,USA,GBR,-10.0
20000118,GBR,USA,-4.0
20000118,USA,GBR,1.9
20000118,GBR,USA,2.8
20000119,USA,GBR,1.9
20000119,USA,GBR,1.9
20000119,GBR,USA,1.0
20000119,USA,GBR,1.0
20000119,USA,GBR,1.9
20000119,GBR,USA,1.0
20000119,GBR,USA,8.0
20000119,GBR,USA,2.8
20000119,GBR,USA,8.0
20000119,USA,GBR,1.0
20000119,USA,GBR,1.0
20000119,GBR,USA,8.0
20000119,USA,GBR,1.9
20000119,GBR,USA,3.0
20000119,GBR,USA,1.0
20000119,USA,GBR,7.4
20000119,USA,GBR,1.0
20000119,GBR,USA,1.0
20000119,GBR,USA,2.8
20000119,USA,GBR,1.9
20000119,GBR,USA,2.8
20000119,USA,GBR,1.0
20000119,USA,GBR,1.9
20000119,GBR,USA,2.8
20000119,GBR,USA,2.8
20000119,USA,GBR,7.4
20000119,USA,GBR,0.0
20000120,GBR,USA,3.5
20000120,USA,GBR,1.9
20000120,USA,GBR,8.0
20000120,GBR,USA,8.0
20000120,GBR,USA,3.0
20000120,USA,GBR,7.4
20000120,GBR,USA,3.5
20000120,USA,GBR,3.4
20000120,GBR,USA,-2.0
20000120,GBR,USA,2.8
20000120,USA,GBR,3.5
20000120,USA,GBR,1.9
20000120,USA,GBR,3.5
20000120,GBR,USA,3.0
20000120,USA,GBR,3.5
20000120,GBR,USA,3.0
20000120,USA,GBR,3.5
20000120,USA,GBR,8.0
20000120,USA,GBR,1.9
20000120,GBR,USA,3.0
20000120,USA,GBR,7.4
20000120,USA,GBR,-10.0
20000120,USA,GBR,1.9
20000120,USA,GBR,1.9
20000120,GBR,USA,-10.0
20000120,USA,GBR,-5.0
20000120,GBR,USA,3.0
20000120,GBR,USA,1.9
20000120,USA,GBR,7.4
20000120,GBR,USA,3.5
20000120,GBR,USA,3.0
20000120,GBR,USA,4.0
20000120,GBR,USA,2.8
20000120,GBR,USA,-5.0
