SQLDATE,a1,a2,GoldsteinScale
20000102,IND,USA,2.8
20000102,USA,IND,3.5
20000102,USA,IND,3.5
20000102,USA,IND,1.9
20000102,USA,IND,3.5
20000102,USA,IND,1.9
20000102,IND,USA,2.8
20000103,IND,USA,3.0
20000103,IND,USA,3.0
20000103,IND,USA,3.0
20000103,IND,USA,3.0
20000103,IND,USA,3.0
20000104,USA,IND,7.0
20000104,IND,USA,6.0
20000104,IND,USA,7.0
20000105,IND,USA,-2.0
20000105,IND,USA,-2.0
20000105,IND,USA,-2.0
20000107,IND,USA,3.5
20000107,USA,IND,3.5
20000110,IND,USA,0.0
20000110,IND,USA,0.0
20000110,USA,IND,0.0
20000111,IND,USA,1.9
20000111,USA,IND,2.8
20000111,IND,USA,0.0
20000111,IND,USA,0.0
20000111,IND,USA,0.0
20000112,USA,IND,4.0
20000112,USA,IND,0.0
20000112,USA,IND,0.0
20000114,IND,USA,2.8
20000114,IND,USA,-4.4
20000114,IND,USA,-4.4
20000114,USA,IND,1.9
20000114,IND,USA,2.8
20000114,IND,USA,2.8
20000114,USA,IND,1.9
20000114,USA,IND,1.9
20000115,USA,IND,-0.4
20000115,USA,IND,-4.0
20000115,USA,IND,-0.4
20000115,USA,IND,-4.0
20000115,USA,IND,-4.0
20000117,IND,USA,7.0
20000117,IND,USA,2.8
20000117,IND,USA,0.0
20000117,IND,USA,7.0
20000117,USA,IND,1.9
20000117,USA,IND,1.9
20000117,IND,USA,0.0
20000117,USA,IND,7.0
20000118,USA,IND,7.0
20000118,IND,USA,2.8
20000118,IND,USA,-4.4
20000118,USA,IND,-7.0
20000118,IND,USA,3.0
20000118,USA,IND,7.0
20000118,USA,IND,1.9
20000118,USA,IND,7.0
20000118,IND,USA,7.0
20000118,USA,IND,4.0
20000118,IND,USA,7.0
20000118,IND,USA,7.0
20000118,USA,IND,7.0
20000118,IND,USA,7.0
20000119,USA,IND,4.5
20000119,IND,USA,2.8
20000119,USA,IND,4.0
20000119,USA,IND,4.0
20000119,USA,IND,1.9
20000119,IND,USA,2.8
20000119,IND,USA,7.0
20000119,USA,IND,4.0
20000119,USA,IND,0.4
20000119,USA,IND,1.9
20000119,IND,USA,-2.0
20000121,IND,USA,7.0
20000121,USA,IND,7.0
20000121,IND,USA,7.0
20000121,IND,USA,7.0
20000121,USA,IND,5.0
20000121,USA,IND,7.0
20000121,USA,IND,0.0
20000121,IND,USA,7.0
20000121,IND,USA,7.0
20000121,IND,USA,7.0
20000121,IND,USA,2.8
20000121,USA,IND,1.9
20000122,IND,USA,0.0
20000122,IND,USA,0.0
20000122,USA,IND,-4.0
20000122,USA,IND,0.0
20000122,IND,USA,0.0
20000122,USA,IND,-4.0
20000122,USA,IND,1.9
20000122,USA,IND,-4.0
20000122,USA,IND,-4.0
20000122,IND,USA,2.8
20000122,USA,IND,5.0
20000124,IND,USA,9.0
20000124,IND,USA,5.0
20000124,IND,USA,2.8
20000124,IND,USA,5.0
20000124,IND,USA,9.0
20000124,USA,IND,1.9
20000125,IND,USA,3.0
20000125,IND,USA,3.0
20000126,IND,USA,4.0
20000126,IND,USA,4.0
20000127,IND,USA,4.0
20000127,IND,USA,-6.5
20000127,USA,IND,4.0
20000129,USA,IND,4.0
20000129,USA,IND,4.0
20000130,USA,IND,0.0
20000130,USA,IND,0.0
20000130,IND,USA,7.0
