SQLDATE,a1,a2,GoldsteinScale
20000101,USA,IRN,0.0
20000101,USA,IRN,0.0
20000101,USA,IRN,0.0
20000103,IRN,USA,6.4
20000104,IRN,USA,-2.0
20000104,IRN,USA,-5.0
20000104,USA,IRN,0.0
20000104,USA,IRN,0.0
20000104,IRN,USA,-2.0
20000104,USA,IRN,1.9
20000104,IRN,USA,-2.0
20000104,IRN,USA,2.8
20000104,USA,IRN,0.0
20000104,IRN,USA,-5.0
20000104,USA,IRN,1.9
20000104,USA,IRN,0.0
20000104,IRN,USA,-2.0
20000104,IRN,USA,2.8
20000104,IRN,USA,-5.0
20000104,IRN,USA,-5.0
20000105,IRN,USA,6.0
20000105,USA,IRN,-8.0
20000105,USA,IRN,-8.0
20000105,IRN,USA,3.4
20000106,USA,IRN,3.4
20000106,USA,IRN,3.4
20000108,IRN,USA,-2.0
20000108,IRN,USA,-2.0
20000108,IRN,USA,-2.0
20000108,IRN,USA,-2.0
20000108,IRN,USA,-2.0
20000109,IRN,USA,4.0
20000110,USA,IRN,-8.0
20000110,IRN,USA,-7.0
20000110,IRN,USA,-7.0
20000110,IRN,USA,-7.0
20000110,USA,IRN,-4.0
20000110,USA,IRN,-5.0
20000111,IRN,USA,-5.0
20000111,IRN,USA,-5.0
20000111,USA,IRN,0.0
20000111,USA,IRN,7.0
20000111,IRN,USA,-5.0
20000111,USA,IRN,3.4
20000111,IRN,USA,-5.0
20000111,USA,IRN,-2.0
20000111,USA,IRN,3.4
20000111,USA,IRN,0.0
20000111,USA,IRN,3.4
20000111,USA,IRN,-2.0
20000111,USA,IRN,-5.0
20000111,USA,IRN,3.4
20000111,USA,IRN,-5.0
20000111,USA,IRN,3.4
20000111,USA,IRN,7.0
20000111,USA,IRN,3.4
20000111,USA,IRN,3.4
20000112,IRN,USA,-0.4
20000112,IRN,USA,-4.0
20000112,USA,IRN,0.0
20000112,IRN,USA,-0.4
20000112,IRN,USA,3.0
20000112,USA,IRN,0.0
20000112,IRN,USA,-4.0
20000113,IRN,USA,1.9
20000113,USA,IRN,0.4
20000113,USA,IRN,7.0
20000113,USA,IRN,0.0
20000113,IRN,USA,6.0
20000113,USA,IRN,2.8
20000113,IRN,USA,6.0
20000113,IRN,USA,2.5
20000113,USA,IRN,0.4
20000113,USA,IRN,0.0
20000113,IRN,USA,-9.0
20000113,USA,IRN,2.5
20000113,USA,IRN,0.0
20000113,USA,IRN,0.4
20000113,USA,IRN,0.0
20000113,USA,IRN,7.0
20000114,USA,IRN,1.0
20000114,USA,IRN,-2.0
20000114,USA,IRN,6.4
20000114,USA,IRN,6.4
20000114,USA,IRN,6.4
20000114,USA,IRN,-0.4
20000114,IRN,USA,1.0
20000114,USA,IRN,-2.0
20000114,USA,IRN,6.4
20000115,USA,IRN,-2.0
20000115,IRN,USA,-4.0
20000116,USA,IRN,-4.0
20000116,IRN,USA,3.5
20000116,USA,IRN,-4.0
