SQLDATE,a1,a2,GoldsteinScale
20000101,ISR,USA,7.0
20000101,ISR,USA,4.0
20000101,ISR,USA,-2.0
20000101,ISR,USA,7.0
20000101,ISR,USA,7.0
20000101,ISR,USA,-0.4
20000101,ISR,USA,7.0
20000101,ISR,USA,7.0
20000101,USA,ISR,7.0
20000101,USA,ISR,7.0
20000101,ISR,USA,4.0
20000101,USA,ISR,2.8
20000101,ISR,USA,7.0
20000101,ISR,USA,7.0
20000101,ISR,USA,-2.0
20000101,ISR,USA,-5.0
20000101,USA,ISR,-4.4
20000101,USA,ISR,-4.4
20000101,USA,ISR,-4.4
20000101,ISR,USA,7.0
20000101,ISR,USA,5.0
20000101,ISR,USA,1.9
20000101,ISR,USA,-0.4
20000101,ISR,USA,-5.0
20000102,ISR,USA,7.0
20000102,USA,ISR,3.5
20000102,ISR,USA,1.9
20000102,ISR,USA,1.9
20000102,ISR,USA,1.9
20000102,ISR,USA,7.0
20000102,ISR,USA,1.9
20000102,ISR,USA,8.0
20000102,ISR,USA,1.9
20000102,USA,ISR,2.8
20000102,USA,ISR,7.0
20000102,USA,ISR,8.0
20000102,USA,ISR,3.5
20000102,ISR,USA,0.0
20000102,USA,ISR,7.0
20000102,USA,ISR,7.0
20000102,ISR,USA,4.0
20000102,ISR,USA,-7.0
20000102,ISR,USA,0.0
20000102,ISR,USA,4.0
20000102,ISR,USA,1.9
20000102,ISR,USA,1.9
20000102,USA,ISR,2.8
20000102,USA,ISR,8.0
20000102,ISR,USA,2.8
20000102,ISR,USA,2.8
20000102,USA,ISR,2.8
20000102,ISR,USA,4.0
20000102,USA,ISR,7.0
20000102,USA,ISR,7.0
20000102,ISR,USA,3.5
20000102,USA,ISR,2.8
20000102,ISR,USA,4.0
20000102,ISR,USA,7.0
20000102,ISR,USA,1.9
20000102,USA,ISR,7.0
20000102,ISR,USA,3.4
20000102,ISR,USA,1.9
20000102,USA,ISR,1.9
20000102,USA,ISR,7.0
20000102,ISR,USA,1.9
20000102,USA,ISR,1.9
20000102,ISR,USA,7.0
20000102,USA,ISR,2.8
20000102,ISR,USA,1.9
20000102,ISR,USA,1.9
20000102,ISR,USA,7.0
20000102,ISR,USA,1.9
20000102,USA,ISR,0.4
20000102,USA,ISR,2.8
20000102,ISR,USA,1.9
20000102,USA,ISR,2.8
20000102,ISR,USA,7.0
20000102,ISR,USA,-7.0
20000102,USA,ISR,1.9
20000102,ISR,USA,4.0
20000102,USA,ISR,2.8
20000102,USA,ISR,2.8
20000102,USA,ISR,2.8
20000102,ISR,USA,8.0
20000102,ISR,USA,1.9
20000102,ISR,USA,0.0
20000102,USA,ISR,2.8
20000102,USA,ISR,0.4
20000102,USA,ISR,7.0
20000102,ISR,USA,3.4
20000102,USA,ISR,-6.5
20000102,ISR,USA,7.0
20000102,USA,ISR,2.8
20000102,ISR,USA,1.9
20000102,ISR,USA,1.9
20000102,USA,ISR,2.8
20000102,USA,ISR,2.8
20000102,ISR,USA,2.8
20000102,ISR,USA,7.0
20000102,ISR,USA,4.0
20000102,ISR,USA,4.0
20000102,ISR,USA,7.0
20000102,ISR,USA,0.0
20000102,ISR,USA,4.0
20000102,USA,ISR,2.8
20000102,USA,ISR,2.8
20000103,ISR,USA,7.0
20000103,USA,ISR,7.0
20000103,USA,ISR,-4.4
20000103,USA,ISR,3.0
20000103,USA,ISR,7.0
20000103,USA,ISR,7.0
20000103,USA,ISR,0.4
20000103,ISR,USA,7.0
20000103,ISR,USA,2.8
20000103,USA,ISR,7.0
20000103,ISR,USA,3.4
20000103,ISR,USA,7.0
20000103,ISR,USA,1.0
20000103,USA,ISR,-5.0
20000103,USA,ISR,8.0
20000103,ISR,USA,7.0
20000103,ISR,USA,7.0
20000103,USA,ISR,5.0
20000103,USA,ISR,7.0
20000103,ISR,USA,0.0
20000103,USA,ISR,0.0
20000103,USA,ISR,1.0
20000103,USA,ISR,1.9
20000103,USA,ISR,7.0
20000103,USA,ISR,0.4
20000103,ISR,USA,1.0
20000103,USA,ISR,1.0
