SQLDATE,a1,a2,GoldsteinScale
20000101,USA,PAK,0.0
20000101,PAK,USA,7.0
20000101,USA,PAK,0.0
20000101,PAK,USA,7.0
20000101,PAK,USA,0.4
20000101,PAK,USA,7.0
20000101,PAK,USA,7.0
20000101,PAK,USA,-5.0
20000101,PAK,USA,7.0
20000101,PAK,USA,7.0
20000101,PAK,USA,-5.0
20000101,PAK,USA,-5.0
20000101,PAK,USA,-10.0
20000102,PAK,USA,8.0
20000102,PAK,USA,-4.0
20000102,USA,PAK,-6.5
20000102,USA,PAK,2.8
20000102,PAK,USA,1.9
20000102,USA,PAK,7.0
20000102,PAK,USA,7.0
20000102,USA,PAK,0.0
20000102,PAK,USA,3.0
20000102,USA,PAK,2.8
20000102,USA,PAK,8.0
20000102,USA,PAK,0.0
20000103,PAK,USA,-5.0
20000103,PAK,USA,4.0
20000103,PAK,USA,-5.0
20000103,PAK,USA,-2.0
20000103,PAK,USA,-4.0
20000103,PAK,USA,-5.0
20000104,PAK,USA,3.5
20000104,PAK,USA,3.5
20000104,USA,PAK,-4.0
20000105,USA,PAK,6.0
20000105,USA,PAK,2.8
20000105,USA,PAK,-10.0
20000105,PAK,USA,1.9
20000105,PAK,USA,-5.0
20000105,PAK,USA,3.4
20000105,USA,PAK,2.8
20000105,USA,PAK,7.0
20000105,USA,PAK,7.0
20000105,USA,PAK,-10.0
20000105,USA,PAK,8.0
20000105,PAK,USA,7.0
20000105,PAK,USA,1.9
20000105,PAK,USA,3.4
20000105,PAK,USA,7.0
20000105,PAK,USA,8.0
20000106,PAK,USA,-5.0
20000106,PAK,USA,4.0
20000106,PAK,USA,-5.0
20000106,PAK,USA,0.0
20000106,USA,PAK,3.0
20000106,PAK,USA,1.0
20000106,USA,PAK,-2.0
20000106,USA,PAK,-2.0
20000106,PAK,USA,1.0
20000106,USA,PAK,-2.0
20000106,USA,PAK,-2.0
20000106,USA,PAK,3.0
20000106,USA,PAK,3.4
20000106,USA,PAK,1.0
20000106,USA,PAK,-2.0
20000106,PAK,USA,4.0
20000106,PAK,USA,1.0
20000106,PAK,USA,4.0
20000106,USA,PAK,3.0
20000106,USA,PAK,-2.0
20000106,USA,PAK,-2.0
20000106,PAK,USA,0.0
20000106,PAK,USA,-4.0
20000107,USA,PAK,-4.4
20000107,PAK,USA,3.0
20000107,PAK,USA,3.0
20000107,USA,PAK,-10.0
20000107,USA,PAK,7.4
20000107,USA,PAK,0.0
20000107,PAK,USA,4.0
20000107,USA,PAK,-0.4
20000107,USA,PAK,7.4
20000107,USA,PAK,3.4
20000107,USA,PAK,-2.0
20000107,USA,PAK,-4.4
20000107,USA,PAK,-4.0
20000107,USA,PAK,0.0
20000107,USA,PAK,-4.0
20000107,PAK,USA,1.0
20000107,USA,PAK,0.0
20000107,USA,PAK,-4.4
20000107,USA,PAK,-4.4
20000107,USA,PAK,-0.4
20000107,PAK,USA,4.0
20000107,USA,PAK,3.5
20000107,USA,PAK,3.4
20000107,USA,PAK,3.5
20000107,USA,PAK,-4.0
20000107,USA,PAK,-10.0
20000107,USA,PAK,7.4
20000107,USA,PAK,-10.0
20000107,USA,PAK,-10.0
20000107,USA,PAK,-5.0
20000107,USA,PAK,-2.0
20000107,PAK,USA,4.0
20000107,PAK,USA,3.0
20000107,PAK,USA,1.0
20000107,PAK,USA,1.0
20000107,PAK,USA,-10.0
20000107,USA,PAK,-2.0
20000107,USA,PAK,3.4
20000107,USA,PAK,-4.4
20000107,PAK,USA,4.0
20000107,USA,PAK,0.0
20000107,USA,PAK,5.0
20000107,USA,PAK,1.0
20000107,PAK,USA,4.0
20000107,USA,PAK,1.0
20000107,USA,PAK,-2.0
20000107,USA,PAK,3.5
20000107,PAK,USA,-2.0
20000107,USA,PAK,1.0
20000108,PAK,USA,-0.4
20000108,PAK,USA,0.4
20000108,PAK,USA,-4.4
20000108,PAK,USA,7.0
20000108,USA,PAK,0.0
20000108,USA,PAK,0.0
20000108,USA,PAK,0.0
20000108,USA,PAK,-4.0
20000108,PAK,USA,-2.0
20000108,USA,PAK,-2.0
20000108,PAK,USA,-4.0
20000108,USA,PAK,0.0
20000108,USA,PAK,0.0
20000108,PAK,USA,-0.4
20000108,PAK,USA,-5.0
20000108,USA,PAK,-2.0
20000108,USA,PAK,-4.0
20000108,USA,PAK,-2.0
20000108,PAK,USA,-4.4
20000108,PAK,USA,4.0
20000108,PAK,USA,-4.0
20000108,PAK,USA,-2.0
20000108,PAK,USA,7.0
20000108,PAK,USA,-4.4
20000108,USA,PAK,0.0
20000108,PAK,USA,4.0
20000108,PAK,USA,-4.4
20000108,PAK,USA,-2.0
20000108,PAK,USA,-4.0
20000108,USA,PAK,-2.0
20000108,PAK,USA,-4.4
20000108,PAK,USA,-2.0
20000108,USA,PAK,-2.0
20000108,USA,PAK,-2.0
20000108,USA,PAK,0.0
20000108,PAK,USA,0.4
20000109,PAK,USA,-4.4
20000109,PAK,USA,7.0
20000109,USA,PAK,7.0
20000109,PAK,USA,-4.0
20000109,USA,PAK,-2.0
20000109,USA,PAK,7.4
20000109,USA,PAK,-2.0
20000109,PAK,USA,0.0
20000109,USA,PAK,-2.0
20000109,PAK,USA,-4.4
20000109,USA,PAK,-0.4
20000109,PAK,USA,-4.0
20000109,USA,PAK,-2.0
20000109,PAK,USA,-4.4
20000109,USA,PAK,-0.4
20000109,PAK,USA,-4.0
20000109,PAK,USA,-4.4
20000109,PAK,USA,-4.0
20000110,USA,PAK,-10.0
20000110,PAK,USA,3.0
20000110,PAK,USA,-4.0
20000110,PAK,USA,-2.0
20000110,PAK,USA,-4.0
20000110,PAK,USA,3.0
20000110,USA,PAK,-10.0
20000110,PAK,USA,-4.4
20000110,USA,PAK,-10.0
20000110,PAK,USA,-4.0
20000111,PAK,USA,-4.0
20000112,PAK,USA,0.0
20000112,USA,PAK,4.0
20000112,USA,PAK,7.0
20000112,PAK,USA,0.0
20000112,USA,PAK,1.9
20000112,USA,PAK,1.9
20000112,USA,PAK,3.4
20000112,USA,PAK,-5.0
20000112,PAK,USA,7.0
20000112,PAK,USA,-4.4
20000112,USA,PAK,8.0
20000112,PAK,USA,0.0
20000112,PAK,USA,2.8
20000112,PAK,USA,1.0
20000112,USA,PAK,4.0
20000112,USA,PAK,7.0
20000112,PAK,USA,0.0
20000112,USA,PAK,-5.0
20000112,PAK,USA,2.8
20000112,USA,PAK,1.0
20000112,USA,PAK,7.0
20000112,USA,PAK,1.9
20000112,USA,PAK,1.9
20000112,PAK,USA,1.0
20000112,USA,PAK,1.9
20000112,USA,PAK,4.0
20000112,USA,PAK,4.0
20000112,USA,PAK,10.0
20000112,PAK,USA,2.8
20000112,PAK,USA,7.0
20000112,PAK,USA,7.0
20000112,PAK,USA,-4.0
20000112,USA,PAK,7.0
20000112,USA,PAK,1.0
20000112,PAK,USA,0.0
20000112,PAK,USA,8.0
20000112,USA,PAK,1.9
20000112,PAK,USA,-4.4
20000112,PAK,USA,7.0
20000112,PAK,USA,-4.4
20000112,PAK,USA,2.8
20000112,USA,PAK,1.9
20000112,PAK,USA,4.0
20000112,USA,PAK,7.0
20000112,PAK,USA,0.0
20000112,PAK,USA,0.0
20000112,USA,PAK,4.0
20000112,PAK,USA,2.8
20000112,USA,PAK,7.0
20000112,PAK,USA,2.8
20000112,USA,PAK,1.9
20000112,USA,PAK,1.0
20000112,PAK,USA,2.8
20000112,USA,PAK,0.0
20000112,PAK,USA,2.8
20000112,PAK,USA,7.0
20000112,PAK,USA,7.0
20000113,PAK,USA,-10.0
20000113,PAK,USA,1.0
20000113,USA,PAK,3.0
20000113,PAK,USA,1.0
20000113,PAK,USA,3.0
20000113,PAK,USA,4.0
20000113,PAK,USA,3.0
20000113,USA,PAK,1.0
20000113,PAK,USA,3.0
