SQLDATE,a1,a2,GoldsteinScale
20000101,USA,RUS,-4.0
20000101,RUS,USA,0.4
20000101,USA,RUS,3.4
20000101,RUS,USA,-0.4
20000101,USA,RUS,-0.4
20000101,USA,RUS,-2.0
20000101,USA,RUS,7.4
20000101,RUS,USA,-2.0
20000101,RUS,USA,-2.0
20000101,USA,RUS,-4.0
20000101,RUS,USA,-10.0
20000101,USA,RUS,-2.0
20000101,RUS,USA,3.4
20000101,USA,RUS,-2.0
20000101,USA,RUS,7.0
20000101,USA,RUS,-2.0
20000101,USA,RUS,7.0
20000101,USA,RUS,-7.0
20000101,RUS,USA,-10.0
20000101,RUS,USA,-2.0
20000101,RUS,USA,-2.0
20000101,RUS,USA,-2.0
20000101,USA,RUS,3.4
20000101,USA,RUS,-2.0
20000101,USA,RUS,6.0
20000101,RUS,USA,-10.0
20000101,RUS,USA,-2.0
20000101,RUS,USA,3.5
20000101,USA,RUS,-10.0
20000101,RUS,USA,-2.0
20000101,RUS,USA,-0.4
20000101,USA,RUS,-2.0
20000101,USA,RUS,-0.4
20000101,USA,RUS,0.4
20000101,USA,RUS,0.4
20000101,USA,RUS,-0.4
20000101,USA,RUS,6.0
20000101,USA,RUS,-0.4
20000101,RUS,USA,-2.0
20000102,RUS,USA,-2.0
20000102,USA,RUS,0.4
20000102,USA,RUS,0.4
20000102,RUS,USA,4.0
20000102,USA,RUS,-2.0
20000102,USA,RUS,-0.4
20000102,RUS,USA,-2.0
20000103,USA,RUS,0.0
20000103,USA,RUS,4.0
20000103,USA,RUS,-10.0
20000103,USA,RUS,4.0
20000103,USA,RUS,-0.4
20000103,USA,RUS,3.4
20000103,USA,RUS,3.4
20000103,RUS,USA,0.0
20000103,USA,RUS,3.0
20000103,USA,RUS,3.4
20000103,RUS,USA,-2.0
20000103,USA,RUS,-2.0
20000103,USA,RUS,3.4
20000103,USA,RUS,3.4
20000103,USA,RUS,3.4
20000103,USA,RUS,-10.0
20000103,USA,RUS,-2.0
20000103,RUS,USA,-10.0
20000103,USA,RUS,-2.0
20000103,USA,RUS,3.4
20000103,USA,RUS,3.4
20000103,USA,RUS,-10.0
20000103,USA,RUS,-2.0
20000103,USA,RUS,8.0
20000103,USA,RUS,0.0
20000103,USA,RUS,8.0
20000103,USA,RUS,-2.0
20000103,USA,RUS,-2.0
20000103,RUS,USA,0.4
20000103,USA,RUS,-10.0
20000103,USA,RUS,3.0
20000103,RUS,USA,8.0
20000104,RUS,USA,3.0
20000104,RUS,USA,0.4
20000104,RUS,USA,7.0
20000104,USA,RUS,-2.0
20000104,RUS,USA,7.0
20000104,RUS,USA,1.0
20000104,RUS,USA,0.4
20000104,RUS,USA,-2.0
20000104,RUS,USA,-0.4
20000104,RUS,USA,0.0
20000104,USA,RUS,-2.0
20000104,RUS,USA,-2.0
20000104,USA,RUS,5.0
20000104,RUS,USA,-0.4
20000104,RUS,USA,3.0
20000104,RUS,USA,3.0
20000104,USA,RUS,-2.0
20000104,USA,RUS,1.0
20000104,USA,RUS,-2.0
20000105,RUS,USA,0.0
20000105,RUS,USA,1.0
20000105,USA,RUS,7.0
20000105,RUS,USA,6.0
20000105,USA,RUS,-0.4
20000105,RUS,USA,1.0
20000105,USA,RUS,1.0
20000105,RUS,USA,0.4
20000105,RUS,USA,0.4
20000105,USA,RUS,1.0
20000105,USA,RUS,1.0
20000105,RUS,USA,0.0
20000105,USA,RUS,6.0
20000105,USA,RUS,4.0
20000105,RUS,USA,1.0
20000105,RUS,USA,7.0
20000105,RUS,USA,1.0
20000105,USA,RUS,-0.4
20000105,RUS,USA,4.0
20000105,USA,RUS,-0.4
20000105,USA,RUS,1.0
20000105,USA,RUS,6.0
20000105,RUS,USA,6.0
20000105,USA,RUS,1.0
20000105,RUS,USA,1.0
20000105,USA,RUS,5.2
20000105,USA,RUS,4.0
20000105,USA,RUS,5.2
20000105,USA,RUS,1.0
20000105,RUS,USA,-5.0
20000105,USA,RUS,-0.4
20000105,RUS,USA,0.4
20000105,USA,RUS,-0.4
20000106,USA,RUS,-5.0
20000106,USA,RUS,2.8
20000106,RUS,USA,4.0
20000106,RUS,USA,-2.0
20000106,RUS,USA,8.5
20000106,RUS,USA,2.5
20000106,RUS,USA,0.0
20000106,RUS,USA,2.8
20000106,USA,RUS,4.0
20000106,RUS,USA,0.0
20000106,USA,RUS,-9.2
20000106,USA,RUS,-0.4
20000106,USA,RUS,4.0
20000106,USA,RUS,2.5
20000106,USA,RUS,4.0
20000106,USA,RUS,-5.0
20000106,USA,RUS,4.0
20000106,RUS,USA,0.0
20000106,RUS,USA,4.0
20000106,RUS,USA,1.9
20000106,RUS,USA,8.5
20000106,USA,RUS,7.0
20000106,RUS,USA,-4.0
20000106,RUS,USA,2.5
20000106,RUS,USA,2.5
20000106,RUS,USA,2.8
20000106,RUS,USA,3.5
20000106,USA,RUS,-0.4
20000106,RUS,USA,2.5
20000106,USA,RUS,4.0
20000106,USA,RUS,4.0
20000106,USA,RUS,-9.2
20000106,RUS,USA,0.0
20000106,USA,RUS,4.0
20000106,USA,RUS,4.0
20000106,RUS,USA,4.0
20000106,USA,RUS,4.0
20000106,RUS,USA,0.0
20000106,USA,RUS,3.4
20000106,USA,RUS,-2.0
20000106,RUS,USA,0.4
20000106,RUS,USA,-4.0
20000106,RUS,USA,4.0
20000106,RUS,USA,4.0
20000106,RUS,USA,7.0
20000106,USA,RUS,2.5
20000106,USA,RUS,4.0
20000106,USA,RUS,1.9
20000106,RUS,USA,0.0
20000106,USA,RUS,3.4
20000106,RUS,USA,8.5
20000106,RUS,USA,4.0
20000106,USA,RUS,0.0
20000106,RUS,USA,8.5
20000106,USA,RUS,3.4
20000106,USA,RUS,3.4
20000106,RUS,USA,7.0
20000106,USA,RUS,0.0
20000106,USA,RUS,4.0
20000106,RUS,USA,4.0
20000106,RUS,USA,0.0
20000106,RUS,USA,4.0
20000106,USA,RUS,2.5
20000106,RUS,USA,0.0
20000106,USA,RUS,0.0
20000106,RUS,USA,-2.0
20000106,USA,RUS,7.0
20000106,RUS,USA,0.0
20000106,RUS,USA,3.5
20000106,RUS,USA,4.0
20000106,USA,RUS,0.0
20000106,USA,RUS,-0.4
20000106,RUS,USA,3.0
20000106,RUS,USA,3.0
20000106,USA,RUS,3.0
20000106,USA,RUS,2.5
20000106,RUS,USA,4.0
20000107,USA,RUS,-2.0
20000107,RUS,USA,3.4
20000107,USA,RUS,3.5
20000107,RUS,USA,0.0
20000107,USA,RUS,4.0
20000107,USA,RUS,-2.0
20000107,USA,RUS,4.0
20000107,RUS,USA,4.0
20000107,USA,RUS,0.0
20000107,USA,RUS,3.5
20000107,RUS,USA,-2.0
20000107,RUS,USA,0.0
20000107,USA,RUS,0.0
20000107,RUS,USA,3.5
20000107,USA,RUS,-2.0
20000107,RUS,USA,3.0
20000107,USA,RUS,0.0
20000107,RUS,USA,4.0
20000107,RUS,USA,4.0
20000107,USA,RUS,4.0
20000107,RUS,USA,3.0
20000107,RUS,USA,3.5
20000107,USA,RUS,4.0
20000107,USA,RUS,-6.5
20000107,RUS,USA,3.4
20000107,RUS,USA,3.5
20000107,RUS,USA,-2.0
20000107,USA,RUS,-2.0
20000107,RUS,USA,4.0
20000107,USA,RUS,-2.0
20000107,USA,RUS,4.0
20000108,USA,RUS,2.8
20000108,RUS,USA,1.9
20000108,RUS,USA,8.0
20000108,RUS,USA,1.9
20000108,USA,RUS,8.0
20000108,USA,RUS,8.0
20000108,USA,RUS,3.4
20000108,RUS,USA,8.0
20000108,USA,RUS,5.0
20000108,USA,RUS,5.0
20000108,USA,RUS,8.0
20000108,USA,RUS,5.0
20000108,RUS,USA,8.0
20000108,RUS,USA,8.0
20000108,USA,RUS,8.0
20000108,USA,RUS,2.8
20000109,RUS,USA,0.4
20000110,RUS,USA,-9.2
20000110,USA,RUS,-10.0
20000110,RUS,USA,-4.0
20000110,RUS,USA,7.4
20000110,USA,RUS,-10.0
20000110,RUS,USA,-10.0
20000110,RUS,USA,0.4
20000110,USA,RUS,7.4
20000110,USA,RUS,7.4
20000110,RUS,USA,7.4
20000110,RUS,USA,-2.0
20000110,RUS,USA,0.4
20000110,RUS,USA,0.4
20000110,RUS,USA,-0.3
20000110,RUS,USA,3.0
20000110,RUS,USA,-9.2
20000110,RUS,USA,3.0
20000110,RUS,USA,7.4
20000110,USA,RUS,-10.0
20000110,USA,RUS,-2.0
20000110,USA,RUS,-2.0
20000111,USA,RUS,0.4
20000111,RUS,USA,1.9
20000111,RUS,USA,1.0
20000111,RUS,USA,1.9
20000111,USA,RUS,2.8
20000111,RUS,USA,5.0
20000111,USA,RUS,1.0
20000111,USA,RUS,1.9
20000111,RUS,USA,-2.0
20000111,RUS,USA,2.8
20000111,RUS,USA,0.4
20000111,USA,RUS,1.9
20000111,USA,RUS,0.4
20000111,USA,RUS,1.0
20000111,USA,RUS,-2.0
20000111,USA,RUS,7.4
20000111,USA,RUS,2.8
20000111,RUS,USA,0.4
20000111,RUS,USA,1.0
20000111,USA,RUS,-2.0
20000111,USA,RUS,5.0
20000111,RUS,USA,0.4
20000111,USA,RUS,-5.6
20000111,USA,RUS,0.4
20000111,RUS,USA,1.0
20000111,USA,RUS,-4.0
20000111,RUS,USA,2.8
20000111,RUS,USA,-10.0
20000112,USA,RUS,4.0
20000112,USA,RUS,2.8
20000112,RUS,USA,1.9
20000112,USA,RUS,2.8
20000112,RUS,USA,2.8
20000112,USA,RUS,2.8
20000112,RUS,USA,-4.0
20000112,RUS,USA,-4.0
20000112,USA,RUS,0.0
20000112,RUS,USA,7.0
20000112,USA,RUS,3.0
20000112,USA,RUS,7.0
20000112,RUS,USA,2.8
20000112,USA,RUS,7.0
20000112,RUS,USA,2.8
20000112,USA,RUS,4.0
20000112,USA,RUS,0.0
20000112,RUS,USA,7.0
20000112,USA,RUS,5.0
20000112,USA,RUS,7.0
20000112,RUS,USA,-10.0
20000112,USA,RUS,7.0
20000112,RUS,USA,7.0
20000112,USA,RUS,0.0
20000112,RUS,USA,-4.4
20000112,USA,RUS,0.0
20000112,USA,RUS,1.9
20000112,USA,RUS,3.0
20000112,USA,RUS,7.0
20000112,RUS,USA,4.0
20000112,USA,RUS,4.0
20000112,USA,RUS,4.0
20000112,RUS,USA,7.0
20000112,RUS,USA,-2.0
20000112,RUS,USA,2.8
20000112,USA,RUS,1.9
20000112,RUS,USA,7.0
20000112,USA,RUS,2.8
20000112,USA,RUS,2.5
20000112,RUS,USA,4.0
20000112,RUS,USA,-4.4
20000112,USA,RUS,4.0
20000112,RUS,USA,2.8
20000112,USA,RUS,0.0
20000112,USA,RUS,2.5
20000112,RUS,USA,2.8
20000112,RUS,USA,-2.0
20000112,RUS,USA,5.0
20000112,USA,RUS,-5.0
20000112,USA,RUS,3.0
20000112,RUS,USA,8.0
20000112,USA,RUS,7.0
20000112,RUS,USA,1.9
20000112,RUS,USA,1.9
