SQLDATE,a1,a2,GoldsteinScale
20000105,SAU,USA,-5.0
20000105,USA,SAU,1.9
20000105,SAU,USA,-5.0
20000105,SAU,USA,-5.0
20000106,USA,SAU,-5.8
20000106,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000108,USA,SAU,-2.0
20000109,SAU,USA,7.0
20000109,SAU,USA,7.0
20000109,USA,SAU,7.0
20000109,USA,SAU,7.0
20000109,SAU,USA,-5.0
20000111,USA,SAU,0.0
20000111,USA,SAU,-5.0
20000111,USA,SAU,-5.0
20000111,USA,SAU,-5.0
20000112,SAU,USA,-10.0
20000112,SAU,USA,1.9
20000112,SAU,USA,-10.0
20000112,USA,SAU,2.8
20000112,SAU,USA,-10.0
20000113,SAU,USA,1.9
20000113,USA,SAU,2.8
20000113,USA,SAU,4.0
20000113,SAU,USA,4.0
20000113,USA,SAU,-5.0
20000113,SAU,USA,1.9
20000113,SAU,USA,4.0
20000116,SAU,USA,-0.4
20000116,SAU,USA,-0.4
20000117,SAU,USA,0.0
20000117,SAU,USA,-2.0
20000119,USA,SAU,-2.0
20000119,USA,SAU,-2.0
20000119,USA,SAU,-2.0
20000120,SAU,USA,2.8
20000120,SAU,USA,2.8
20000120,USA,SAU,7.0
20000120,USA,SAU,1.9
20000120,USA,SAU,2.8
20000120,SAU,USA,1.9
20000120,SAU,USA,1.9
20000120,USA,SAU,1.9
20000120,SAU,USA,2.8
20000120,SAU,USA,2.8
20000120,USA,SAU,1.9
20000120,USA,SAU,1.9
20000120,USA,SAU,1.9
20000120,SAU,USA,2.8
20000120,SAU,USA,2.8
20000120,USA,SAU,-2.0
20000120,USA,SAU,2.8
20000120,USA,SAU,7.0
20000120,SAU,USA,2.8
20000120,USA,SAU,1.9
20000121,USA,SAU,5.0
20000121,USA,SAU,7.0
20000121,USA,SAU,-2.0
20000121,SAU,USA,7.0
20000121,USA,SAU,-2.0
20000121,SAU,USA,7.0
20000121,USA,SAU,7.0
20000121,USA,SAU,-2.0
20000121,USA,SAU,5.0
20000121,USA,SAU,7.0
20000121,USA,SAU,5.0
20000121,SAU,USA,7.0
20000121,SAU,USA,7.0
20000123,SAU,USA,4.0
20000123,SAU,USA,-2.0
20000123,SAU,USA,-2.0
20000123,SAU,USA,-2.0
20000123,SAU,USA,0.4
20000123,SAU,USA,4.0
20000123,SAU,USA,-2.0
20000123,SAU,USA,10.0
20000123,SAU,USA,-5.0
20000123,SAU,USA,10.0
20000124,SAU,USA,-5.0
20000126,USA,SAU,4.0
20000126,SAU,USA,4.0
20000126,USA,SAU,4.0
20000126,SAU,USA,4.0
20000126,SAU,USA,4.0
20000126,USA,SAU,4.0
20000126,SAU,USA,4.0
20000126,SAU,USA,4.0
20000127,USA,SAU,4.0
20000128,USA,SAU,0.0
20000128,USA,SAU,-2.0
20000128,USA,SAU,-2.0
20000128,USA,SAU,-2.0
20000128,USA,SAU,-2.0
20000129,USA,SAU,4.0
20000129,USA,SAU,4.0
20000129,USA,SAU,1.0
20000129,USA,SAU,1.0
20000129,SAU,USA,1.0
20000129,SAU,USA,1.0
20000130,USA,SAU,4.0
20000130,USA,SAU,4.0
20000130,USA,SAU,4.0
20000130,USA,SAU,-5.0
20000131,SAU,USA,1.9
20000131,USA,SAU,2.8
20000131,SAU,USA,0.0
20000201,USA,SAU,-2.0
20000201,SAU,USA,1.0
20000201,USA,SAU,-2.0
20000201,USA,SAU,1.9
20000201,USA,SAU,1.0
20000201,USA,SAU,-2.0
20000201,SAU,USA,-2.0
20000201,SAU,USA,1.0
20000201,USA,SAU,1.9
20000201,USA,SAU,1.0
20000201,SAU,USA,2.8
20000201,USA,SAU,1.0
20000201,SAU,USA,1.0
20000201,USA,SAU,1.0
20000201,SAU,USA,2.8
20000201,USA,SAU,1.9
20000201,SAU,USA,1.0
20000201,SAU,USA,1.0
20000201,USA,SAU,-2.0
20000201,SAU,USA,2.8
20000202,USA,SAU,-2.0
20000204,SAU,USA,-10.0
20000204,SAU,USA,-10.0
20000205,SAU,USA,-7.2
20000206,SAU,USA,0.0
20000207,SAU,USA,0.0
20000208,USA,SAU,5.2
20000208,SAU,USA,6.4
20000208,USA,SAU,5.2
20000208,USA,SAU,6.4
20000208,SAU,USA,6.4
20000208,USA,SAU,6.4
20000214,SAU,USA,2.8
20000214,SAU,USA,1.0
20000214,SAU,USA,1.0
20000214,USA,SAU,1.0
20000214,USA,SAU,0.0
20000214,USA,SAU,1.9
20000214,USA,SAU,1.9
20000214,SAU,USA,2.8
20000214,USA,SAU,5.2
20000214,USA,SAU,1.0
20000214,USA,SAU,0.0
20000215,USA,SAU,-5.0
20000215,USA,SAU,-5.0
20000215,USA,SAU,2.8
20000215,SAU,USA,1.9
20000215,USA,SAU,-5.0
20000216,SAU,USA,-2.0
20000216,USA,SAU,-5.0
20000216,SAU,USA,4.0
20000216,SAU,USA,4.0
20000219,SAU,USA,1.9
20000219,USA,SAU,-10.0
20000219,USA,SAU,6.4
20000219,USA,SAU,2.8
20000219,SAU,USA,1.9
20000219,SAU,USA,1.9
20000219,USA,SAU,-10.0
20000219,USA,SAU,5.0
20000219,USA,SAU,5.0
20000219,USA,SAU,2.8
20000219,USA,SAU,6.4
20000219,USA,SAU,5.0
20000219,USA,SAU,6.4
20000219,USA,SAU,2.8
20000220,USA,SAU,-2.0
20000220,USA,SAU,-2.0
20000221,USA,SAU,-2.0
20000221,USA,SAU,3.0
20000221,USA,SAU,3.0
20000222,SAU,USA,-2.0
20000222,SAU,USA,-2.0
20000222,USA,SAU,1.9
20000222,SAU,USA,2.8
20000222,USA,SAU,1.9
20000222,USA,SAU,1.9
20000222,SAU,USA,2.8
20000222,SAU,USA,-2.0
20000222,SAU,USA,-2.0
20000223,SAU,USA,2.8
20000223,USA,SAU,1.9
20000223,USA,SAU,1.9
20000223,SAU,USA,2.8
20000224,SAU,USA,0.4
20000224,SAU,USA,0.4
20000226,SAU,USA,-0.1
20000226,USA,SAU,1.9
20000226,SAU,USA,4.0
20000226,SAU,USA,3.4
20000226,SAU,USA,-0.1
20000226,SAU,USA,3.4
20000226,SAU,USA,0.0
20000226,USA,SAU,1.0
20000226,SAU,USA,1.0
20000226,SAU,USA,3.4
20000226,SAU,USA,2.8
20000226,USA,SAU,1.0
20000226,USA,SAU,0.4
20000226,SAU,USA,-0.1
20000226,USA,SAU,1.0
20000226,SAU,USA,-0.1
20000226,USA,SAU,2.8
20000226,SAU,USA,1.9
20000226,SAU,USA,1.0
20000226,SAU,USA,1.0
20000226,SAU,USA,4.0
20000226,SAU,USA,3.4
20000226,SAU,USA,4.0
20000226,SAU,USA,4.0
20000226,USA,SAU,3.4
20000227,SAU,USA,2.8
20000227,USA,SAU,1.9
20000227,SAU,USA,2.8
20000227,SAU,USA,1.9
20000227,USA,SAU,1.9
20000227,USA,SAU,2.8
20000227,SAU,USA,1.9
20000227,USA,SAU,2.8
20000228,SAU,USA,3.2
20000228,SAU,USA,3.2
20000228,SAU,USA,3.2
20000228,SAU,USA,3.2
20000301,SAU,USA,1.0
20000301,USA,SAU,1.0
20000301,SAU,USA,1.0
20000301,USA,SAU,1.0
20000302,USA,SAU,10.0
