SQLDATE,a1,a2,GoldsteinScale
20000101,TUR,USA,0.0
20000102,USA,TUR,3.0
20000102,USA,TUR,3.0
20000102,USA,TUR,3.0
20000103,USA,TUR,4.0
20000103,USA,TUR,1.9
20000103,USA,TUR,4.0
20000103,TUR,USA,2.8
20000103,TUR,USA,2.8
20000103,USA,TUR,1.9
20000103,USA,TUR,4.0
20000104,USA,TUR,3.0
20000104,TUR,USA,5.0
20000104,USA,TUR,3.0
20000104,USA,TUR,5.0
20000105,TUR,USA,5.2
20000105,TUR,USA,5.2
20000105,TUR,USA,7.4
20000105,TUR,USA,7.4
20000105,TUR,USA,-6.5
20000105,USA,TUR,-4.4
20000105,TUR,USA,5.2
20000105,TUR,USA,-6.5
20000105,USA,TUR,-4.4
20000106,TUR,USA,6.4
20000107,TUR,USA,0.0
20000107,USA,TUR,7.0
20000107,TUR,USA,4.0
20000107,TUR,USA,0.0
20000107,TUR,USA,4.0
20000108,TUR,USA,-9.5
20000108,TUR,USA,-9.5
20000108,TUR,USA,4.0
20000108,TUR,USA,4.0
20000108,TUR,USA,4.0
20000109,TUR,USA,7.0
20000109,USA,TUR,4.0
20000109,USA,TUR,4.0
20000109,TUR,USA,7.0
20000109,TUR,USA,7.0
20000109,USA,TUR,4.0
20000110,TUR,USA,4.0
20000110,TUR,USA,4.0
20000110,TUR,USA,4.0
20000110,TUR,USA,4.0
20000111,TUR,USA,2.5
20000111,TUR,USA,1.9
20000111,USA,TUR,2.8
20000111,USA,TUR,-4.0
20000111,USA,TUR,2.5
20000111,TUR,USA,2.5
20000111,TUR,USA,1.0
20000111,USA,TUR,4.0
20000111,USA,TUR,-4.0
20000111,USA,TUR,4.0
20000111,USA,TUR,2.5
20000111,USA,TUR,1.0
20000112,TUR,USA,4.0
20000112,TUR,USA,4.0
20000112,TUR,USA,4.0
20000112,TUR,USA,4.0
20000113,TUR,USA,4.0
20000113,TUR,USA,4.0
20000114,USA,TUR,2.8
20000114,USA,TUR,2.8
20000114,TUR,USA,1.9
20000114,TUR,USA,4.0
20000114,TUR,USA,1.9
20000114,USA,TUR,2.8
20000114,TUR,USA,1.9
20000114,USA,TUR,2.8
20000114,USA,TUR,4.0
20000114,TUR,USA,1.9
20000114,TUR,USA,4.0
20000115,USA,TUR,8.0
20000115,TUR,USA,1.9
20000115,TUR,USA,1.9
20000115,TUR,USA,1.9
20000115,USA,TUR,3.0
20000115,TUR,USA,3.0
20000115,TUR,USA,3.0
20000115,USA,TUR,2.8
20000115,USA,TUR,2.8
20000115,TUR,USA,8.0
20000115,TUR,USA,6.4
20000115,TUR,USA,1.9
20000115,TUR,USA,6.4
20000115,USA,TUR,2.8
20000115,USA,TUR,2.8
20000115,USA,TUR,-4.0
20000117,TUR,USA,2.8
20000117,USA,TUR,1.9
20000117,TUR,USA,2.8
20000117,USA,TUR,1.9
20000118,TUR,USA,3.0
20000118,TUR,USA,2.8
20000118,USA,TUR,6.0
20000118,USA,TUR,1.9
20000118,USA,TUR,6.0
