dyad,rmse
chn_gbr,1.3137754563671717
chn_ind,2.6044036083897284
chn_irn,2.922794510700343
chn_isr,2.7875119926142253
chn_pak,2.024135160418496
chn_sau,4.274792586417056
chn_tur,3.1944758990032924
gbr_irn,1.9605712101542934
gbr_isr,3.0070889152573415
gbr_sau,3.235881255324811
gbr_tur,3.452873707065365
ind_gbr,2.7024096382054426
ind_irn,3.6534644092342843
ind_isr,1.7888717657156152
ind_pak,1.7836999394154331
ind_sau,2.574707227731353
ind_tur,3.4253151432186115
irn_isr,2.600293294131752
pak_gbr,3.1068958519819287
pak_irn,2.0670549516412855
pak_isr,3.683193041578851
pak_sau,3.360867098675442
pak_tur,3.423952319958535
rus_chn,1.0857759806960923
rus_gbr,1.702274758926288
rus_ind,2.4722029522056097
rus_irn,1.3693291680619724
rus_isr,2.6098407832897026
rus_pak,4.861847071971467
rus_sau,3.6790922205514827
rus_tur,2.823203219811964
sau_irn,1.720603447444133
sau_isr,3.1504925761958797
tur_irn,3.050541213622422
tur_isr,3.847804685557622
tur_sau,3.6317786798977374
usa_chn,0.8475806985495756
usa_gbr,0.8850105060736473
usa_ind,2.5917450719384325
usa_irn,0.9591631158840264
usa_isr,0.8397537378473202
usa_pak,1.353014354978995
usa_rus,0.771502714013247
usa_sau,1.9697743353738717
usa_tur,1.5784756954499775
