dyad,num_weeks,mean_gss,std_gss,min_gss,max_gss
afg-afg,1787,-1.173692438966118,2.5541782394766623,-10.0,7.2
afg-chn,1787,1.4676403121567427,3.9018240480270685,-10.0,10.0
afg-fra,1772,0.38887515042112625,3.63620010678153,-10.0,10.0
afg-gbr,1771,-0.18375477322362888,3.530175988678079,-10.0,10.0
afg-irn,1787,0.9085835573595895,2.9122185319556917,-10.0,10.0
afg-irq,1781,0.3668965736371741,2.663679273833261,-10.0,10.0
afg-isr,1734,0.037134083054983384,4.013131368347011,-10.0,10.0
afg-pse,1733,-0.16858391684935548,4.41292707643703,-10.0,9.0
afg-rus,1786,0.10883646361717668,3.3287842649670734,-10.0,10.0
afg-usa,1783,0.09335626298926962,2.818432304847276,-10.0,10.0
chn-chn,1787,1.5089289957075214,0.9257072885963296,-3.783333333333333,5.95625
chn-fra,1787,2.2357618292610804,2.3474536387549962,-10.0,8.0
chn-gbr,1787,2.157975495391952,1.8992883749772027,-10.0,8.0
chn-irn,1782,2.4760858384932245,2.7773880811096534,-10.0,8.3
chn-irq,1786,1.3388537428672682,3.461784610876633,-10.0,10.0
chn-isr,1787,1.809759945440625,2.7983260188357346,-10.0,10.0
chn-pse,1787,1.943954579739431,3.278136060079175,-10.0,10.0
chn-rus,1787,2.2422583999911443,1.6768330870108117,-9.5,8.3
chn-usa,1787,1.718913887568533,1.1787096155982815,-10.0,6.4
fra-fra,1787,1.0298859805020861,1.248006606190287,-6.8,6.333333333333333
fra-gbr,1787,1.7259545894361208,1.8605423313499732,-10.0,8.5
fra-irn,1787,0.7619975120667598,3.0841243515761003,-10.0,8.166666666666666
fra-irq,1787,0.7904360926304697,3.163685271656065,-10.0,10.0
fra-isr,1784,0.6990781608722889,2.8232308795022365,-10.0,10.0
fra-pse,1786,1.1582484775962032,3.1436363540619277,-10.0,10.0
fra-rus,1787,1.993994954152571,2.0652974909024286,-10.0,8.3
fra-usa,1787,1.3662852753440224,1.4383967539773894,-6.583333333333333,7.0
gbr-gbr,1787,0.6808177569974642,1.0761761493586235,-8.5,3.942857142857143
gbr-irn,1787,0.22000793967003246,2.828753614504734,-10.0,10.0
gbr-irq,1768,-0.7162208869476808,2.976785983705337,-10.0,10.0
gbr-isr,1781,0.26536663242124287,2.853832509765831,-10.0,10.0
gbr-pse,1768,0.5957349873444738,3.319387014413582,-10.0,10.0
gbr-rus,1787,1.3828216946100116,1.9034333013034272,-10.0,8.0
gbr-usa,1787,1.2390129983066616,1.138854769202556,-5.588235294117647,6.066666666666666
irn-irn,1787,0.20241988018828205,1.5842029120044143,-10.0,9.0
irn-irq,1786,-0.8058155346181034,2.7537356945408926,-10.0,8.3
irn-isr,1787,-1.0457835895885454,2.9392912927144184,-10.0,10.0
irn-pse,1787,1.2232333293698274,2.839762032814629,-10.0,10.0
irn-rus,1787,1.9434343030300887,2.3812336496049853,-10.0,8.65
irn-usa,1787,0.1453445639742441,1.6154043968360579,-9.2,7.4
irq-irq,1787,-0.3450979023989428,2.1964904631822706,-10.0,8.0
irq-isr,1787,-1.0071877359239316,3.510337315724201,-10.0,9.0
irq-pse,1787,0.9208764291606119,2.9499760576094403,-10.0,10.0
irq-rus,1786,1.5394279874816086,2.953261687765575,-10.0,8.3
irq-usa,1786,-0.35296420090071834,2.2499064306514978,-10.0,8.0
isr-isr,1787,-0.18338870416767455,1.2694431884027053,-5.068421052631579,3.823809523809524
isr-pse,1787,-1.1390137194463936,1.939513107115298,-7.8076923076923075,3.9333333333333336
isr-rus,1787,1.2768735621289364,2.17727359296101,-10.0,8.3
isr-usa,1787,1.296092867066692,1.0405376899351657,-3.0945945945945947,6.416666666666667
pse-pse,1787,-1.104365319137356,2.5992785720236813,-10.0,10.0
pse-rus,1787,1.6788084121097198,2.8935511749108893,-10.0,10.0
pse-usa,1785,0.9932233081601212,2.058367524932813,-10.0,7.4
rus-rus,1787,0.9881962702930102,0.8866283578304065,-5.066666666666666,4.066666666666666
rus-usa,1787,1.5248221298887255,0.9794654302501579,-4.4625,4.45859375
usa-usa,1787,0.7560485284108246,0.5663489277612177,-1.6378787878787875,2.515151515151515
